2023”N7ŒŽ7“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.x,CarPos.z,CarDistance,Bike.x,Bike.z,BikeDistance
13:49:48,0.3733,0.3333,-2.0000,0.0905,1.7088,0.0289,,0.0000,0.0000,0.0000,,3.2337,39.2908,39.4236,-1.4887,46.3349,46.3588
13:49:49,0.7067,0.3333,-1.9998,0.3389,3.3939,0.0351,,0.0000,0.0000,0.0000,,3.2333,33.3757,33.5320,-1.4871,46.0906,46.1146
13:49:49,0.8092,0.1026,-1.9998,0.4415,3.8868,0.0355,,0.0000,0.0000,0.0000,,3.2333,31.6065,31.7714,-1.4863,45.9981,46.0221
13:49:49,0.8742,0.0649,-1.9997,0.5096,4.1811,0.0356,,0.0000,0.0000,0.0000,,3.2332,30.5384,30.7091,-1.4860,45.9244,45.9484
13:49:49,0.9403,0.0661,-1.9997,0.6078,4.5624,0.0356,,0.0000,0.0000,0.0000,,3.0763,29.1274,29.2894,-1.4855,45.8157,45.8398
13:49:49,0.9934,0.0531,-1.9996,0.6600,4.7529,0.0356,,0.0000,0.0000,0.0000,,3.0762,28.4084,28.5745,-1.4852,45.7703,45.7944
13:49:49,1.0433,0.0499,-1.9996,0.7424,5.0384,0.0356,,0.0000,0.0000,0.0000,,3.0762,27.3261,27.4987,-1.4848,45.6757,45.6999
13:49:49,1.1084,0.0651,-1.9995,0.8296,5.3236,0.0356,,0.0000,0.0000,0.0000,,3.0761,26.2389,26.4186,-1.4845,45.5881,45.6123
13:49:49,1.1583,0.0499,-1.9995,0.8903,5.5135,0.0356,,0.0000,0.0000,0.0000,,3.0761,25.5115,25.6963,-1.4844,45.5397,45.5638
13:49:49,1.2084,0.0501,-1.9994,0.9854,5.7981,0.0356,,0.0000,0.0000,0.0000,,3.0760,24.4165,24.6095,-1.4840,45.4352,45.4594
13:49:49,1.2799,0.0716,-1.9994,1.0852,6.0823,0.0356,,0.0000,0.0000,0.0000,,3.0760,23.3167,23.5187,-1.4837,45.3402,45.3645
13:49:49,1.3375,0.0576,-1.9993,1.1897,6.3659,0.0356,,0.0000,0.0000,0.0000,,3.0759,22.2121,22.4241,-1.4832,45.2266,45.2509
