Normal
2023”N7ŒŽ27“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
16:17:38,0.3733,0.3333,-2.0000,0.0905,1.7088,0.0289,False,,0.0000,0.0000,0.0000,,3.2337,41.2908,41.4172,-1.4901,46.4553,46.4792
16:17:38,0.5611,0.1878,-2.0002,0.2176,2.7243,0.0090,False,,0.0000,-0.0038,0.0000,,3.2348,38.9413,39.0754,-1.4892,46.8893,46.9130
16:17:38,0.6473,0.0862,-2.0003,0.2836,3.1189,0.0026,False,,0.0000,-0.0038,0.0000,,3.2352,37.9863,38.1238,-1.4888,47.2091,47.2326
16:17:38,0.6819,0.0346,-2.0004,0.3198,3.2989,0.0011,False,,0.0000,-0.0038,0.0000,,3.2353,37.5057,37.6450,-1.4887,47.3522,47.3756
16:17:38,0.7153,0.0334,-2.0004,0.3387,3.3961,-0.0006,False,,0.0000,-0.0038,0.0000,,3.2354,37.2646,37.4048,-1.4887,47.5162,47.5395
16:17:38,0.7479,0.0325,-2.0005,0.3781,3.6012,-0.0054,False,,0.0000,-0.0038,0.0000,,3.2357,36.7807,36.9227,-1.4884,47.6577,47.6809
16:17:39,0.7808,0.0329,-2.0006,0.4197,3.7954,-0.0096,False,,0.0000,-0.0038,0.0000,,3.2360,36.2946,36.4385,-1.4882,47.7992,47.8224
16:17:39,0.8144,0.0336,-2.0006,0.4414,3.8949,-0.0114,False,,0.0000,-0.0038,0.0000,,3.2361,36.0507,36.1956,-1.4881,47.9641,47.9872
16:17:39,0.8467,0.0323,-2.0007,0.4862,4.0861,-0.0151,False,,0.0000,-0.0038,0.0000,,3.2363,35.5614,35.7083,-1.4879,48.0977,48.1207
16:17:39,0.8791,0.0324,-2.0008,0.5095,4.1812,-0.0170,False,,0.0000,-0.0038,0.0000,,3.2365,35.3159,35.4639,-1.4878,48.2549,48.2779
16:17:39,0.9113,0.0323,-2.0009,0.5575,4.3723,-0.0211,False,,0.0000,-0.0038,0.0000,,3.2367,34.8234,34.9735,-1.4875,48.3866,48.4094
16:17:39,0.9446,0.0333,-2.0010,0.6077,4.5631,-0.0255,False,,0.0000,-0.0038,0.0000,,3.2370,34.3287,34.4810,-1.4872,48.5212,48.5440
16:17:39,0.9786,0.0339,-2.0011,0.6336,4.6584,-0.0276,False,,0.0000,-0.0038,0.0000,,3.2372,34.0806,34.2340,-1.4871,48.6832,48.7059
16:17:39,1.0106,0.0321,-2.0012,0.6869,4.8488,-0.0322,False,,0.0000,-0.0038,0.0000,,3.2375,33.5828,33.7385,-1.4868,48.8087,48.8313
