Normal
2023”N7ŒŽ27“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
16:19:36,0.3733,0.3333,-2.0000,0.0905,1.7088,0.0289,False,,0.0000,0.0000,0.0000,,3.2337,41.2908,41.4172,-1.4901,46.4553,46.4792
16:19:36,0.5778,0.2044,-2.0000,0.2173,2.7231,0.0195,False,,0.0000,-0.0014,0.0000,,3.2342,38.9416,39.0757,-1.4898,46.9393,46.9630
16:19:36,0.6576,0.0799,-2.0000,0.2834,3.1002,0.0159,False,,0.0000,-0.0014,0.0000,,3.2343,37.9866,38.1241,-1.4897,47.2412,47.2647
16:19:36,0.6917,0.0341,-2.0001,0.3197,3.3207,0.0145,False,,0.0000,-0.0014,0.0000,,3.2344,37.5059,37.6451,-1.4896,47.3843,47.4077
16:19:37,0.7300,0.0383,-2.0001,0.3580,3.4919,0.0133,False,,0.0000,-0.0014,0.0000,,3.2345,37.0232,37.1642,-1.4896,47.5585,47.5819
16:19:37,0.7635,0.0336,-2.0001,0.3985,3.7047,0.0119,False,,0.0000,-0.0014,0.0000,,3.2346,36.5382,36.6811,-1.4896,47.7047,47.7280
16:19:37,0.7968,0.0332,-2.0001,0.4196,3.7909,0.0113,False,,0.0000,-0.0014,0.0000,,3.2346,36.2949,36.4387,-1.4896,47.8685,47.8916
16:19:37,0.8286,0.0318,-2.0001,0.4633,3.9840,0.0099,False,,0.0000,-0.0014,0.0000,,3.2347,35.8067,35.9525,-1.4895,48.0005,48.0237
16:19:37,0.8620,0.0334,-2.0002,0.5092,4.1814,0.0084,False,,0.0000,-0.0014,0.0000,,3.2348,35.3163,35.4642,-1.4894,48.1404,48.1634
16:19:37,0.8944,0.0324,-2.0002,0.5330,4.2766,0.0077,False,,0.0000,-0.0014,0.0000,,3.2348,35.0704,35.2192,-1.4894,48.2970,48.3200
16:19:37,0.9266,0.0322,-2.0002,0.5821,4.4675,0.0062,False,,0.0000,-0.0014,0.0000,,3.2349,34.5768,34.7278,-1.4894,48.4274,48.4503
16:19:37,0.9596,0.0330,-2.0002,0.6074,4.5629,0.0054,False,,0.0000,-0.0014,0.0000,,3.2350,34.3292,34.4813,-1.4894,48.5848,48.6077
16:19:37,0.9919,0.0323,-2.0002,0.6597,4.7534,0.0038,False,,0.0000,-0.0014,0.0000,,3.2351,33.8325,33.9868,-1.4893,48.7114,48.7341
16:19:37,1.0248,0.0329,-2.0003,0.7141,4.9438,0.0021,False,,0.0000,-0.0014,0.0000,,3.2352,33.3336,33.4903,-1.4892,48.8407,48.8634
16:19:37,1.0591,0.0343,-2.0003,0.7421,5.0389,0.0012,False,,0.0000,-0.0014,0.0000,,3.2352,33.0834,33.2412,-1.4892,49.0032,49.0258
16:19:37,1.0918,0.0328,-2.0003,0.7997,5.2291,-0.0006,False,,0.0000,-0.0014,0.0000,,3.2353,32.5814,32.7416,-1.4891,49.1266,49.1491
16:19:37,1.1259,0.0340,-2.0004,0.8594,5.4191,-0.0024,False,,0.0000,-0.0014,0.0000,,3.2355,32.0772,32.2400,-1.4890,49.2568,49.2793
16:19:37,1.1593,0.0334,-2.0004,0.8900,5.5140,-0.0034,False,,0.0000,-0.0014,0.0000,,3.2355,31.8244,31.9884,-1.4890,49.4117,49.4341
16:19:37,1.1932,0.0340,-2.0004,0.9528,5.7038,-0.0053,False,,0.0000,-0.0014,0.0000,,3.2356,31.3171,31.4838,-1.4889,49.5370,49.5593
16:19:37,1.2279,0.0347,-2.0005,1.0167,5.7567,-0.0072,False,,0.1247,-0.0014,0.0000,,3.2358,30.8088,30.9782,-1.4888,49.6664,49.6888
16:19:37,1.2622,0.0343,-2.0005,1.0819,5.9042,-0.0092,False,,0.4139,-0.0014,0.0000,,3.2359,30.2991,30.4714,-1.4886,49.7912,49.8134
16:19:37,1.2953,0.0331,-2.0006,1.1152,5.9960,-0.0102,False,,0.5000,-0.0014,0.0000,,3.2360,30.0436,30.2174,-1.4886,49.9423,49.9645
16:19:37,1.3287,0.0334,-2.0006,1.1837,6.2268,-0.0123,False,,0.6155,-0.0014,0.0000,,3.0792,29.5511,29.7111,-1.4885,50.0585,50.0806
16:19:37,1.3622,0.0335,-2.0007,1.2551,6.4944,-0.0146,False,,0.7086,-0.0014,0.0000,,3.0794,29.0352,29.1981,-1.4883,50.1742,50.1963
16:19:37,1.3953,0.0331,-2.0007,1.2920,6.6405,-0.0157,False,,0.7773,-0.0014,0.0000,,3.0795,28.7761,28.9404,-1.4883,50.3205,50.3425
16:19:37,1.4283,0.0330,-2.0008,1.3685,6.9618,-0.0181,False,,0.8459,-0.0014,0.0000,,3.0797,28.2552,28.4225,-1.4881,50.4274,50.4494
16:19:37,1.4623,0.0340,-2.0009,1.4487,7.3127,-0.0207,False,,0.9243,-0.0014,0.0000,,3.0798,27.7305,27.9010,-1.4880,50.5358,50.5577
16:19:37,1.4961,0.0337,-2.0009,1.4904,7.4990,-0.0220,False,,0.9881,-0.0014,0.0000,,3.0799,27.4666,27.6387,-1.4879,50.6820,50.7038
