Normal
2023”N7ŒŽ27“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
16:13:24,0.3733,0.3333,-2.0000,0.0905,1.7088,0.0289,False,,0.0000,0.0000,0.0000,,3.2337,41.2908,41.4172,-1.4901,46.4553,46.4792
16:13:24,0.5690,0.1957,-2.0001,0.2175,2.7378,0.0173,False,,0.0000,-0.0022,0.0000,,3.2343,38.9414,39.0755,-1.4896,46.9130,46.9367
16:13:24,0.6599,0.0909,-2.0001,0.2836,3.1183,0.0118,False,,0.0000,-0.0022,0.0000,,3.2346,37.9864,38.1238,-1.4894,47.2596,47.2831
16:13:24,0.6947,0.0348,-2.0002,0.3198,3.2987,0.0097,False,,0.0000,-0.0022,0.0000,,3.2347,37.5058,37.6450,-1.4893,47.4074,47.4307
16:13:24,0.7328,0.0381,-2.0002,0.3581,3.4965,0.0078,False,,0.0000,-0.0022,0.0000,,3.2349,37.0230,37.1641,-1.4892,47.5813,47.6046
16:13:24,0.7650,0.0322,-2.0002,0.3986,3.6917,0.0057,False,,0.0000,-0.0022,0.0000,,3.2350,36.5380,36.6809,-1.4891,47.7198,47.7431
16:13:24,0.7993,0.0343,-2.0003,0.4197,3.7964,0.0048,False,,0.0000,-0.0022,0.0000,,3.2350,36.2947,36.4386,-1.4891,47.8896,47.9127
16:13:25,0.8325,0.0332,-2.0003,0.4635,3.9898,0.0025,False,,0.0000,-0.0022,0.0000,,3.2352,35.8064,35.9523,-1.4890,48.0291,48.0522
16:13:25,0.8651,0.0326,-2.0004,0.5094,4.1815,0.0002,False,,0.0000,-0.0022,0.0000,,3.2353,35.3160,35.4639,-1.4889,48.1645,48.1875
16:13:25,0.8991,0.0340,-2.0004,0.5332,4.2774,-0.0010,False,,0.0000,-0.0022,0.0000,,3.2354,35.0700,35.2190,-1.4888,48.3299,48.3529
16:13:25,0.9313,0.0322,-2.0004,0.5823,4.4681,-0.0035,False,,0.0000,-0.0022,0.0000,,3.2356,34.5765,34.7275,-1.4887,48.4603,48.4831
16:13:25,0.9643,0.0330,-2.0005,0.6336,4.6588,-0.0060,False,,0.0000,-0.0022,0.0000,,3.2357,34.0808,34.2340,-1.4886,48.5913,48.6141
16:13:25,0.9992,0.0349,-2.0005,0.6600,4.7540,-0.0074,False,,0.0000,-0.0022,0.0000,,3.2358,33.8321,33.9865,-1.4885,48.7589,48.7816
16:13:25,1.0315,0.0322,-2.0006,0.7144,4.9444,-0.0101,False,,0.0000,-0.0022,0.0000,,3.2360,33.3333,33.4900,-1.4884,48.8843,48.9070
16:13:25,1.0653,0.0339,-2.0007,0.7709,5.1346,-0.0129,False,,0.0000,-0.0022,0.0000,,3.2362,32.8323,32.9914,-1.4882,49.0153,49.0379
16:13:25,1.1001,0.0348,-2.0008,0.8295,5.3247,-0.0158,False,,0.0000,-0.0022,0.0000,,3.2364,32.3292,32.4908,-1.4880,49.1502,49.1727
16:13:25,1.1328,0.0327,-2.0008,0.8594,5.3682,-0.0173,False,,0.1884,-0.0022,0.0000,,3.2365,32.0771,32.2400,-1.4879,49.3022,49.3246
16:13:25,1.1663,0.0335,-2.0009,0.9202,5.5136,-0.0202,False,,0.4041,-0.0022,0.0000,,3.2367,31.5718,31.7373,-1.4878,49.4266,49.4490
16:13:25,1.2004,0.0341,-2.0010,0.9830,5.7004,-0.0231,False,,0.5000,-0.0020,0.0000,,3.2369,31.0646,31.2327,-1.4876,49.5541,49.5764
16:13:25,1.2341,0.0337,-2.0010,1.0152,5.7952,-0.0245,False,,0.5000,-0.0020,0.0000,,3.2370,30.8101,30.9797,-1.4875,49.7093,49.7316
16:13:25,1.2679,0.0339,-2.0011,1.0812,5.9847,-0.0272,False,,0.5000,-0.0016,0.0000,,3.2372,30.2997,30.4721,-1.4873,49.8308,49.8530
16:13:25,1.3024,0.0345,-2.0012,1.1492,6.1740,-0.0294,False,,0.5000,-0.0012,0.0000,,3.2374,29.7872,29.9626,-1.4872,49.9549,49.9770
16:13:25,1.3354,0.0330,-2.0012,1.1841,6.2685,-0.0303,False,,0.5000,-0.0009,0.0000,,3.0806,29.5506,29.7107,-1.4871,50.1023,50.1244
16:13:25,1.3702,0.0348,-2.0013,1.2553,6.4575,-0.0313,False,,0.5000,0.0000,0.0000,,3.0807,29.0349,29.1979,-1.4870,50.2255,50.2475
16:13:25,1.4040,0.0338,-2.0013,1.3286,6.6462,-0.0316,False,,0.5000,0.0000,0.0000,,3.0807,28.5172,28.6831,-1.4870,50.3391,50.3610
16:13:25,1.4378,0.0338,-2.0014,1.3661,6.7405,-0.0316,False,,0.5000,0.0000,0.0000,,3.0808,28.2575,28.4249,-1.4870,50.4897,50.5116
16:13:25,1.4700,0.0322,-2.0014,1.4425,6.9289,-0.0317,False,,0.5000,0.0000,0.0000,,3.0808,27.7366,27.9072,-1.4870,50.5915,50.6134
16:13:25,1.5021,0.0322,-2.0015,1.5211,7.1171,-0.0318,False,,0.5000,0.0000,0.0000,,3.0809,27.2136,27.3874,-1.4870,50.6924,50.7142
16:13:25,1.5345,0.0324,-2.0015,1.5611,7.2111,-0.0318,False,,0.5000,0.0000,0.0000,,3.0809,26.9513,27.1268,-1.4870,50.8315,50.8533
16:13:25,1.5675,0.0330,-2.0015,1.6428,7.3989,-0.0318,False,,0.5000,0.0000,0.0000,,3.0809,26.4252,26.6042,-1.4869,50.9337,50.9554
16:13:25,1.6014,0.0339,-2.0016,1.7266,7.5865,-0.0318,False,,0.5000,0.0000,0.0000,,3.0810,25.8970,26.0796,-1.4869,51.0381,51.0598
16:13:25,1.6355,0.0341,-2.0016,1.7693,7.6802,-0.0318,False,,0.5000,0.0000,0.0000,,3.0810,25.6321,25.8166,-1.4869,51.1851,51.2067
16:13:25,1.6679,0.0324,-2.0016,1.8562,7.8674,-0.0318,False,,0.5000,0.0000,0.0000,,3.0811,25.1007,25.2891,-1.4869,51.2781,51.2997
16:13:25,1.7007,0.0328,-2.0017,1.9452,8.0656,-0.0318,False,,0.5322,0.0000,0.0000,,3.0811,24.5672,24.7597,-1.4869,51.3710,51.3925
16:13:25,1.7349,0.0342,-2.0017,1.9906,8.1714,-0.0318,False,,0.5714,0.0000,0.0000,,3.0811,24.2996,24.4942,-1.4869,51.5161,51.5375
16:13:25,1.7683,0.0335,-2.0018,2.0833,8.3962,-0.0318,False,,0.6008,0.0000,0.0000,,3.0812,23.7625,23.9614,-1.4868,51.6089,51.6303
16:13:25,1.8017,0.0334,-2.0018,2.1786,8.6340,-0.0318,False,,0.6351,0.0000,0.0000,,3.0812,23.2228,23.4263,-1.4868,51.6992,51.7206
16:13:26,1.8351,0.0334,-2.0018,2.2272,8.7557,-0.0318,False,,0.6498,0.0000,0.0000,,3.0813,22.9519,23.1578,-1.4868,51.8363,51.8576
16:13:26,1.8687,0.0335,-2.0019,2.3266,9.0037,-0.0318,False,,0.6596,0.0000,0.0000,,3.0813,22.4081,22.6190,-1.4867,51.9232,51.9445
16:13:26,1.9023,0.0337,-2.0020,2.4287,9.2619,-0.0318,False,,0.6890,0.0000,0.0000,,3.0814,21.8615,22.0776,-1.4867,52.0078,52.0291
16:13:26,1.9367,0.0344,-2.0020,2.4809,9.3959,-0.0318,False,,0.7184,0.0000,0.0000,,3.0814,21.5871,21.8059,-1.4867,52.1463,52.1675
16:13:26,1.9694,0.0326,-2.0020,2.5877,9.6799,-0.0318,False,,0.7577,0.0000,0.0000,,3.0815,21.0359,21.2604,-1.4867,52.2214,52.2425
16:13:26,2.0040,0.0346,-2.0021,2.6977,9.9738,-0.0318,False,,0.7822,0.0000,0.0000,,3.0815,20.4815,20.7120,-1.4866,52.3039,52.3250
16:13:26,2.0372,0.0333,-2.0021,2.7540,10.1274,-0.0318,False,,0.8263,0.0000,0.0000,,3.0816,20.2030,20.4366,-1.4866,52.4321,52.4532
16:13:26,2.0700,0.0328,-2.0022,2.8692,10.4508,-0.0318,False,,0.8606,0.0000,0.0000,,3.0816,19.6433,19.8836,-1.4866,52.4992,52.5202
