Normal
2023”N7ŒŽ27“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:53:36,0.3733,0.3333,-2.0000,0.0905,1.7088,0.0289,False,,0.0000,0.0000,0.0000,,3.2337,41.2908,41.4172,-1.4901,46.4553,46.4792
15:53:37,0.5188,0.1455,-1.9999,0.1738,2.4303,0.0348,False,,0.0000,0.0000,0.0000,,3.2335,39.6519,39.7835,-1.4905,46.8064,46.8302
15:53:37,0.5646,0.0458,-1.9999,0.2177,2.7228,0.0351,False,,0.0000,0.0000,0.0000,,3.2334,38.9413,39.0754,-1.4905,46.9527,46.9763
15:53:37,0.6029,0.0383,-1.9999,0.2497,2.9275,0.0352,False,,0.0000,0.0000,0.0000,,3.2334,38.4649,38.6006,-1.4906,47.0937,47.1173
15:53:37,0.6389,0.0360,-1.9999,0.2665,3.0302,0.0350,False,,0.0000,0.0000,0.0000,,3.2334,38.2258,38.3623,-1.4906,47.2505,47.2740
15:53:37,0.6766,0.0378,-1.9999,0.3017,3.2200,0.0331,False,,0.0000,0.0000,0.0000,,3.2334,37.7462,37.8845,-1.4906,47.4084,47.4318
15:53:37,0.7154,0.0387,-1.9998,0.3389,3.3939,0.0351,False,,0.0000,0.0000,0.0000,,3.2333,37.2646,37.4046,-1.4908,47.5805,47.6039
15:53:37,0.7525,0.0371,-1.9998,0.3783,3.5922,0.0353,False,,0.0000,0.0000,0.0000,,3.2333,36.7808,36.9226,-1.4908,47.7466,47.7699
15:53:37,0.7898,0.0374,-1.9998,0.4199,3.7906,0.0354,False,,0.0000,0.0000,0.0000,,3.2333,36.2947,36.4384,-1.4909,47.9122,47.9354
15:53:37,0.8280,0.0382,-1.9998,0.4636,3.9841,0.0356,False,,0.0000,0.0000,0.0000,,3.2333,35.8065,35.9522,-1.4910,48.0812,48.1044
15:53:37,0.8651,0.0371,-1.9997,0.5096,4.1811,0.0356,False,,0.0000,0.0000,0.0000,,3.2332,35.3162,35.4639,-1.4910,48.2420,48.2650
15:53:37,0.9052,0.0401,-1.9997,0.5576,4.3717,0.0356,False,,0.0000,0.0000,0.0000,,3.2332,34.8237,34.9735,-1.4911,48.4168,48.4398
15:53:37,0.9442,0.0389,-1.9997,0.6078,4.5624,0.0356,False,,0.0000,0.0000,0.0000,,3.2332,34.3291,34.4810,-1.4912,48.5830,48.6059
15:53:37,0.9836,0.0394,-1.9996,0.6600,4.7529,0.0356,False,,0.0000,0.0000,0.0000,,3.2331,33.8324,33.9865,-1.4912,48.7487,48.7715
15:53:37,1.0213,0.0377,-1.9996,0.7144,4.9433,0.0356,False,,0.0000,0.0000,0.0000,,3.2331,33.3335,33.4900,-1.4913,48.9043,48.9271
15:53:37,1.0608,0.0395,-1.9996,0.7709,5.1335,0.0356,False,,0.0000,0.0000,0.0000,,3.2331,32.8326,32.9914,-1.4914,49.0677,49.0904
15:53:37,1.0987,0.0379,-1.9996,0.8000,5.2286,0.0356,False,,0.0000,0.0000,0.0000,,3.2330,32.5813,32.7413,-1.4914,49.2497,49.2723
15:53:37,1.1358,0.0370,-1.9995,0.8597,5.4186,0.0356,False,,0.0000,0.0000,0.0000,,3.2330,32.0772,32.2397,-1.4915,49.3948,49.4173
15:53:37,1.1736,0.0378,-1.9995,0.9215,5.6085,0.0356,False,,0.0000,0.0000,0.0000,,3.2330,31.5710,31.7361,-1.4915,49.5436,49.5660
15:53:37,1.2123,0.0387,-1.9994,0.9854,5.7981,0.0356,False,,0.0000,0.0000,0.0000,,3.2329,31.0626,31.2304,-1.4916,49.6951,49.7174
15:53:37,1.2494,0.0371,-1.9994,1.0514,5.9876,0.0356,False,,0.0000,0.0000,0.0000,,3.2329,30.5522,30.7227,-1.4917,49.8340,49.8564
15:53:37,1.2873,0.0379,-1.9994,1.1195,6.1769,0.0356,False,,0.0000,0.0000,0.0000,,3.2328,30.0396,30.2131,-1.4918,49.9771,49.9993
15:53:37,1.3257,0.0385,-1.9993,1.1897,6.3659,0.0356,False,,0.0000,0.0000,0.0000,,3.0759,29.5455,29.7052,-1.4918,50.1205,50.1427
15:53:37,1.3642,0.0385,-1.9993,1.2620,6.5548,0.0356,False,,0.0000,0.0000,0.0000,,3.0759,29.0287,29.1912,-1.4919,50.2618,50.2839
15:53:37,1.4037,0.0395,-1.9992,1.3364,6.7434,0.0356,False,,0.0000,0.0000,0.0000,,3.0758,28.5099,28.6753,-1.4920,50.4075,50.4296
15:53:37,1.4424,0.0387,-1.9992,1.4129,6.9318,0.0356,False,,0.0000,0.0000,0.0000,,3.0758,27.9889,28.1574,-1.4921,50.5455,50.5675
15:53:37,1.4807,0.0383,-1.9991,1.4915,7.1200,0.0356,False,,0.0000,0.0000,0.0000,,3.0757,27.4659,27.6376,-1.4921,50.6800,50.7019
15:53:38,1.5200,0.0394,-1.9991,1.5721,7.3079,0.0356,False,,0.0000,0.0000,0.0000,,3.0757,26.9408,27.1158,-1.4922,50.8176,50.8395
15:53:38,1.5576,0.0375,-1.9991,1.6133,7.4018,0.0356,False,,0.0000,0.0000,0.0000,,3.0756,26.6775,26.8542,-1.4923,50.9854,51.0073
15:53:38,1.5957,0.0381,-1.9990,1.6971,7.5894,0.0356,False,,0.0000,0.0000,0.0000,,3.0756,26.1492,26.3295,-1.4923,51.1127,51.1345
15:53:38,1.6357,0.0400,-1.9990,1.7830,7.7767,0.0356,False,,0.0000,0.0000,0.0000,,3.0755,25.6189,25.8028,-1.4924,51.2498,51.2715
15:53:38,1.6742,0.0385,-1.9989,1.8709,7.9638,0.0356,False,,0.0000,0.0000,0.0000,,3.0755,25.0865,25.2743,-1.4925,51.3751,51.3968
15:53:38,1.7129,0.0387,-1.9988,1.9610,8.1506,0.0356,False,,0.0000,0.0000,0.0000,,3.0754,24.5520,24.7438,-1.4926,51.4995,51.5212
15:53:38,1.7495,0.0366,-1.9988,2.0531,8.3372,0.0356,False,,0.0000,0.0000,0.0000,,3.0754,24.0154,24.2115,-1.4926,51.6118,51.6334
15:53:38,1.7868,0.0373,-1.9987,2.1473,8.5236,0.0356,False,,0.0000,0.0000,0.0000,,3.0753,23.4768,23.6774,-1.4927,51.7243,51.7458
15:53:38,1.8248,0.0381,-1.9987,2.2435,8.7097,0.0356,False,,0.0000,0.0000,0.0000,,3.0752,22.9361,23.1413,-1.4928,51.8392,51.8607
15:53:38,1.8634,0.0385,-1.9986,2.3419,8.8956,0.0356,False,,0.0000,0.0000,0.0000,,3.0752,22.3933,22.6035,-1.4929,51.9553,51.9768
15:53:38,1.9023,0.0390,-1.9985,2.4422,9.0812,0.0356,False,,0.0000,0.0000,0.0000,,3.0751,21.8485,22.0638,-1.4930,52.0717,52.0931
15:53:38,1.9426,0.0402,-1.9985,2.5447,9.2666,0.0356,False,,0.0000,0.0000,0.0000,,3.0751,21.3016,21.5224,-1.4931,52.1925,52.2138
15:53:38,1.9805,0.0379,-1.9984,2.6492,9.4518,0.0356,False,,0.0000,0.0000,0.0000,,3.0750,20.7527,20.9792,-1.4931,52.2987,52.3200
15:53:38,2.0191,0.0386,-1.9984,2.7022,9.5443,0.0356,False,,0.0000,0.0000,0.0000,,3.0750,20.4774,20.7070,-1.4932,52.4604,52.4816
15:53:38,2.0569,0.0378,-1.9983,2.8098,9.7291,0.0356,False,,0.0000,0.0000,0.0000,,3.0749,19.9254,20.1613,-1.4933,52.5627,52.5839
15:53:38,2.0950,0.0381,-1.9982,2.9194,9.9137,0.0356,False,,0.0000,0.0000,0.0000,,3.0748,19.3713,19.6138,-1.4934,52.6647,52.6858
15:53:38,2.1321,0.0371,-1.9982,3.0307,10.0254,0.0356,False,,0.0000,0.0000,0.0000,,3.0748,18.8156,19.0652,-1.4935,52.7593,52.7805
15:53:38,2.1721,0.0400,-1.9981,3.1420,10.0125,0.0356,False,,0.0000,0.0000,0.0000,,3.0747,18.2599,18.5169,-1.4936,52.8697,52.8908
15:53:38,2.2113,0.0392,-1.9980,3.2532,10.0000,0.0356,False,,0.0000,0.0000,0.0000,,3.0746,17.7043,17.9693,-1.4936,52.9763,52.9973
15:53:38,2.2500,0.0387,-1.9980,3.3646,10.0605,0.0356,False,,0.0000,0.0000,0.0000,,3.0746,17.1484,17.4218,-1.4937,53.0798,53.1008
15:53:38,2.2882,0.0383,-1.9979,3.4765,10.0735,0.0356,False,,0.0000,0.0000,0.0000,,3.0745,16.5920,16.8744,-1.4938,53.1804,53.2014
15:53:38,2.3274,0.0391,-1.9978,3.5884,10.0609,0.0356,False,,0.0000,0.0000,0.0000,,3.0744,16.0357,16.3278,-1.4939,53.2861,53.3070
15:53:38,2.3665,0.0391,-1.9978,3.7000,10.0484,0.0356,False,,0.0000,0.0000,0.0000,,3.0743,15.4796,15.7819,-1.4940,53.3916,53.4125
15:53:38,2.4052,0.0388,-1.9977,3.8116,10.0358,0.0356,False,,0.0000,0.0000,0.0000,,3.0743,14.9236,15.2370,-1.4941,53.4954,53.5162
15:53:38,2.4459,0.0407,-1.9976,3.9230,10.0233,0.0356,False,,0.0000,0.0000,0.0000,,3.0742,14.3678,14.6930,-1.4942,53.6103,53.6311
15:53:38,2.4858,0.0399,-1.9976,4.0345,10.0380,0.0356,False,,0.0806,0.0000,0.0000,,3.0741,13.8118,14.1498,-1.4943,53.7206,53.7414
15:53:39,2.5243,0.0385,-1.9975,4.1467,10.1262,0.0356,False,,0.2816,0.0000,0.0000,,3.0741,13.2552,13.6070,-1.4943,53.8223,53.8430
15:53:39,2.5637,0.0394,-1.9974,4.2605,10.2765,0.0360,False,,0.4335,0.0004,0.0000,,3.0740,12.6970,13.0638,-1.4945,53.9272,53.9479
15:53:39,2.6026,0.0389,-1.9973,4.3761,10.4570,0.0368,False,,0.5000,0.0004,0.0000,,3.0738,12.1369,12.5201,-1.4946,54.0278,54.0485
15:53:39,2.6422,0.0397,-1.9972,4.4939,10.6406,0.0380,False,,0.5000,0.0006,0.0000,,3.0737,11.5747,11.9759,-1.4948,54.1303,54.1510
15:53:39,2.6818,0.0395,-1.9971,4.6136,10.8240,0.0400,False,,0.5000,0.0012,0.0000,,3.0735,11.0105,11.4315,-1.4950,54.2296,54.2502
15:53:39,2.7216,0.0399,-1.9969,4.7354,11.0071,0.0436,False,,0.5000,0.0022,0.0000,,3.0732,10.4443,10.8871,-1.4953,54.3301,54.3506
15:53:39,2.7598,0.0381,-1.9968,4.7971,11.0986,0.0465,False,,0.5000,0.0037,0.0000,,3.0729,10.1605,10.6150,-1.4956,54.4797,54.5002
15:53:39,2.7995,0.0397,-1.9965,4.9219,11.2814,0.0553,False,,0.5000,0.0049,0.0000,,3.0723,9.5912,10.0713,-1.4963,54.5757,54.5962
15:53:39,2.8400,0.0405,-1.9959,5.1130,11.5552,0.0743,False,,0.5000,0.0056,0.0000,,3.0709,8.7337,9.2578,-1.4977,54.6096,54.6301
