Normal
2023”N7ŒŽ27“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
16:01:52,0.3733,0.3333,-2.0000,0.0905,1.7088,0.0289,False,,0.0000,0.0000,0.0000,,3.2337,41.2908,41.4172,-1.4901,46.4553,46.4792
16:01:52,0.5770,0.2037,-2.0002,0.2176,2.7214,0.0062,False,,0.0000,-0.0043,0.0000,,3.2349,38.9412,39.0754,-1.4890,46.9369,46.9605
16:01:52,0.6487,0.0716,-2.0004,0.2836,3.1249,-0.0011,False,,0.0000,-0.0043,0.0000,,3.2354,37.9863,38.1238,-1.4886,47.2003,47.2237
16:01:53,0.6836,0.0350,-2.0004,0.3198,3.3075,-0.0062,False,,0.0000,-0.0043,0.0000,,3.2357,37.5056,37.6449,-1.4884,47.3457,47.3691
16:01:53,0.7210,0.0373,-2.0005,0.3582,3.4980,-0.0129,False,,0.0000,-0.0043,0.0000,,3.2360,37.0228,37.1639,-1.4880,47.5122,47.5355
16:01:53,0.7660,0.0451,-2.0006,0.3987,3.6958,-0.0178,False,,0.0000,-0.0043,0.0000,,3.2363,36.5378,36.6808,-1.4878,47.7223,47.7455
16:01:53,0.7983,0.0323,-2.0007,0.4198,3.7932,-0.0204,False,,0.0000,-0.0038,0.0000,,3.2365,36.2945,36.4385,-1.4876,47.8807,47.9038
16:01:53,0.8304,0.0321,-2.0008,0.4635,3.9867,-0.0246,False,,0.0000,-0.0033,0.0000,,3.2368,35.8062,35.9522,-1.4874,48.0144,48.0374
16:01:53,0.8641,0.0337,-2.0009,0.5094,4.1813,-0.0277,False,,0.0000,-0.0031,0.0000,,3.2370,35.3158,35.4639,-1.4872,48.1557,48.1786
16:01:53,0.8967,0.0326,-2.0009,0.5332,4.2766,-0.0293,False,,0.0000,-0.0031,0.0000,,3.2371,35.0699,35.2189,-1.4871,48.3132,48.3361
16:01:53,0.9291,0.0324,-2.0010,0.5823,4.4675,-0.0326,False,,0.0000,-0.0030,0.0000,,3.2374,34.5763,34.7275,-1.4869,48.4448,48.4676
16:01:53,0.9632,0.0341,-2.0011,0.6335,4.6581,-0.0361,False,,0.0000,-0.0030,0.0000,,3.2376,34.0806,34.2340,-1.4867,48.5816,48.6044
16:01:53,0.9952,0.0320,-2.0012,0.6599,4.7534,-0.0379,False,,0.0000,-0.0030,0.0000,,3.2378,33.8319,33.9865,-1.4866,48.7333,48.7560
16:01:53,1.0274,0.0322,-2.0013,0.7143,4.9437,-0.0416,False,,0.0000,-0.0030,0.0000,,3.2380,33.3331,33.4900,-1.4863,48.8585,48.8811
16:01:53,1.0602,0.0328,-2.0014,0.7709,5.1340,-0.0454,False,,0.0000,-0.0030,0.0000,,3.2383,32.8321,32.9914,-1.4861,48.9836,49.0061
16:01:53,1.0938,0.0336,-2.0015,0.7999,5.2290,-0.0475,False,,0.0000,-0.0033,0.0000,,3.2385,32.5808,32.7414,-1.4859,49.1409,49.1634
16:01:53,1.1273,0.0336,-2.0016,0.8584,5.2700,-0.0518,False,,0.0953,-0.0036,0.0000,,3.2388,32.0778,32.2409,-1.4856,49.2698,49.2922
16:01:53,1.1600,0.0327,-2.0018,0.9178,5.3793,-0.0561,False,,0.3061,-0.0033,0.0000,,3.2391,31.5739,31.7396,-1.4853,49.3911,49.4134
16:01:53,1.1934,0.0334,-2.0019,0.9482,5.4630,-0.0583,False,,0.4678,-0.0032,0.0000,,3.2393,31.3213,31.4884,-1.4852,49.5465,49.5688
16:01:53,1.2261,0.0327,-2.0020,1.0105,5.6522,-0.0624,False,,0.5000,-0.0028,0.0000,,3.2396,30.8146,30.9844,-1.4849,49.6664,49.6886
16:01:53,1.2584,0.0323,-2.0021,1.0424,5.7470,-0.0644,False,,0.5000,-0.0024,0.0000,,3.2398,30.5604,30.7317,-1.4847,49.8130,49.8351
16:01:53,1.2903,0.0319,-2.0023,1.1078,5.9365,-0.0681,False,,0.5000,-0.0024,0.0000,,3.2401,30.0505,30.2247,-1.4844,49.9255,49.9476
