Wheel
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:20:49,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:20:49,0.5006,0.1273,-1.5000,0.1746,2.4225,0.0035,False,,0.0000,0.0009,0.0000,,2.9998,186.8302,186.8543,-0.8652,96.7951,96.7990
17:20:49,0.5377,0.0371,-1.5000,0.1887,2.5386,0.0020,False,,0.0000,0.0009,0.0000,,2.9999,186.4828,186.5069,-0.8651,96.8190,96.8229
17:20:49,0.5674,0.0297,-1.4999,0.2185,2.7410,0.0032,False,,0.0000,0.0009,0.0000,,2.9998,185.7864,185.8106,-0.8652,96.8698,96.8737
17:20:49,0.5957,0.0282,-1.4999,0.2341,2.8091,0.0029,False,,0.0000,0.0009,0.0000,,2.9998,185.4375,185.4617,-0.8652,96.8967,96.9005
17:20:49,0.6357,0.0400,-1.4999,0.2671,3.0125,0.0052,False,,0.0000,0.0009,0.0000,,2.9997,184.7378,184.7621,-0.8653,96.9527,96.9565
17:20:49,0.6623,0.0266,-1.4999,0.3023,3.2194,0.0041,False,,0.0000,0.0009,0.0000,,2.9997,184.0360,184.0604,-0.8653,97.0124,97.0163
17:20:49,0.7019,0.0396,-1.4999,0.3396,3.4045,0.0070,False,,0.0000,0.0009,0.0000,,2.9996,183.3321,183.3566,-0.8654,97.0760,97.0799
17:20:49,0.7288,0.0269,-1.4999,0.3590,3.4999,0.0087,False,,0.0000,0.0009,0.0000,,2.9995,182.9793,183.0039,-0.8655,97.1092,97.1130
17:20:49,0.7784,0.0497,-1.4998,0.3996,3.6968,0.0101,False,,0.0000,0.0009,0.0000,,2.9994,182.2721,182.2967,-0.8656,97.1781,97.1819
17:20:49,0.8070,0.0285,-1.4998,0.4422,3.8889,0.0102,False,,0.0000,0.0009,0.0000,,2.9994,181.5627,181.5875,-0.8656,97.2507,97.2545
17:20:49,0.8414,0.0344,-1.4998,0.4871,4.0838,0.0109,False,,0.0000,0.0009,0.0000,,2.9993,180.8512,180.8761,-0.8657,97.3267,97.3306
17:20:49,0.8723,0.0309,-1.4998,0.5103,4.1812,0.0115,False,,0.0000,0.0009,0.0000,,2.9993,180.4947,180.5196,-0.8657,97.3661,97.3700
17:20:49,0.9045,0.0322,-1.4997,0.5584,4.3719,0.0126,False,,0.0000,0.0009,0.0000,,2.9992,179.7800,179.8050,-0.8658,97.4471,97.4509
17:20:49,0.9368,0.0322,-1.4997,0.5832,4.4673,0.0131,False,,0.0000,0.0009,0.0000,,2.9992,179.4218,179.4469,-0.8658,97.4891,97.4929
17:20:49,0.9663,0.0296,-1.4997,0.6344,4.6579,0.0142,False,,0.0000,0.0009,0.0000,,2.9991,178.7039,178.7291,-0.8659,97.5750,97.5789
17:20:49,0.9934,0.0271,-1.4997,0.6608,4.7531,0.0147,False,,0.0000,0.0009,0.0000,,2.9991,178.3442,178.3694,-0.8659,97.6194,97.6233
17:20:49,1.0432,0.0498,-1.4996,0.7432,5.0387,0.0163,False,,0.0000,0.0009,0.0000,,2.9989,177.2618,177.2872,-0.8661,97.7575,97.7614
17:20:49,1.0680,0.0248,-1.4996,0.7717,5.1338,0.0169,False,,0.0000,0.0009,0.0000,,2.9989,176.9000,176.9254,-0.8661,97.8053,97.8091
17:20:49,1.1047,0.0366,-1.4996,0.8303,5.3238,0.0180,False,,0.0000,0.0009,0.0000,,2.9988,176.1747,176.2002,-0.8662,97.9032,97.9070
17:20:49,1.1291,0.0244,-1.4995,0.8601,5.3545,0.0186,False,,0.1100,0.0009,0.0000,,2.9987,175.8116,175.8372,-0.8663,97.9531,97.9570
17:20:49,1.1770,0.0479,-1.4995,0.9202,5.4272,0.0197,False,,0.2129,0.0009,0.0000,,2.9986,175.0849,175.1106,-0.8663,98.0579,98.0618
17:20:49,1.2014,0.0244,-1.4994,0.9818,5.5868,0.0209,False,,0.4384,0.0009,0.0000,,2.9985,174.3566,174.3824,-0.8664,98.1663,98.1702
17:20:49,1.2368,0.0354,-1.4994,1.0133,5.6796,0.0215,False,,0.5000,0.0009,0.0000,,2.9985,173.9917,174.0176,-0.8665,98.2217,98.2256
17:20:49,1.2604,0.0236,-1.4994,1.0780,5.8693,0.0228,False,,0.5000,0.0009,0.0000,,2.9984,173.2604,173.2863,-0.8666,98.3338,98.3376
17:20:49,1.3105,0.0501,-1.4993,1.1449,6.0720,0.0241,False,,0.5371,0.0009,0.0000,,2.9983,172.5268,172.5529,-0.8667,98.4500,98.4539
17:20:50,1.3362,0.0257,-1.4993,1.1793,6.1835,0.0248,False,,0.5959,0.0009,0.0000,,2.9982,172.1592,172.1853,-0.8668,98.5091,98.5129
17:20:50,1.3719,0.0357,-1.4992,1.2499,6.4189,0.0261,False,,0.6204,0.0009,0.0000,,2.9981,171.4218,171.4481,-0.8669,98.6294,98.6332
17:20:50,1.3980,0.0261,-1.4992,1.2863,6.5456,0.0269,False,,0.6743,0.0009,0.0000,,2.9980,171.0522,171.0784,-0.8670,98.6906,98.6944
17:20:50,1.4361,0.0381,-1.4991,1.3613,6.8200,0.0283,False,,0.7233,0.0009,0.0000,,2.9979,170.3105,170.3369,-0.8671,98.8146,98.8184
17:20:50,1.4617,0.0256,-1.4990,1.4396,7.1149,0.0299,False,,0.7773,0.0009,0.0000,,2.9978,169.5656,169.5921,-0.8672,98.9408,98.9446
17:20:50,1.5113,0.0496,-1.4990,1.5211,7.4184,0.0315,False,,0.7969,0.0009,0.0000,,2.9976,168.8174,168.8440,-0.8674,99.0690,99.0728
17:20:50,1.5369,0.0256,-1.4989,1.5632,7.5749,0.0323,False,,0.8263,0.0009,0.0000,,2.9975,168.4420,168.4686,-0.8675,99.1338,99.1376
17:20:50,1.5611,0.0242,-1.4988,1.6500,7.8935,0.0341,False,,0.8361,0.0009,0.0000,,2.9974,167.6885,167.7153,-0.8676,99.2643,99.2681
17:20:50,1.6108,0.0497,-1.4987,1.7405,8.2189,0.0359,False,,0.8557,0.0009,0.0000,,2.9972,166.9314,166.9583,-0.8678,99.3954,99.3992
17:20:50,1.6368,0.0260,-1.4987,1.7871,8.3918,0.0368,False,,0.9243,0.0009,0.0000,,2.9971,166.5515,166.5784,-0.8679,99.4622,99.4660
17:20:50,1.6612,0.0244,-1.4986,1.8834,8.7625,0.0387,False,,0.9782,0.0009,0.0000,,2.9969,165.7885,165.8156,-0.8681,99.5961,99.5999
17:20:50,1.7100,0.0488,-1.4985,1.9839,9.1429,0.0407,False,,1.0000,0.0009,0.0000,,2.9967,165.0213,165.0485,-0.8683,99.7311,99.7348
17:20:50,1.7349,0.0250,-1.4984,2.0358,9.3335,0.0418,False,,1.0000,0.0009,0.0000,,2.9966,164.6361,164.6634,-0.8684,99.7980,99.8018
17:20:50,1.7708,0.0359,-1.4983,2.1427,9.7144,0.0439,False,,1.0000,0.0009,0.0000,,2.9964,163.8626,163.8900,-0.8686,99.9345,99.9383
17:20:50,1.7961,0.0253,-1.4982,2.1977,9.9047,0.0450,False,,1.0000,0.0009,0.0000,,2.9963,163.4742,163.5017,-0.8687,100.0028,100.0066
17:20:50,1.8328,0.0367,-1.4981,2.3109,10.2848,0.0473,False,,1.0000,0.0009,0.0000,,2.9961,162.6944,162.7220,-0.8689,100.1402,100.1440
17:20:50,1.8701,0.0373,-1.4979,2.4283,10.6645,0.0496,False,,1.0000,0.0009,0.0000,,2.9958,161.9103,161.9380,-0.8692,100.2784,100.2822
17:20:50,1.8944,0.0243,-1.4979,2.4886,10.8542,0.0508,False,,1.0000,0.0009,0.0000,,2.9957,161.5166,161.5444,-0.8693,100.3458,100.3496
17:20:50,1.9441,0.0497,-1.4976,2.6759,11.4224,0.0546,False,,1.0000,0.0009,0.0000,,2.9953,160.3294,160.3574,-0.8697,100.5406,100.5444
17:20:50,1.9689,0.0248,-1.4975,2.7404,11.6116,0.0559,False,,1.0000,0.0009,0.0000,,2.9951,159.9316,159.9597,-0.8699,100.6031,100.6069
17:20:50,1.9939,0.0249,-1.4974,2.8059,11.8007,0.0572,False,,1.0000,0.0009,0.0000,,2.9950,159.5327,159.5608,-0.8700,100.6635,100.6672
17:20:50,2.0426,0.0487,-1.4971,3.0089,12.3671,0.0612,False,,1.0000,0.0009,0.0000,,2.9945,158.3298,158.3581,-0.8705,100.8371,100.8409
17:20:50,2.0667,0.0241,-1.4970,3.0787,12.5557,0.0626,False,,1.0000,0.0009,0.0000,,2.9944,157.9267,157.9551,-0.8706,100.8924,100.8962
17:20:50,2.1023,0.0356,-1.4968,3.2213,12.9324,0.0654,False,,1.0000,0.0009,0.0000,,2.9940,157.1174,157.1459,-0.8710,100.9986,101.0024
17:20:50,2.1270,0.0247,-1.4967,3.2942,13.1206,0.0669,False,,1.0000,0.0009,0.0000,,2.9939,156.7112,156.7398,-0.8711,101.0499,101.0536
17:20:50,2.1750,0.0480,-1.4965,3.4431,13.4966,0.0699,False,,1.0000,0.0009,0.0000,,2.9935,155.8956,155.9243,-0.8715,101.1497,101.1534
17:20:50,2.2003,0.0253,-1.4962,3.5962,13.8722,0.0729,False,,1.0000,0.0009,0.0000,,2.9931,155.0758,155.1047,-0.8719,101.2454,101.2491
17:20:50,2.2369,0.0365,-1.4961,3.6743,14.0597,0.0745,False,,1.0000,0.0009,0.0000,,2.9929,154.6644,154.6934,-0.8721,101.2909,101.2947
17:20:50,2.2612,0.0243,-1.4958,3.8337,14.4345,0.0776,False,,1.0000,0.0009,0.0000,,2.9925,153.8384,153.8675,-0.8725,101.3790,101.3828
17:20:50,2.3102,0.0490,-1.4955,3.9972,14.8089,0.0809,False,,1.0000,0.0009,0.0000,,2.9921,153.0083,153.0375,-0.8729,101.4614,101.4652
17:20:51,2.3355,0.0253,-1.4954,4.0805,14.9959,0.0825,False,,1.0000,0.0009,0.0000,,2.9919,152.5916,152.6209,-0.8731,101.5007,101.5044
