Wheel
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:21:32,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:21:32,0.5014,0.1280,-1.5000,0.1748,2.4287,0.0040,False,,0.0000,0.0011,0.0000,,2.9998,186.8301,186.8542,-0.8652,96.7949,96.7988
17:21:32,0.5394,0.0380,-1.4999,0.1889,2.5457,0.0048,False,,0.0000,0.0011,0.0000,,2.9997,186.4826,186.5068,-0.8653,96.8189,96.8227
17:21:32,0.5700,0.0306,-1.4999,0.2187,2.7289,0.0040,False,,0.0000,0.0011,0.0000,,2.9998,185.7862,185.8104,-0.8652,96.8696,96.8735
17:21:32,0.5980,0.0280,-1.4999,0.2344,2.8269,0.0043,False,,0.0000,0.0011,0.0000,,2.9997,185.4372,185.4615,-0.8653,96.8964,96.9002
17:21:32,0.6366,0.0386,-1.4999,0.2674,3.0141,0.0072,False,,0.0000,0.0011,0.0000,,2.9996,184.7376,184.7619,-0.8654,96.9524,96.9563
17:21:32,0.6628,0.0262,-1.4999,0.3025,3.2042,0.0101,False,,0.0000,0.0011,0.0000,,2.9994,184.0358,184.0602,-0.8656,97.0123,97.0161
17:21:32,0.7020,0.0392,-1.4998,0.3397,3.4049,0.0094,False,,0.0000,0.0011,0.0000,,2.9994,183.3319,183.3564,-0.8656,97.0758,97.0797
17:21:32,0.7296,0.0276,-1.4998,0.3592,3.4999,0.0088,False,,0.0000,0.0011,0.0000,,2.9995,182.9791,183.0037,-0.8655,97.1090,97.1128
17:21:32,0.7585,0.0289,-1.4998,0.3792,3.6060,0.0087,False,,0.0000,0.0011,0.0000,,2.9994,182.6257,182.6504,-0.8655,97.1430,97.1468
17:21:32,0.8048,0.0464,-1.4998,0.4425,3.8930,0.0100,False,,0.0000,0.0011,0.0000,,2.9993,181.5625,181.5872,-0.8656,97.2504,97.2543
17:21:32,0.8365,0.0317,-1.4998,0.4647,3.9904,0.0104,False,,0.0000,0.0011,0.0000,,2.9993,181.2070,181.2318,-0.8657,97.2880,97.2919
17:21:32,0.8639,0.0274,-1.4997,0.5106,4.1814,0.0115,False,,0.0000,0.0011,0.0000,,2.9992,180.4944,180.5193,-0.8658,97.3658,97.3697
17:21:32,0.8958,0.0318,-1.4997,0.5344,4.2767,0.0121,False,,0.0000,0.0011,0.0000,,2.9992,180.1373,180.1623,-0.8658,97.4060,97.4098
17:21:32,0.9385,0.0428,-1.4997,0.5835,4.4676,0.0133,False,,0.0000,0.0011,0.0000,,2.9991,179.4215,179.4466,-0.8659,97.4888,97.4926
17:21:33,0.9656,0.0270,-1.4996,0.6335,4.5013,0.0145,False,,0.1051,0.0011,0.0000,,2.9990,178.7049,178.7300,-0.8660,97.5759,97.5798
17:21:33,1.0043,0.0387,-1.4996,0.6841,4.5715,0.0157,False,,0.1835,0.0011,0.0000,,2.9989,177.9875,178.0128,-0.8661,97.6682,97.6721
17:21:33,1.0286,0.0244,-1.4996,0.7098,4.6186,0.0162,False,,0.2178,0.0011,0.0000,,2.9989,177.6286,177.6539,-0.8661,97.7160,97.7198
17:21:33,1.0781,0.0495,-1.4995,0.7618,4.6990,0.0175,False,,0.2227,0.0011,0.0000,,2.9988,176.9099,176.9354,-0.8662,97.8152,97.8191
17:21:33,1.1034,0.0253,-1.4995,0.8149,4.8074,0.0187,False,,0.2963,0.0011,0.0000,,2.9987,176.1902,176.2157,-0.8663,97.9187,97.9225
17:21:33,1.1285,0.0251,-1.4995,0.8419,4.8770,0.0193,False,,0.3894,0.0011,0.0000,,2.9986,175.8298,175.8553,-0.8664,97.9713,97.9751
17:21:33,1.1772,0.0488,-1.4994,0.8977,5.0644,0.0207,False,,0.4972,0.0011,0.0000,,2.9985,175.1074,175.1330,-0.8665,98.0804,98.0842
17:21:33,1.2028,0.0256,-1.4994,0.9557,5.2678,0.0220,False,,0.5371,0.0011,0.0000,,2.9984,174.3828,174.4085,-0.8666,98.1925,98.1963
17:21:33,1.2275,0.0247,-1.4993,0.9855,5.3797,0.0228,False,,0.5959,0.0011,0.0000,,2.9984,174.0195,174.0454,-0.8666,98.2495,98.2533
17:21:33,1.2759,0.0484,-1.4993,1.0473,5.6213,0.0243,False,,0.6351,0.0011,0.0000,,2.9982,173.2911,173.3170,-0.8668,98.3645,98.3683
17:21:33,1.3018,0.0260,-1.4992,1.1120,5.8851,0.0258,False,,0.6939,0.0011,0.0000,,2.9981,172.5598,172.5858,-0.8669,98.4830,98.4868
17:21:33,1.3384,0.0366,-1.4992,1.1454,6.0227,0.0266,False,,0.7233,0.0011,0.0000,,2.9980,172.1930,172.2191,-0.8670,98.5429,98.5467
17:21:33,1.3631,0.0247,-1.4991,1.2148,6.3205,0.0283,False,,0.7822,0.0011,0.0000,,2.9979,171.4570,171.4832,-0.8671,98.6645,98.6683
17:21:33,1.4005,0.0374,-1.4990,1.2877,6.6373,0.0301,False,,0.8312,0.0011,0.0000,,2.9977,170.7175,170.7438,-0.8672,98.7881,98.7919
17:21:33,1.4278,0.0272,-1.4990,1.3255,6.8064,0.0310,False,,0.8949,0.0011,0.0000,,2.9977,170.3463,170.3727,-0.8673,98.8504,98.8542
17:21:33,1.4669,0.0391,-1.4989,1.4041,7.1579,0.0330,False,,0.9194,0.0011,0.0000,,2.9975,169.6011,169.6276,-0.8675,98.9763,98.9801
17:21:33,1.5043,0.0375,-1.4988,1.4866,7.5202,0.0350,False,,0.9488,0.0011,0.0000,,2.9973,168.8519,168.8785,-0.8677,99.1035,99.1073
17:21:33,1.5299,0.0256,-1.4988,1.5294,7.7075,0.0360,False,,0.9881,0.0011,0.0000,,2.9972,168.4758,168.5024,-0.8678,99.1676,99.1714
17:21:33,1.5697,0.0398,-1.4987,1.6183,8.0898,0.0382,False,,1.0000,0.0011,0.0000,,2.9970,167.7203,167.7471,-0.8680,99.2960,99.2998
17:21:33,1.5951,0.0254,-1.4986,1.6643,8.2811,0.0394,False,,1.0000,0.0011,0.0000,,2.9969,167.3409,167.3678,-0.8681,99.3600,99.3638
17:21:33,1.6436,0.0485,-1.4984,1.8086,8.8543,0.0429,False,,1.0000,0.0011,0.0000,,2.9966,166.1966,166.2236,-0.8684,99.5553,99.5591
