Wheel
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:23:15,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:23:15,0.4792,0.1059,-1.5000,0.1481,2.2318,0.0029,False,,0.0000,0.0006,0.0000,,2.9999,187.5235,187.5475,-0.8651,96.7500,96.7539
17:23:15,0.5152,0.0360,-1.5000,0.1745,2.4433,0.0020,False,,0.0000,0.0006,0.0000,,2.9999,186.8304,186.8545,-0.8651,96.7952,96.7991
17:23:15,0.5524,0.0372,-1.5000,0.2031,2.6266,0.0022,False,,0.0000,0.0006,0.0000,,2.9999,186.1351,186.1593,-0.8651,96.8442,96.8481
17:23:15,0.5879,0.0354,-1.5000,0.2340,2.8314,0.0008,False,,0.0000,0.0006,0.0000,,2.9999,185.4376,185.4619,-0.8651,96.8968,96.9007
17:23:15,0.6224,0.0345,-1.4999,0.2670,3.0165,0.0032,False,,0.0000,0.0006,0.0000,,2.9998,184.7379,184.7623,-0.8652,96.9528,96.9567
17:23:15,0.6540,0.0317,-1.4999,0.2843,3.1143,0.0019,False,,0.0000,0.0006,0.0000,,2.9999,184.3873,184.4117,-0.8651,96.9823,96.9861
17:23:15,0.6861,0.0321,-1.4999,0.3204,3.3011,0.0036,False,,0.0000,0.0006,0.0000,,2.9998,183.6845,183.7090,-0.8652,97.0440,97.0479
17:23:16,0.7195,0.0334,-1.4999,0.3393,3.4023,0.0030,False,,0.0000,0.0006,0.0000,,2.9998,183.3323,183.3568,-0.8652,97.0762,97.0801
17:23:16,0.7485,0.0290,-1.4999,0.3788,3.6050,0.0018,False,,0.0000,0.0006,0.0000,,2.9998,182.6261,182.6508,-0.8652,97.1434,97.1472
17:23:16,0.7848,0.0363,-1.4999,0.4205,3.7923,0.0019,False,,0.0000,0.0006,0.0000,,2.9998,181.9178,181.9426,-0.8652,97.2141,97.2179
17:23:16,0.8117,0.0269,-1.4999,0.4421,3.8898,0.0019,False,,0.0000,0.0006,0.0000,,2.9998,181.5629,181.5877,-0.8652,97.2508,97.2547
17:23:16,0.8499,0.0381,-1.4999,0.4869,4.0855,0.0024,False,,0.0000,0.0006,0.0000,,2.9998,180.8514,180.8763,-0.8652,97.3269,97.3307
17:23:16,0.8873,0.0374,-1.4998,0.5339,4.2770,0.0031,False,,0.0000,0.0006,0.0000,,2.9997,180.1377,180.1627,-0.8653,97.4064,97.4102
17:23:16,0.9141,0.0268,-1.4998,0.5582,4.3725,0.0035,False,,0.0000,0.0006,0.0000,,2.9997,179.7801,179.8051,-0.8653,97.4472,97.4511
17:23:16,0.9512,0.0371,-1.4998,0.6084,4.5633,0.0042,False,,0.0000,0.0006,0.0000,,2.9996,179.0633,179.0884,-0.8654,97.5318,97.5356
17:23:16,0.9767,0.0255,-1.4998,0.6338,4.5809,0.0045,False,,0.0119,0.0006,0.0000,,2.9996,178.7045,178.7297,-0.8654,97.5756,97.5794
17:23:16,1.0267,0.0500,-1.4998,0.7105,4.6113,0.0056,False,,0.0953,0.0006,0.0000,,2.9995,177.6279,177.6532,-0.8655,97.7153,97.7191
