WheelMask
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:26:49,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:26:49,0.5112,0.1379,-1.4999,0.1746,2.4389,-0.0017,False,,0.0000,0.0024,0.0000,,3.0000,186.8303,186.8544,-0.8650,96.7952,96.7990
17:26:49,0.5547,0.0435,-1.4999,0.2033,2.6382,0.0019,False,,0.0000,0.0024,0.0000,,2.9998,186.1349,186.1591,-0.8652,96.8440,96.8479
17:26:49,0.5901,0.0354,-1.4998,0.2341,2.8387,0.0047,False,,0.0000,0.0024,0.0000,,2.9996,185.4375,185.4617,-0.8654,96.8967,96.9005
17:26:49,0.6234,0.0333,-1.4998,0.2671,3.0174,0.0044,False,,0.0000,0.0024,0.0000,,2.9996,184.7378,184.7622,-0.8654,96.9527,96.9566
17:26:49,0.6568,0.0334,-1.4998,0.2844,3.1106,0.0068,False,,0.0000,0.0024,0.0000,,2.9995,184.3872,184.4116,-0.8655,96.9822,96.9860
17:26:49,0.6852,0.0284,-1.4997,0.3207,3.3098,0.0080,False,,0.0000,0.0024,0.0000,,2.9994,183.6843,183.7088,-0.8656,97.0438,97.0476
17:26:49,0.7240,0.0388,-1.4997,0.3575,3.3142,0.0116,False,,0.0070,0.0024,0.0000,,2.9992,182.9808,183.0054,-0.8658,97.1106,97.1145
17:26:49,0.7497,0.0257,-1.4996,0.3761,3.3412,0.0136,False,,0.0316,0.0024,0.0000,,2.9991,182.6289,182.6535,-0.8659,97.1461,97.1500
17:26:49,0.7863,0.0366,-1.4996,0.4145,3.5053,0.0142,False,,0.0000,0.0024,0.0000,,2.9990,181.9238,181.9486,-0.8660,97.2201,97.2240
