WheelMask
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:27:32,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:27:32,0.4945,0.1211,-1.5001,0.1607,2.3245,-0.0066,False,,0.0000,-0.0029,0.0000,,3.0004,187.1776,187.2016,-0.8646,96.7725,96.7764
17:27:32,0.5297,0.0352,-1.5001,0.1884,2.5512,-0.0112,False,,0.0000,-0.0029,0.0000,,3.0006,186.4832,186.5073,-0.8644,96.8194,96.8232
17:27:32,0.5602,0.0306,-1.5002,0.2181,2.7227,-0.0140,False,,0.0000,-0.0029,0.0000,,3.0008,185.7868,185.8110,-0.8642,96.8702,96.8740
17:27:32,0.5897,0.0294,-1.5002,0.2339,2.8343,-0.0156,False,,0.0000,-0.0029,0.0000,,3.0009,185.4377,185.4620,-0.8641,96.8969,96.9007
17:27:32,0.6280,0.0383,-1.5003,0.2669,3.0156,-0.0200,False,,0.0000,-0.0029,0.0000,,3.0011,184.7381,184.7624,-0.8639,96.9529,96.9568
17:27:32,0.6545,0.0265,-1.5003,0.2841,3.1056,-0.0216,False,,0.0000,-0.0029,0.0000,,3.0012,184.3875,184.4119,-0.8638,96.9824,96.9863
17:27:32,0.6935,0.0390,-1.5004,0.3203,3.3033,-0.0247,False,,0.0000,-0.0029,0.0000,,3.0014,183.6847,183.7092,-0.8636,97.0442,97.0480
17:27:32,0.7204,0.0269,-1.5005,0.3587,3.5041,-0.0270,False,,0.0000,-0.0029,0.0000,,3.0016,182.9796,183.0042,-0.8634,97.1095,97.1133
17:27:32,0.7609,0.0406,-1.5005,0.3993,3.7042,-0.0290,False,,0.0000,-0.0029,0.0000,,3.0018,182.2724,182.2971,-0.8632,97.1784,97.1822
17:27:32,0.7867,0.0258,-1.5006,0.4201,3.7507,-0.0306,False,,0.1884,-0.0029,0.0000,,3.0019,181.9182,181.9430,-0.8631,97.2145,97.2183
17:27:32,0.8298,0.0431,-1.5007,0.4626,3.8657,-0.0346,False,,0.3257,-0.0029,0.0000,,3.0021,181.2090,181.2339,-0.8629,97.2901,97.2939
17:27:32,0.8644,0.0346,-1.5008,0.5070,4.0397,-0.0368,False,,0.4629,-0.0029,0.0000,,3.0023,180.4980,180.5230,-0.8627,97.3695,97.3733
17:27:32,0.8964,0.0320,-1.5008,0.5299,4.1312,-0.0384,False,,0.4923,-0.0029,0.0000,,3.0024,180.1418,180.1668,-0.8626,97.4104,97.4142
17:27:32,0.9292,0.0328,-1.5009,0.5774,4.3222,-0.0416,False,,0.4972,-0.0029,0.0000,,3.0027,179.4276,179.4527,-0.8623,97.4948,97.4987
17:27:32,0.9621,0.0330,-1.5010,0.6270,4.5131,-0.0448,False,,0.5000,-0.0029,0.0000,,3.0029,178.7113,178.7366,-0.8621,97.5824,97.5862
17:27:32,0.9925,0.0304,-1.5011,0.6526,4.6084,-0.0465,False,,0.5000,-0.0029,0.0000,,3.0031,178.3524,178.3777,-0.8619,97.6276,97.6314
17:27:32,1.0217,0.0292,-1.5012,0.7054,4.7989,-0.0500,False,,0.5000,-0.0029,0.0000,,3.0033,177.6329,177.6583,-0.8617,97.7204,97.7242
17:27:32,1.0587,0.0370,-1.5013,0.7326,4.8941,-0.0518,False,,0.5000,-0.0029,0.0000,,3.0035,177.2724,177.2979,-0.8615,97.7681,97.7719
17:27:32,1.0961,0.0374,-1.5014,0.7887,5.1065,-0.0555,False,,0.5616,-0.0029,0.0000,,3.0038,176.5496,176.5752,-0.8612,97.8659,97.8697
17:27:32,1.1215,0.0254,-1.5015,0.8474,5.3419,-0.0593,False,,0.6204,-0.0029,0.0000,,3.0041,175.8243,175.8500,-0.8609,97.9658,97.9696
17:27:32,1.1703,0.0488,-1.5017,0.9089,5.5897,-0.0634,False,,0.6498,-0.0029,0.0000,,3.0044,175.0962,175.1220,-0.8606,98.0693,98.0730
17:27:32,1.1954,0.0251,-1.5018,0.9407,5.7228,-0.0655,False,,0.7037,-0.0029,0.0000,,3.0046,174.7311,174.7569,-0.8604,98.1217,98.1255
17:27:32,1.2195,0.0241,-1.5019,0.9732,5.8639,-0.0677,False,,0.7430,-0.0029,0.0000,,3.0047,174.3652,174.3911,-0.8602,98.1749,98.1787
17:27:33,1.2687,0.0492,-1.5021,1.0759,6.3072,-0.0745,False,,0.7724,-0.0029,0.0000,,3.0053,173.2626,173.2886,-0.8597,98.3359,98.3397
17:27:33,1.2948,0.0261,-1.5022,1.1118,6.4644,-0.0769,False,,0.8312,-0.0029,0.0000,,3.0055,172.8933,172.9194,-0.8595,98.3906,98.3944
17:27:33,1.3194,0.0246,-1.5024,1.1486,6.6260,-0.0794,False,,0.8459,-0.0029,0.0000,,3.0057,172.5232,172.5494,-0.8593,98.4464,98.4501
17:27:33,1.3687,0.0493,-1.5027,1.2645,7.1200,-0.0872,False,,0.8606,-0.0029,0.0000,,3.0064,171.4073,171.4336,-0.8586,98.6148,98.6186
17:27:33,1.3936,0.0249,-1.5028,1.3050,7.2913,-0.0899,False,,0.9047,-0.0029,0.0000,,3.0066,171.0334,171.0599,-0.8584,98.6719,98.6756
17:27:33,1.4303,0.0367,-1.5031,1.3890,7.6443,-0.0955,False,,0.9243,-0.0029,0.0000,,3.0071,170.2828,170.3094,-0.8579,98.7870,98.7907
17:27:33,1.4545,0.0242,-1.5032,1.4325,7.8275,-0.0984,False,,0.9684,-0.0029,0.0000,,3.0074,169.9060,169.9326,-0.8576,98.8450,98.8488
17:27:33,1.4916,0.0371,-1.5035,1.5226,8.2030,-0.1045,False,,0.9831,-0.0029,0.0000,,3.0079,169.1493,169.1760,-0.8571,98.9620,98.9657
17:27:33,1.5282,0.0366,-1.5038,1.6169,8.5844,-0.1108,False,,1.0000,-0.0029,0.0000,,3.0085,168.3883,168.4152,-0.8565,99.0801,99.0838
17:27:33,1.5538,0.0256,-1.5040,1.6656,8.7754,-0.1141,False,,1.0000,-0.0029,0.0000,,3.0088,168.0062,168.0332,-0.8562,99.1396,99.1433
17:27:33,1.6017,0.0479,-1.5045,1.8183,9.3476,-0.1244,False,,1.0000,-0.0029,0.0000,,3.0098,166.8536,166.8808,-0.8552,99.3176,99.3213
17:27:33,1.6266,0.0249,-1.5047,1.8712,9.5381,-0.1280,False,,1.0000,-0.0029,0.0000,,3.0101,166.4673,166.4945,-0.8549,99.3781,99.3818
17:27:33,1.6627,0.0361,-1.5051,1.9804,9.9188,-0.1353,False,,1.0000,-0.0029,0.0000,,3.0109,165.6915,165.7189,-0.8541,99.4991,99.5028
17:27:33,1.6877,0.0250,-1.5053,2.0366,10.1089,-0.1391,False,,1.0000,-0.0029,0.0000,,3.0112,165.3020,165.3294,-0.8538,99.5600,99.5637
17:27:33,1.7355,0.0477,-1.5058,2.1520,10.4888,-0.1468,False,,1.0000,-0.0029,0.0000,,3.0120,164.5199,164.5474,-0.8530,99.6818,99.6854
17:27:33,1.7635,0.0281,-1.5062,2.2717,10.8683,-0.1541,False,,1.0000,-0.0022,0.0000,,3.0128,163.7335,163.7612,-0.8522,99.8054,99.8091
17:27:33,1.7889,0.0254,-1.5065,2.3332,11.0578,-0.1572,False,,1.0000,-0.0014,0.0000,,3.0131,163.3388,163.3665,-0.8519,99.8673,99.8710
17:27:33,1.8263,0.0374,-1.5069,2.4592,11.4365,-0.1620,False,,1.0000,-0.0009,0.0000,,3.0138,162.5461,162.5740,-0.8512,99.9920,99.9956
17:27:33,1.8529,0.0266,-1.5071,2.5238,11.6256,-0.1636,False,,1.0000,0.0000,0.0000,,3.0141,162.1482,162.1762,-0.8509,100.0546,100.0582
