WheelMaskFrame
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:36:51,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:36:52,0.4752,0.1019,-1.5000,0.1482,2.2456,0.0048,False,,0.0000,0.0014,0.0000,,2.9998,187.5233,187.5473,-0.8652,96.7498,96.7537
17:36:52,0.5323,0.0571,-1.4999,0.1890,2.5375,0.0018,False,,0.0000,0.0014,0.0000,,2.9999,186.4826,186.5067,-0.8651,96.8188,96.8227
17:36:52,0.5902,0.0580,-1.4999,0.2344,2.8278,-0.0011,False,,0.0000,0.0014,0.0000,,2.9999,185.4372,185.4614,-0.8651,96.8963,96.9002
17:36:52,0.6254,0.0351,-1.4999,0.2674,3.0185,-0.0007,False,,0.0000,0.0014,0.0000,,2.9999,184.7375,184.7619,-0.8651,96.9524,96.9563
17:36:52,0.6835,0.0582,-1.4998,0.3208,3.3089,0.0037,False,,0.0000,0.0014,0.0000,,2.9997,183.6841,183.7086,-0.8653,97.0436,97.0475
17:36:52,0.7187,0.0352,-1.4998,0.3397,3.3957,0.0050,False,,0.0000,0.0014,0.0000,,2.9996,183.3319,183.3564,-0.8654,97.0759,97.0797
17:36:52,0.7471,0.0284,-1.4998,0.3791,3.5985,0.0080,False,,0.0000,0.0014,0.0000,,2.9994,182.6259,182.6505,-0.8655,97.1431,97.1469
17:36:52,0.7747,0.0276,-1.4998,0.3997,3.7026,0.0091,False,,0.0000,0.0014,0.0000,,2.9994,182.2720,182.2966,-0.8656,97.1780,97.1818
17:36:52,0.8121,0.0374,-1.4997,0.4424,3.8943,0.0105,False,,0.0000,0.0014,0.0000,,2.9993,181.5626,181.5873,-0.8657,97.2505,97.2544
17:36:52,0.8388,0.0268,-1.4997,0.4646,3.9894,0.0111,False,,0.0000,0.0014,0.0000,,2.9992,181.2071,181.2319,-0.8658,97.2881,97.2920
