WheelFrame
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:38:32,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:38:32,0.4722,0.0988,-1.5001,0.1477,2.2043,-0.0050,False,,0.0000,-0.0029,0.0000,,3.0003,187.5238,187.5478,-0.8647,96.7503,96.7542
17:38:32,0.5002,0.0281,-1.5001,0.1742,2.4409,-0.0098,False,,0.0000,-0.0029,0.0000,,3.0005,186.8307,186.8548,-0.8645,96.7955,96.7994
17:38:32,0.5284,0.0282,-1.5001,0.1884,2.5512,-0.0112,False,,0.0000,-0.0029,0.0000,,3.0006,186.4832,186.5073,-0.8644,96.8194,96.8232
17:38:32,0.5678,0.0394,-1.5002,0.2181,2.7227,-0.0140,False,,0.0000,-0.0029,0.0000,,3.0008,185.7868,185.8110,-0.8642,96.8702,96.8740
17:38:33,0.5922,0.0244,-1.5002,0.2339,2.8343,-0.0156,False,,0.0000,-0.0029,0.0000,,3.0009,185.4377,185.4620,-0.8641,96.8969,96.9007
17:38:33,0.6395,0.0473,-1.5003,0.2669,3.0156,-0.0200,False,,0.0000,-0.0029,0.0000,,3.0011,184.7381,184.7624,-0.8639,96.9529,96.9568
17:38:33,0.6648,0.0253,-1.5003,0.3019,3.2026,-0.0237,False,,0.0000,-0.0029,0.0000,,3.0014,184.0364,184.0608,-0.8636,97.0128,97.0167
17:38:33,0.7017,0.0369,-1.5004,0.3392,3.4090,-0.0245,False,,0.0000,-0.0029,0.0000,,3.0015,183.3324,183.3570,-0.8635,97.0764,97.0802
17:38:33,0.7271,0.0254,-1.5005,0.3587,3.5041,-0.0270,False,,0.0000,-0.0029,0.0000,,3.0016,182.9796,183.0042,-0.8634,97.1095,97.1133
17:38:33,0.7761,0.0490,-1.5005,0.3993,3.7042,-0.0290,False,,0.0000,-0.0029,0.0000,,3.0018,182.2724,182.2971,-0.8632,97.1784,97.1822
17:38:33,0.8011,0.0250,-1.5006,0.4420,3.8941,-0.0323,False,,0.0000,-0.0029,0.0000,,3.0020,181.5630,181.5878,-0.8630,97.2510,97.2548
17:38:33,0.8270,0.0259,-1.5007,0.4642,3.9911,-0.0336,False,,0.0000,-0.0029,0.0000,,3.0021,181.2075,181.2324,-0.8629,97.2886,97.2924
17:38:33,0.8747,0.0478,-1.5008,0.5101,4.1822,-0.0366,False,,0.0000,-0.0029,0.0000,,3.0023,180.4949,180.5199,-0.8627,97.3664,97.3702
17:38:33,0.9005,0.0257,-1.5009,0.5581,4.3731,-0.0398,False,,0.0000,-0.0029,0.0000,,3.0026,179.7802,179.8053,-0.8624,97.4473,97.4511
17:38:33,0.9358,0.0353,-1.5009,0.5830,4.4684,-0.0414,False,,0.0000,-0.0029,0.0000,,3.0027,179.4220,179.4472,-0.8623,97.4893,97.4931
17:38:33,0.9614,0.0256,-1.5010,0.6342,4.6591,-0.0448,False,,0.0000,-0.0029,0.0000,,3.0029,178.7041,178.7294,-0.8621,97.5752,97.5790
