WheelFrame
2023”N9ŒŽ25“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
17:39:45,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
17:39:45,0.4659,0.0926,-1.4999,0.1481,2.2478,0.0071,False,,0.0000,0.0035,0.0000,,2.9996,187.5234,187.5474,-0.8654,96.7499,96.7538
17:39:45,0.5091,0.0432,-1.4999,0.1747,2.4283,0.0076,False,,0.0000,0.0035,0.0000,,2.9995,186.8302,186.8543,-0.8655,96.7950,96.7989
17:39:45,0.5412,0.0321,-1.4998,0.2034,2.6314,0.0065,False,,0.0000,0.0035,0.0000,,2.9995,186.1348,186.1590,-0.8655,96.8439,96.8478
17:39:45,0.5712,0.0300,-1.4998,0.2186,2.7236,0.0103,False,,0.0000,0.0035,0.0000,,2.9993,185.7863,185.8106,-0.8657,96.8698,96.8736
17:39:45,0.5977,0.0266,-1.4997,0.2343,2.8248,0.0098,False,,0.0000,0.0035,0.0000,,2.9993,185.4373,185.4616,-0.8657,96.8965,96.9004
17:39:45,0.6395,0.0417,-1.4997,0.2673,3.0187,0.0124,False,,0.0000,0.0035,0.0000,,2.9991,184.7376,184.7620,-0.8659,96.9525,96.9564
17:39:45,0.6664,0.0270,-1.4996,0.3024,3.2067,0.0165,False,,0.0000,0.0035,0.0000,,2.9989,184.0358,184.0603,-0.8661,97.0123,97.0162
17:39:45,0.7075,0.0411,-1.4995,0.3397,3.3988,0.0166,False,,0.0000,0.0035,0.0000,,2.9988,183.3319,183.3564,-0.8662,97.0759,97.0798
17:39:45,0.7334,0.0259,-1.4995,0.3591,3.4982,0.0167,False,,0.0000,0.0035,0.0000,,2.9988,182.9792,183.0037,-0.8662,97.1090,97.1129
17:39:45,0.7713,0.0379,-1.4994,0.3996,3.6939,0.0184,False,,0.0000,0.0035,0.0000,,2.9986,182.2720,182.2967,-0.8664,97.1780,97.1819
17:39:45,0.7978,0.0265,-1.4993,0.4207,3.7919,0.0198,False,,0.0000,0.0035,0.0000,,2.9985,181.9176,181.9423,-0.8665,97.2139,97.2177
17:39:45,0.8374,0.0396,-1.4993,0.4645,3.9888,0.0227,False,,0.0000,0.0035,0.0000,,2.9983,181.2072,181.2320,-0.8667,97.2882,97.2921
17:39:45,0.8638,0.0264,-1.4992,0.5104,4.1806,0.0265,False,,0.0000,0.0035,0.0000,,2.9980,180.4946,180.5195,-0.8670,97.3661,97.3699
17:39:45,0.9036,0.0398,-1.4990,0.5584,4.3716,0.0303,False,,0.0000,0.0035,0.0000,,2.9978,179.7799,179.8049,-0.8672,97.4470,97.4509
17:39:45,0.9306,0.0270,-1.4990,0.5832,4.4670,0.0322,False,,0.0000,0.0035,0.0000,,2.9976,179.4218,179.4468,-0.8674,97.4890,97.4929
17:39:45,0.9698,0.0392,-1.4989,0.6330,4.4662,0.0361,False,,0.0218,0.0035,0.0000,,2.9973,178.7054,178.7305,-0.8677,97.5764,97.5803
17:39:45,0.9973,0.0275,-1.4988,0.6581,4.5242,0.0380,False,,0.2472,0.0035,0.0000,,2.9972,178.3469,178.3721,-0.8678,97.6221,97.6260
17:39:45,1.0390,0.0416,-1.4987,0.7096,4.6715,0.0419,False,,0.4041,0.0035,0.0000,,2.9969,177.6288,177.6541,-0.8681,97.7163,97.7201
