Normal
2023”N10ŒŽ3“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
13:23:18,0.1200,0.0333,-2.0000,0.0182,1.0856,0.0001,False,,1.0000,0.0000,0.0000,,4.0000,193.9866,194.0278,-1.4889,46.4603,46.4842
13:23:18,0.1533,0.0333,-2.0000,0.0248,1.1919,0.0017,False,,1.0000,0.0000,0.0000,,3.9999,193.7577,193.7990,-1.4889,46.4857,46.5096
13:23:18,0.1867,0.0333,-2.0000,0.0415,1.6149,0.0008,False,,1.0000,0.0000,0.0000,,4.0000,193.2965,193.3379,-1.4889,46.5099,46.5338
13:23:18,0.2200,0.0333,-2.0000,0.0629,2.0454,-0.0029,False,,1.0000,0.0000,0.0000,,4.0001,192.8306,192.8721,-1.4888,46.5383,46.5621
13:23:18,0.2533,0.0333,-2.0000,0.0754,2.2437,-0.0029,False,,1.0000,0.0000,0.0000,,4.0001,192.5959,192.6375,-1.4888,46.5845,46.6083
13:23:18,0.2867,0.0333,-2.0000,0.1036,2.6386,-0.0030,False,,1.0000,0.0000,0.0000,,4.0001,192.1233,192.1649,-1.4888,46.6239,46.6476
13:23:18,0.3200,0.0333,-2.0000,0.1361,3.0234,-0.0028,False,,1.0000,0.0000,0.0000,,4.0001,191.6463,191.6881,-1.4888,46.6678,46.6915
13:23:18,0.3533,0.0333,-2.0000,0.1540,3.2208,-0.0027,False,,1.0000,0.0000,0.0000,,4.0001,191.4062,191.4480,-1.4888,46.7352,46.7589
13:23:18,0.3867,0.0333,-2.0000,0.1931,3.6098,-0.0025,False,,1.0000,0.0000,0.0000,,4.0001,190.9227,190.9646,-1.4888,46.7904,46.8141
13:23:18,0.4200,0.0333,-2.0000,0.2364,3.9971,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,190.4349,190.4769,-1.4888,46.8502,46.8738
13:23:18,0.4533,0.0333,-2.0000,0.2597,4.1906,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,190.1894,190.2315,-1.4889,46.9389,46.9625
13:23:19,0.4867,0.0333,-2.0000,0.3095,4.5777,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,189.6952,189.7373,-1.4889,47.0100,47.0336
13:23:19,0.5200,0.0333,-2.0000,0.3635,4.9644,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,189.1966,189.2389,-1.4889,47.0857,47.1092
13:23:19,0.5533,0.0333,-2.0000,0.3922,5.1576,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,188.9457,188.9881,-1.4889,47.1957,47.2192
13:23:19,0.5867,0.0333,-2.0000,0.4527,5.5436,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,188.4408,188.4832,-1.4889,47.2828,47.3062
13:23:19,0.6200,0.0333,-2.0000,0.5175,5.9292,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,187.9315,187.9741,-1.4889,47.3744,47.3978
13:23:19,0.6533,0.0333,-2.0000,0.5515,6.1219,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,187.6752,187.7179,-1.4890,47.5057,47.5290
13:23:19,0.6867,0.0333,-2.0000,0.6228,6.5068,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,187.1596,187.2023,-1.4890,47.6087,47.6320
13:23:19,0.7200,0.0333,-2.0000,0.6983,6.8913,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,186.6396,186.6825,-1.4890,47.7163,47.7395
13:23:19,0.7533,0.0333,-2.0000,0.7376,7.0833,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,186.3780,186.4210,-1.4890,47.8621,47.8853
13:23:19,0.7867,0.0333,-2.0000,0.8195,7.4670,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,185.8517,185.8947,-1.4891,47.9654,47.9885
13:23:19,0.8200,0.0333,-2.0000,0.9057,7.8503,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,185.3211,185.3642,-1.4891,48.0645,48.0875
13:23:19,0.8533,0.0333,-2.0000,0.9504,8.0418,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,185.0542,185.0974,-1.4891,48.2050,48.2280
13:23:19,0.8867,0.0333,-2.0000,1.0429,8.4243,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,184.5172,184.5605,-1.4891,48.2976,48.3206
13:23:19,0.9200,0.0333,-2.0000,1.1397,8.8063,-0.0024,False,,1.0000,0.0000,0.0000,,4.0001,183.9759,184.0194,-1.4891,48.3860,48.4089
13:23:19,0.9533,0.0333,-2.0000,1.1897,8.9972,-0.0024,False,,1.0000,0.0000,0.0000,,4.0002,183.7037,183.7473,-1.4892,48.5212,48.5440
13:23:19,0.9867,0.0333,-2.0001,1.2928,9.3785,-0.0024,False,,1.0000,0.0000,0.0000,,4.0002,183.1561,183.1998,-1.4892,48.6032,48.6261
13:23:19,1.0200,0.0333,-2.0001,1.4002,9.7594,-0.0024,False,,1.0000,0.0000,0.0000,,4.0002,182.6043,182.6481,-1.4892,48.6811,48.7038
13:23:19,1.0533,0.0333,-2.0001,1.4555,9.9496,-0.0024,False,,1.0000,0.0000,0.0000,,4.0002,182.3268,182.3706,-1.4892,48.8110,48.8337
13:23:20,1.0867,0.0333,-2.0001,1.5692,10.3297,-0.0024,False,,1.0000,0.0000,0.0000,,4.0002,181.7686,181.8126,-1.4892,48.8824,48.9051
13:23:20,1.1200,0.0333,-2.0001,1.6871,10.7093,-0.0024,False,,1.0000,0.0000,0.0000,,4.0002,181.2062,181.2503,-1.4892,48.9497,48.9723
