Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:12:56,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:12:56,0.5535,0.1801,-1.4999,0.2035,2.6264,0.0024,False,,0.0000,0.0011,0.0000,,2.9998,186.1347,186.1589,-0.8652,96.8438,96.8477
15:12:56,0.6367,0.0832,-1.4999,0.2674,3.0141,0.0072,False,,0.0000,0.0011,0.0000,,2.9996,184.7376,184.7619,-0.8654,96.9524,96.9563
15:12:56,0.6726,0.0358,-1.4999,0.3025,3.2042,0.0101,False,,0.0000,0.0011,0.0000,,2.9994,184.0358,184.0602,-0.8656,97.0123,97.0161
15:12:56,0.7054,0.0329,-1.4998,0.3397,3.4049,0.0094,False,,0.0000,0.0011,0.0000,,2.9994,183.3319,183.3564,-0.8656,97.0758,97.0797
15:12:56,0.7345,0.0290,-1.4998,0.3592,3.4999,0.0088,False,,0.0000,0.0011,0.0000,,2.9995,182.9791,183.0037,-0.8655,97.1090,97.1128
15:12:56,0.7636,0.0292,-1.4998,0.3998,3.7020,0.0093,False,,0.0000,0.0011,0.0000,,2.9994,182.2719,182.2965,-0.8656,97.1779,97.1817
15:12:56,0.7923,0.0287,-1.4998,0.4209,3.7970,0.0092,False,,0.0000,0.0011,0.0000,,2.9994,181.9174,181.9421,-0.8656,97.2137,97.2175
15:12:56,0.8359,0.0436,-1.4998,0.4647,3.9904,0.0104,False,,0.0000,0.0011,0.0000,,2.9993,181.2070,181.2318,-0.8657,97.2880,97.2919
15:12:56,0.8659,0.0300,-1.4997,0.5106,4.1814,0.0115,False,,0.0000,0.0011,0.0000,,2.9992,180.4944,180.5193,-0.8658,97.3658,97.3697
15:12:56,0.8957,0.0298,-1.4997,0.5344,4.2767,0.0121,False,,0.0000,0.0011,0.0000,,2.9992,180.1373,180.1623,-0.8658,97.4060,97.4098
15:12:56,0.9288,0.0331,-1.4997,0.5835,4.4676,0.0133,False,,0.0000,0.0011,0.0000,,2.9991,179.4215,179.4466,-0.8659,97.4888,97.4926
15:12:57,0.9605,0.0317,-1.4996,0.6347,4.6582,0.0145,False,,0.0000,0.0011,0.0000,,2.9990,178.7037,178.7288,-0.8660,97.5748,97.5786
15:12:57,0.9907,0.0302,-1.4996,0.6611,4.7535,0.0152,False,,0.0000,0.0011,0.0000,,2.9990,178.3439,178.3691,-0.8660,97.6192,97.6230
15:12:57,1.0382,0.0475,-1.4996,0.7155,4.9438,0.0165,False,,0.0000,0.0011,0.0000,,2.9989,177.6229,177.6482,-0.8661,97.7103,97.7142
15:12:57,1.0713,0.0331,-1.4995,0.7718,5.1099,0.0178,False,,0.4335,0.0011,0.0000,,2.9988,176.8999,176.9253,-0.8662,97.8052,97.8090
15:12:57,1.1036,0.0323,-1.4995,0.8305,5.3413,0.0192,False,,0.6204,0.0011,0.0000,,2.9986,176.1745,176.2000,-0.8664,97.9031,97.9069
15:12:57,1.1339,0.0303,-1.4994,0.8611,5.5028,0.0200,False,,0.8851,0.0011,0.0000,,2.9986,175.8106,175.8362,-0.8664,97.9523,97.9561
15:12:57,1.1630,0.0291,-1.4994,0.9254,5.8841,0.0215,False,,1.0000,0.0011,0.0000,,2.9985,175.0797,175.1054,-0.8665,98.0527,98.0566
15:12:57,1.2048,0.0418,-1.4993,0.9940,6.2693,0.0232,False,,1.0000,0.0011,0.0000,,2.9983,174.3444,174.3702,-0.8667,98.1542,98.1580
15:12:57,1.2344,0.0296,-1.4993,1.0299,6.4618,0.0241,False,,1.0000,0.0011,0.0000,,2.9983,173.9752,174.0010,-0.8668,98.2052,98.2091
15:12:57,1.2624,0.0280,-1.4992,1.1049,6.8463,0.0260,False,,1.0000,0.0011,0.0000,,2.9981,173.2336,173.2595,-0.8669,98.3070,98.3108
15:12:57,1.2917,0.0293,-1.4992,1.1440,7.0383,0.0270,False,,1.0000,0.0011,0.0000,,2.9980,172.8611,172.8871,-0.8670,98.3584,98.3623
15:12:57,1.3333,0.0416,-1.4991,1.2254,7.4221,0.0290,False,,1.0000,0.0011,0.0000,,2.9979,172.1131,172.1392,-0.8671,98.4630,98.4669
15:12:57,1.3627,0.0294,-1.4990,1.3111,7.8055,0.0311,False,,1.0000,0.0011,0.0000,,2.9977,171.3607,171.3870,-0.8673,98.5682,98.5721
15:12:57,1.3919,0.0292,-1.4989,1.3555,7.9970,0.0322,False,,1.0000,0.0011,0.0000,,2.9976,170.9830,171.0093,-0.8674,98.6214,98.6252
15:12:57,1.4354,0.0435,-1.4988,1.4475,8.3795,0.0345,False,,1.0000,0.0011,0.0000,,2.9974,170.2243,170.2507,-0.8676,98.7284,98.7323
15:12:57,1.4648,0.0294,-1.4987,1.5438,8.7617,0.0368,False,,1.0000,0.0011,0.0000,,2.9972,169.4613,169.4879,-0.8678,98.8366,98.8404
15:12:57,1.4958,0.0309,-1.4987,1.5936,8.9525,0.0380,False,,1.0000,0.0011,0.0000,,2.9971,169.0783,169.1049,-0.8679,98.8910,98.8948
15:12:57,1.5379,0.0422,-1.4986,1.6962,9.3339,0.0406,False,,1.0000,0.0011,0.0000,,2.9968,168.3090,168.3356,-0.8682,99.0008,99.0046
15:12:57,1.5685,0.0306,-1.4984,1.8031,9.7148,0.0432,False,,1.0000,0.0011,0.0000,,2.9966,167.5354,167.5622,-0.8684,99.1113,99.1151
15:12:57,1.5973,0.0288,-1.4983,1.8581,9.9051,0.0445,False,,1.0000,0.0011,0.0000,,2.9965,167.1471,167.1740,-0.8686,99.1662,99.1700
15:12:57,1.6263,0.0290,-1.4982,1.9713,10.2853,0.0473,False,,1.0000,0.0011,0.0000,,2.9962,166.3672,166.3942,-0.8688,99.2780,99.2818
15:12:57,1.6693,0.0430,-1.4980,2.0888,10.6650,0.0502,False,,1.0000,0.0011,0.0000,,2.9959,165.5831,165.6102,-0.8691,99.3909,99.3947
15:12:57,1.6993,0.0300,-1.4980,2.1491,10.8546,0.0517,False,,1.0000,0.0011,0.0000,,2.9958,165.1895,165.2166,-0.8692,99.4475,99.4513
15:12:57,1.7274,0.0281,-1.4978,2.2729,11.2336,0.0547,False,,1.0000,0.0011,0.0000,,2.9955,164.3991,164.4263,-0.8696,99.5612,99.5650
15:12:57,1.7711,0.0437,-1.4976,2.4008,11.6120,0.0578,False,,1.0000,0.0011,0.0000,,2.9951,163.6044,163.6319,-0.8699,99.6764,99.6802
15:12:57,1.8008,0.0297,-1.4974,2.5330,11.9900,0.0611,False,,1.0000,0.0011,0.0000,,2.9948,162.8056,162.8331,-0.8702,99.7922,99.7960
15:12:57,1.8298,0.0290,-1.4973,2.6007,12.1788,0.0627,False,,1.0000,0.0011,0.0000,,2.9946,162.4046,162.4322,-0.8704,99.8505,99.8543
15:12:57,1.8713,0.0414,-1.4971,2.7391,12.5561,0.0661,False,,1.0000,0.0011,0.0000,,2.9943,161.5995,161.6272,-0.8708,99.9677,99.9715
15:12:57,1.9000,0.0287,-1.4969,2.8099,12.7445,0.0678,False,,1.0000,0.0011,0.0000,,2.9941,161.1954,161.2232,-0.8709,100.0246,100.0284
15:12:57,1.9276,0.0276,-1.4967,2.9547,13.1210,0.0714,False,,1.0000,0.0011,0.0000,,2.9937,160.3840,160.4119,-0.8713,100.1350,100.1388
15:12:58,1.9697,0.0422,-1.4964,3.1036,13.4970,0.0750,False,,1.0000,0.0011,0.0000,,2.9933,159.5684,159.5965,-0.8718,100.2398,100.2436
15:12:58,1.9988,0.0291,-1.4963,3.1796,13.6849,0.0768,False,,1.0000,0.0011,0.0000,,2.9930,159.1590,159.1872,-0.8720,100.2897,100.2935
15:12:58,2.0285,0.0297,-1.4960,3.3348,14.0602,0.0806,False,,1.0000,0.0011,0.0000,,2.9926,158.3372,158.3655,-0.8724,100.3856,100.3894
15:12:58,2.0707,0.0422,-1.4957,3.4942,14.4349,0.0845,False,,1.0000,0.0011,0.0000,,2.9921,157.5112,157.5396,-0.8729,100.4769,100.4807
15:12:58,2.0995,0.0288,-1.4956,3.5754,14.6222,0.0865,False,,1.0000,0.0011,0.0000,,2.9919,157.0966,157.1251,-0.8731,100.5201,100.5239
15:12:58,2.1277,0.0282,-1.4952,3.7410,14.9963,0.0905,False,,1.0000,0.0011,0.0000,,2.9914,156.2644,156.2930,-0.8736,100.6030,100.6068
15:12:58,2.1692,0.0415,-1.4949,3.9107,15.3699,0.0946,False,,1.0000,0.0011,0.0000,,2.9909,155.4280,155.4568,-0.8741,100.6820,100.6858
15:12:58,2.1981,0.0289,-1.4947,3.9971,15.5565,0.0967,False,,1.0000,0.0011,0.0000,,2.9906,155.0083,155.0371,-0.8744,100.7203,100.7241
15:12:58,2.2265,0.0284,-1.4943,4.1731,15.9294,0.1010,False,,1.0000,0.0011,0.0000,,2.9900,154.1656,154.1946,-0.8750,100.7920,100.7958
15:12:58,2.2680,0.0415,-1.4939,4.3532,16.3018,0.1054,False,,1.0000,0.0011,0.0000,,2.9894,153.3189,153.3480,-0.8756,100.8593,100.8631
15:12:58,2.2968,0.0288,-1.4937,4.4448,16.4878,0.1076,False,,1.0000,0.0011,0.0000,,2.9891,152.8940,152.9232,-0.8759,100.8909,100.8947
