Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:40:10,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:40:10,0.5618,0.1885,-1.5000,0.2184,2.7246,-0.0045,False,,0.0000,0.0000,0.0000,,3.0002,185.7865,185.8107,-0.8648,96.8699,96.8737
15:40:10,0.6056,0.0438,-1.5000,0.2504,2.9302,-0.0035,False,,0.0000,0.0000,0.0000,,3.0002,185.0878,185.1122,-0.8649,96.9241,96.9280
15:40:10,0.6400,0.0344,-1.5000,0.2671,3.0102,-0.0045,False,,0.0000,0.0000,0.0000,,3.0002,184.7378,184.7621,-0.8648,96.9527,96.9565
15:40:10,0.6768,0.0368,-1.5000,0.3023,3.1987,-0.0046,False,,0.0000,0.0000,0.0000,,3.0002,184.0360,184.0605,-0.8648,97.0125,97.0163
15:40:10,0.7093,0.0325,-1.5000,0.3383,3.2421,-0.0074,False,,0.0512,0.0000,0.0000,,3.0003,183.3333,183.3579,-0.8647,97.0773,97.0811
15:40:10,0.7412,0.0319,-1.5000,0.3756,3.4040,-0.0068,False,,0.4580,0.0000,0.0000,,3.0003,182.6294,182.6540,-0.8647,97.1466,97.1504
15:40:10,0.7726,0.0313,-1.5000,0.3953,3.5444,-0.0072,False,,0.7184,0.0000,0.0000,,3.0003,182.2763,182.3010,-0.8647,97.1824,97.1862
15:40:10,0.8033,0.0307,-1.5000,0.4378,3.9234,-0.0069,False,,1.0000,0.0000,0.0000,,3.0003,181.5672,181.5919,-0.8647,97.2551,97.2590
15:40:10,0.8381,0.0348,-1.5000,0.4607,4.1167,-0.0068,False,,1.0000,0.0000,0.0000,,3.0003,181.2110,181.2358,-0.8647,97.2920,97.2959
15:40:10,0.8701,0.0320,-1.5000,0.5096,4.5039,-0.0068,False,,1.0000,0.0000,0.0000,,3.0003,180.4954,180.5203,-0.8647,97.3668,97.3706
15:40:10,0.9056,0.0355,-1.5000,0.5629,4.8906,-0.0068,False,,1.0000,0.0000,0.0000,,3.0003,179.7754,179.8005,-0.8647,97.4426,97.4464
15:40:10,0.9390,0.0334,-1.5000,0.5911,5.0838,-0.0068,False,,1.0000,0.0000,0.0000,,3.0003,179.4139,179.4389,-0.8647,97.4811,97.4850
