Normal
2023”N10ŒŽ13“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
18:13:42,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
18:13:42,0.4877,0.1144,-1.5001,0.1609,2.3348,-0.0068,False,,0.0000,-0.0039,0.0000,,3.0004,187.1774,187.2014,-0.8646,96.7724,96.7762
18:13:42,0.5382,0.0505,-1.5002,0.1885,2.5405,-0.0092,False,,0.0000,-0.0039,0.0000,,3.0006,186.4830,186.5072,-0.8644,96.8193,96.8231
18:13:42,0.5768,0.0386,-1.5003,0.2183,2.7426,-0.0096,False,,0.0000,-0.0039,0.0000,,3.0007,185.7866,185.8108,-0.8643,96.8700,96.8739
18:13:42,0.6167,0.0399,-1.5003,0.2503,2.9203,-0.0149,False,,0.0000,-0.0039,0.0000,,3.0010,185.0880,185.1123,-0.8641,96.9242,96.9281
18:13:42,0.6532,0.0365,-1.5004,0.2844,3.1115,-0.0172,False,,0.0000,-0.0039,0.0000,,3.0011,184.3872,184.4117,-0.8639,96.9822,96.9860
18:13:42,0.6902,0.0370,-1.5005,0.3206,3.2987,-0.0206,False,,0.0000,-0.0039,0.0000,,3.0014,183.6843,183.7089,-0.8637,97.0438,97.0477
18:13:42,0.7250,0.0349,-1.5006,0.3589,3.4929,-0.0240,False,,0.0000,-0.0039,0.0000,,3.0016,182.9794,183.0040,-0.8634,97.1093,97.1131
18:13:42,0.7616,0.0366,-1.5007,0.3994,3.7025,-0.0276,False,,0.0000,-0.0039,0.0000,,3.0018,182.2722,182.2970,-0.8632,97.1782,97.1821
18:13:42,0.7978,0.0362,-1.5007,0.4205,3.7991,-0.0295,False,,0.0000,-0.0039,0.0000,,3.0020,181.9178,181.9426,-0.8630,97.2141,97.2179
18:13:42,0.8331,0.0353,-1.5008,0.4643,3.9908,-0.0333,False,,0.0000,-0.0039,0.0000,,3.0022,181.2073,181.2322,-0.8628,97.2884,97.2922
18:13:42,0.8699,0.0368,-1.5009,0.5102,4.1818,-0.0372,False,,0.0000,-0.0039,0.0000,,3.0025,180.4948,180.5197,-0.8625,97.3662,97.3700
18:13:42,0.9057,0.0358,-1.5011,0.5583,4.3727,-0.0414,False,,0.0000,-0.0039,0.0000,,3.0028,179.7800,179.8051,-0.8622,97.4472,97.4510
18:13:42,0.9419,0.0362,-1.5012,0.6085,4.5634,-0.0457,False,,0.0000,-0.0039,0.0000,,3.0032,179.0632,179.0884,-0.8619,97.5317,97.5356
18:13:42,0.9771,0.0352,-1.5013,0.6344,4.6587,-0.0479,False,,0.0000,-0.0039,0.0000,,3.0033,178.7040,178.7292,-0.8617,97.5751,97.5789
18:13:42,1.0118,0.0347,-1.5014,0.6877,4.8492,-0.0525,False,,0.0000,-0.0039,0.0000,,3.0037,177.9840,178.0093,-0.8614,97.6647,97.6685
18:13:42,1.0471,0.0353,-1.5016,0.7432,5.0395,-0.0573,False,,0.0000,-0.0039,0.0000,,3.0040,177.2619,177.2873,-0.8610,97.7576,97.7614
18:13:42,1.0822,0.0352,-1.5018,0.8008,5.2296,-0.0622,False,,0.0000,-0.0039,0.0000,,3.0044,176.5376,176.5632,-0.8606,97.8539,97.8577
18:13:42,1.1186,0.0364,-1.5019,0.8303,5.3247,-0.0647,False,,0.0000,-0.0039,0.0000,,3.0046,176.1747,176.2003,-0.8604,97.9033,97.9070
18:13:43,1.1537,0.0350,-1.5020,0.8911,5.5146,-0.0699,False,,0.0000,-0.0039,0.0000,,3.0050,175.4473,175.4731,-0.8600,98.0039,98.0077
18:13:43,1.1906,0.0369,-1.5022,0.9539,5.7044,-0.0753,False,,0.0000,-0.0039,0.0000,,3.0054,174.7178,174.7437,-0.8596,98.1085,98.1123
18:13:43,1.2255,0.0350,-1.5024,1.0189,5.8939,-0.0809,False,,0.0000,-0.0039,0.0000,,3.0059,173.9862,174.0122,-0.8591,98.2162,98.2200
18:13:43,1.2628,0.0373,-1.5027,1.0860,6.0833,-0.0866,False,,0.0000,-0.0039,0.0000,,3.0064,173.2525,173.2785,-0.8587,98.3259,98.3296
18:13:43,1.2995,0.0367,-1.5028,1.1203,6.1779,-0.0895,False,,0.0000,-0.0039,0.0000,,3.0066,172.8848,172.9110,-0.8584,98.3822,98.3859
18:13:43,1.3344,0.0349,-1.5030,1.1905,6.3670,-0.0956,False,,0.0000,-0.0039,0.0000,,3.0071,172.1479,172.1742,-0.8579,98.4979,98.5017
18:13:43,1.3701,0.0357,-1.5033,1.2628,6.5559,-0.1017,False,,0.0000,-0.0039,0.0000,,3.0076,171.4090,171.4354,-0.8574,98.6165,98.6202
18:13:43,1.4046,0.0345,-1.5036,1.3372,6.7445,-0.1081,False,,0.0000,-0.0039,0.0000,,3.0082,170.6679,170.6944,-0.8568,98.7385,98.7422
18:13:43,1.4398,0.0352,-1.5037,1.3752,6.8387,-0.1113,False,,0.0000,-0.0039,0.0000,,3.0084,170.2966,170.3232,-0.8566,98.8007,98.8045
18:13:43,1.4751,0.0352,-1.5040,1.4528,7.0270,-0.1179,False,,0.0000,-0.0039,0.0000,,3.0090,169.5524,169.5791,-0.8560,98.9276,98.9313
18:13:43,1.5105,0.0355,-1.5043,1.5324,7.2150,-0.1247,False,,0.0000,-0.0039,0.0000,,3.0096,168.8061,168.8329,-0.8554,99.0577,99.0614
18:13:43,1.5452,0.0347,-1.5047,1.6142,7.4028,-0.1317,False,,0.0000,-0.0039,0.0000,,3.0103,168.0577,168.0847,-0.8548,99.1910,99.1947
18:13:43,1.5809,0.0357,-1.5050,1.6980,7.5904,-0.1388,False,,0.0000,-0.0039,0.0000,,3.0109,167.3072,167.3343,-0.8541,99.3263,99.3300
18:13:43,1.6172,0.0363,-1.5052,1.7407,7.6841,-0.1425,False,,0.0000,-0.0039,0.0000,,3.0113,166.9312,166.9584,-0.8538,99.3953,99.3990
18:13:43,1.6546,0.0374,-1.5056,1.8276,7.8713,-0.1498,False,,0.0000,-0.0039,0.0000,,3.0120,166.1776,166.2049,-0.8531,99.5365,99.5401
18:13:43,1.6909,0.0363,-1.5060,1.9166,8.0583,-0.1574,False,,0.0000,-0.0039,0.0000,,3.0127,165.4219,165.4494,-0.8523,99.6800,99.6837
18:13:43,1.7271,0.0362,-1.5064,2.0077,8.2450,-0.1652,False,,0.0000,-0.0039,0.0000,,3.0134,164.6642,164.6918,-0.8516,99.8263,99.8300
18:13:43,1.7607,0.0336,-1.5068,2.1009,8.4315,-0.1731,False,,0.0000,-0.0039,0.0000,,3.0142,163.9044,163.9321,-0.8508,99.9763,99.9799
18:13:43,1.7961,0.0354,-1.5071,2.1482,8.5246,-0.1771,False,,0.0000,-0.0039,0.0000,,3.0146,163.5237,163.5515,-0.8504,100.0524,100.0560
18:13:43,1.8310,0.0349,-1.5076,2.2445,8.7107,-0.1853,False,,0.0000,-0.0039,0.0000,,3.0154,162.7608,162.7887,-0.8496,100.2066,100.2103
18:13:43,1.8654,0.0345,-1.5081,2.3428,8.8966,-0.1936,False,,0.0000,-0.0039,0.0000,,3.0163,161.9958,162.0238,-0.8487,100.3640,100.3676
18:13:43,1.9027,0.0373,-1.5086,2.4432,9.0823,-0.2021,False,,0.0000,-0.0039,0.0000,,3.0172,161.2287,161.2570,-0.8478,100.5193,100.5228
18:13:43,1.9356,0.0329,-1.5089,2.4942,9.1750,-0.2065,False,,0.0000,-0.0039,0.0000,,3.0176,160.8444,160.8727,-0.8474,100.5955,100.5991
18:13:43,1.9711,0.0355,-1.5094,2.5977,9.3603,-0.2153,False,,0.0000,-0.0039,0.0000,,3.0186,160.0743,160.1028,-0.8464,100.7457,100.7493
18:13:43,2.0075,0.0364,-1.5100,2.7032,9.5453,-0.2242,False,,0.0000,-0.0039,0.0000,,3.0195,159.3021,159.3307,-0.8455,100.8918,100.8953
18:13:43,2.0410,0.0335,-1.5106,2.8108,9.7301,-0.2333,False,,0.0000,-0.0039,0.0000,,3.0206,158.5278,158.5566,-0.8445,101.0351,101.0387
18:13:43,2.0772,0.0363,-1.5109,2.8654,9.8224,-0.2380,False,,0.0000,-0.0039,0.0000,,3.0211,158.1399,158.1688,-0.8439,101.1057,101.1092
18:13:43,2.1116,0.0344,-1.5116,2.9761,10.0069,-0.2473,False,,0.0000,-0.0039,0.0000,,3.0221,157.3626,157.3916,-0.8429,101.2438,101.2473
18:13:43,2.1470,0.0354,-1.5123,3.0874,10.0198,-0.2567,False,,0.0000,-0.0039,0.0000,,3.0232,156.5846,156.6138,-0.8418,101.3804,101.3839
18:13:44,2.1855,0.0385,-1.5130,3.1987,10.0073,-0.2658,False,,0.0000,-0.0039,0.0000,,3.0243,155.8067,155.8361,-0.8407,101.5189,101.5223
18:13:44,2.2235,0.0380,-1.5137,3.3097,9.9948,-0.2750,False,,0.0000,-0.0039,0.0000,,3.0254,155.0290,155.0585,-0.8396,101.6554,101.6589
18:13:44,2.2601,0.0366,-1.5144,3.4216,10.0811,-0.2842,False,,0.0000,-0.0039,0.0000,,3.0265,154.2504,154.2801,-0.8385,101.7909,101.7943
18:13:44,2.2945,0.0345,-1.5148,3.4776,10.0745,-0.2888,False,,0.0000,-0.0039,0.0000,,3.0271,153.8611,153.8909,-0.8379,101.8581,101.8616
18:13:44,2.3294,0.0349,-1.5156,3.5894,10.0620,-0.2979,False,,0.0000,-0.0039,0.0000,,3.0282,153.0826,153.1126,-0.8368,101.9915,101.9950
18:13:44,2.3680,0.0386,-1.5163,3.7011,10.0494,-0.3071,False,,0.0000,-0.0039,0.0000,,3.0294,152.3043,152.3344,-0.8356,102.1240,102.1274
18:13:44,2.4059,0.0379,-1.5171,3.8127,10.0368,-0.3162,False,,0.0000,-0.0039,0.0000,,3.0306,151.5261,151.5564,-0.8344,102.2551,102.2586
18:13:44,2.4426,0.0367,-1.5179,3.9241,10.0243,-0.3253,False,,0.0000,-0.0039,0.0000,,3.0318,150.7480,150.7785,-0.8332,102.3858,102.3892
18:13:44,2.4794,0.0368,-1.5184,3.9798,10.0180,-0.3298,False,,0.0000,-0.0039,0.0000,,3.0324,150.3590,150.3896,-0.8326,102.4506,102.4539
18:13:44,2.5143,0.0349,-1.5192,4.0910,10.0055,-0.3389,False,,0.0000,-0.0039,0.0000,,3.0336,149.5812,149.6119,-0.8314,102.5796,102.5830
