Normal
2023”N10ŒŽ13“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
18:23:24,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
18:23:25,0.4987,0.1254,-1.4999,0.1610,2.3334,0.0069,False,,0.0000,0.0036,0.0000,,2.9996,187.1772,187.2013,-0.8654,96.7722,96.7761
18:23:25,0.5417,0.0430,-1.4998,0.2034,2.6451,0.0123,False,,0.0000,0.0036,0.0000,,2.9993,186.1348,186.1590,-0.8657,96.8439,96.8478
18:23:25,0.5798,0.0381,-1.4998,0.2186,2.7294,0.0153,False,,0.0000,0.0036,0.0000,,2.9991,185.7863,185.8105,-0.8659,96.8698,96.8736
18:23:25,0.6223,0.0425,-1.4997,0.2673,3.0252,0.0228,False,,0.0000,0.0036,0.0000,,2.9987,184.7377,184.7620,-0.8663,96.9526,96.9564
18:23:25,0.6595,0.0372,-1.4996,0.2845,3.1105,0.0245,False,,0.0000,0.0036,0.0000,,2.9986,184.3871,184.4114,-0.8664,96.9820,96.9859
18:23:25,0.6970,0.0375,-1.4995,0.3208,3.2984,0.0277,False,,0.0000,0.0036,0.0000,,2.9984,183.6842,183.7086,-0.8666,97.0437,97.0475
18:23:25,0.7364,0.0394,-1.4995,0.3590,3.4920,0.0310,False,,0.0000,0.0037,0.0000,,2.9981,182.9793,183.0038,-0.8669,97.1091,97.1130
18:23:25,0.7769,0.0406,-1.4994,0.3996,3.7044,0.0345,False,,0.0000,0.0040,0.0000,,2.9979,182.2721,182.2967,-0.8671,97.1781,97.1820
18:23:25,0.8141,0.0372,-1.4992,0.4422,3.8883,0.0383,False,,0.0000,0.0040,0.0000,,2.9976,181.5627,181.5875,-0.8674,97.2507,97.2546
18:23:25,0.8523,0.0382,-1.4991,0.4871,4.0859,0.0424,False,,0.0000,0.0040,0.0000,,2.9973,180.8512,180.8761,-0.8677,97.3267,97.3306
18:23:25,0.8929,0.0407,-1.4990,0.5341,4.2767,0.0466,False,,0.0000,0.0040,0.0000,,2.9970,180.1376,180.1625,-0.8680,97.4063,97.4101
18:23:25,0.9311,0.0382,-1.4988,0.5832,4.4675,0.0509,False,,0.0000,0.0040,0.0000,,2.9967,179.4218,179.4469,-0.8683,97.4891,97.4929
18:23:25,0.9723,0.0412,-1.4987,0.6344,4.6581,0.0555,False,,0.0000,0.0040,0.0000,,2.9963,178.7039,178.7291,-0.8687,97.5751,97.5789
18:23:25,1.0118,0.0394,-1.4985,0.6877,4.8486,0.0603,False,,0.0000,0.0040,0.0000,,2.9960,177.9839,178.0092,-0.8690,97.6646,97.6685
18:23:25,1.0473,0.0355,-1.4984,0.7432,5.0389,0.0652,False,,0.0000,0.0040,0.0000,,2.9956,177.2618,177.2872,-0.8694,97.7575,97.7614
18:23:25,1.0850,0.0378,-1.4982,0.8008,5.2291,0.0704,False,,0.0000,0.0040,0.0000,,2.9952,176.5376,176.5630,-0.8698,97.8539,97.8577
18:23:25,1.1233,0.0383,-1.4980,0.8605,5.4191,0.0757,False,,0.0000,0.0040,0.0000,,2.9948,175.8113,175.8368,-0.8702,97.9529,97.9568
18:23:25,1.1622,0.0389,-1.4978,0.9210,5.4570,0.0809,False,,0.0855,0.0040,0.0000,,2.9943,175.0840,175.1096,-0.8707,98.0571,98.0610
18:23:25,1.1988,0.0365,-1.4977,0.9516,5.5044,0.0836,False,,0.2865,0.0040,0.0000,,2.9941,174.7201,174.7458,-0.8709,98.1108,98.1147
18:23:25,1.2376,0.0388,-1.4975,1.0141,5.6610,0.0891,False,,0.4237,0.0040,0.0000,,2.9937,173.9910,174.0168,-0.8713,98.2211,98.2250
18:23:25,1.2766,0.0390,-1.4972,1.0784,5.8331,0.0947,False,,0.4580,0.0040,0.0000,,2.9932,173.2600,173.2859,-0.8718,98.3335,98.3373
18:23:25,1.3166,0.0400,-1.4970,1.1447,6.0060,0.1007,False,,0.4580,0.0041,0.0000,,2.9927,172.5271,172.5531,-0.8723,98.4504,98.4542
18:23:25,1.3570,0.0404,-1.4967,1.2128,6.1788,0.1072,False,,0.4580,0.0045,0.0000,,2.9922,171.7923,171.8184,-0.8728,98.5703,98.5742
18:23:25,1.3946,0.0376,-1.4964,1.2829,6.3514,0.1141,False,,0.4580,0.0046,0.0000,,2.9916,171.0556,171.0817,-0.8734,98.6940,98.6979
18:23:26,1.4317,0.0371,-1.4961,1.3549,6.5238,0.1213,False,,0.4580,0.0046,0.0000,,2.9910,170.3169,170.3432,-0.8740,98.8211,98.8249
18:23:26,1.4691,0.0374,-1.4958,1.4288,6.6959,0.1287,False,,0.4580,0.0046,0.0000,,2.9903,169.5763,169.6027,-0.8747,98.9516,98.9554
18:23:26,1.5084,0.0393,-1.4955,1.5047,6.8679,0.1363,False,,0.4580,0.0045,0.0000,,2.9897,168.8338,168.8603,-0.8753,99.0855,99.0893
18:23:26,1.5460,0.0376,-1.4951,1.5824,7.0397,0.1439,False,,0.4580,0.0043,0.0000,,2.9890,168.0894,168.1160,-0.8760,99.2228,99.2267
18:23:26,1.5835,0.0375,-1.4947,1.6621,7.2112,0.1516,False,,0.4580,0.0043,0.0000,,2.9883,167.3431,167.3698,-0.8767,99.3622,99.3661
18:23:26,1.6211,0.0376,-1.4944,1.7436,7.3825,0.1591,False,,0.4580,0.0040,0.0000,,2.9876,166.5949,166.6217,-0.8774,99.5057,99.5096
18:23:26,1.6594,0.0383,-1.4942,1.7851,7.4681,0.1626,False,,0.4580,0.0035,0.0000,,2.9872,166.2201,166.2469,-0.8778,99.5790,99.5829
18:23:26,1.6964,0.0370,-1.4938,1.8695,7.6391,0.1693,False,,0.4580,0.0032,0.0000,,2.9866,165.4691,165.4960,-0.8784,99.7271,99.7310
