Normal
2023”N10ŒŽ13“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
18:16:23,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
18:16:23,0.5071,0.1337,-1.4999,0.1745,2.4288,-0.0012,False,,0.0000,0.0035,0.0000,,2.9999,186.8304,186.8544,-0.8651,96.7952,96.7991
18:16:23,0.5526,0.0455,-1.4998,0.2032,2.6189,0.0012,False,,0.0000,0.0035,0.0000,,2.9998,186.1350,186.1592,-0.8653,96.8441,96.8480
18:16:23,0.5947,0.0422,-1.4997,0.2342,2.8304,0.0046,False,,0.0000,0.0035,0.0000,,2.9995,185.4374,185.4617,-0.8655,96.8966,96.9005
18:16:23,0.6337,0.0390,-1.4997,0.2672,3.0209,0.0076,False,,0.0000,0.0035,0.0000,,2.9994,184.7377,184.7621,-0.8657,96.9526,96.9565
18:16:23,0.6702,0.0365,-1.4996,0.3023,3.2086,0.0098,False,,0.0000,0.0035,0.0000,,2.9992,184.0360,184.0605,-0.8658,97.0125,97.0163
18:16:23,0.7061,0.0359,-1.4995,0.3396,3.4019,0.0117,False,,0.0000,0.0035,0.0000,,2.9990,183.3321,183.3566,-0.8660,97.0760,97.0799
18:16:23,0.7440,0.0378,-1.4995,0.3790,3.6031,0.0174,False,,0.0000,0.0035,0.0000,,2.9987,182.6259,182.6505,-0.8663,97.1431,97.1470
18:16:23,0.7812,0.0372,-1.4994,0.4206,3.7942,0.0213,False,,0.0000,0.0035,0.0000,,2.9985,181.9177,181.9424,-0.8666,97.2139,97.2178
18:16:23,0.8164,0.0353,-1.4993,0.4423,3.8933,0.0232,False,,0.0000,0.0035,0.0000,,2.9983,181.5627,181.5875,-0.8667,97.2507,97.2545
18:16:23,0.8518,0.0353,-1.4992,0.4871,4.0855,0.0265,False,,0.0000,0.0035,0.0000,,2.9981,180.8512,180.8761,-0.8669,97.3267,97.3306
18:16:23,0.8888,0.0370,-1.4991,0.5341,4.2766,0.0302,False,,0.0000,0.0035,0.0000,,2.9978,180.1376,180.1625,-0.8672,97.4062,97.4101
18:16:24,0.9276,0.0388,-1.4990,0.5832,4.4674,0.0341,False,,0.0000,0.0035,0.0000,,2.9976,179.4218,179.4468,-0.8675,97.4890,97.4929
