Normal
2023”N10ŒŽ13“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
18:31:48,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
18:31:48,0.4926,0.1193,-1.5000,0.1611,2.3541,0.0003,False,,0.0000,0.0000,0.0000,,3.0000,187.1772,187.2012,-0.8650,96.7721,96.7760
18:31:48,0.5610,0.0684,-1.5000,0.2184,2.7246,-0.0045,False,,0.0000,0.0000,0.0000,,3.0002,185.7865,185.8107,-0.8648,96.8699,96.8737
18:31:48,0.6026,0.0416,-1.5000,0.2504,2.9302,-0.0035,False,,0.0000,0.0000,0.0000,,3.0002,185.0878,185.1122,-0.8649,96.9241,96.9280
18:31:48,0.6463,0.0437,-1.5000,0.2845,3.1259,-0.0046,False,,0.0000,0.0000,0.0000,,3.0002,184.3871,184.4115,-0.8648,96.9821,96.9859
18:31:48,0.6833,0.0370,-1.5000,0.3206,3.3040,-0.0049,False,,0.0000,0.0000,0.0000,,3.0002,183.6843,183.7088,-0.8648,97.0438,97.0477
18:31:48,0.7213,0.0381,-1.5000,0.3590,3.4941,-0.0050,False,,0.0000,0.0000,0.0000,,3.0002,182.9793,183.0039,-0.8648,97.1091,97.1130
18:31:48,0.7575,0.0361,-1.5000,0.3790,3.6021,-0.0040,False,,0.0000,0.0000,0.0000,,3.0002,182.6259,182.6506,-0.8648,97.1432,97.1470
18:31:48,0.7953,0.0378,-1.5000,0.4206,3.7911,-0.0046,False,,0.0000,0.0000,0.0000,,3.0002,181.9177,181.9424,-0.8648,97.2140,97.2178
18:31:48,0.8352,0.0399,-1.5000,0.4644,3.9873,-0.0054,False,,0.0000,0.0000,0.0000,,3.0002,181.2073,181.2321,-0.8648,97.2884,97.2922
18:31:48,0.8733,0.0381,-1.5000,0.5103,4.1813,-0.0052,False,,0.0000,0.0000,0.0000,,3.0002,180.4947,180.5196,-0.8648,97.3662,97.3700
18:31:48,0.9099,0.0367,-1.5000,0.5583,4.3719,-0.0051,False,,0.0000,0.0000,0.0000,,3.0002,179.7800,179.8050,-0.8648,97.4471,97.4510
18:31:48,0.9460,0.0360,-1.5000,0.6085,4.5626,-0.0047,False,,0.0000,0.0004,0.0000,,3.0002,179.0632,179.0883,-0.8648,97.5317,97.5356
18:31:48,0.9823,0.0364,-1.5000,0.6608,4.7532,-0.0041,False,,0.0000,0.0006,0.0000,,3.0002,178.3442,178.3695,-0.8648,97.6195,97.6233
18:31:48,1.0218,0.0394,-1.5000,0.7152,4.9435,-0.0034,False,,0.0000,0.0006,0.0000,,3.0001,177.6232,177.6485,-0.8649,97.7107,97.7145
