Normal
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
13:45:38,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,,-0.8649,96.6533,96.6571
13:45:38,0.5501,0.1768,-1.5000,0.2033,2.6332,-0.0018,False,,0.0000,0.0000,0.0000,,3.0001,186.1349,186.1591,,-0.8649,96.8440,96.8479
13:45:38,0.6328,0.0826,-1.5000,0.2671,3.0102,-0.0045,False,,0.0000,0.0000,0.0000,,3.0002,184.7378,184.7621,,-0.8648,96.9527,96.9565
13:45:38,0.6855,0.0528,-1.5000,0.3206,3.3040,-0.0049,False,,0.0000,0.0000,0.0000,,3.0002,183.6843,183.7088,,-0.8648,97.0438,97.0477
13:45:38,0.7318,0.0463,-1.5000,0.3590,3.4941,-0.0050,False,,0.0000,0.0000,0.0000,,3.0002,182.9793,183.0039,,-0.8648,97.1091,97.1130
13:45:38,0.7737,0.0419,-1.5000,0.3996,3.6948,-0.0043,False,,0.0000,0.0000,0.0000,,3.0002,182.2721,182.2968,,-0.8648,97.1781,97.1819
13:45:38,0.8104,0.0367,-1.5000,0.4422,3.8893,-0.0050,False,,0.0000,0.0000,0.0000,,3.0002,181.5628,181.5875,,-0.8648,97.2507,97.2546
13:45:38,0.8459,0.0355,-1.5000,0.4871,4.0839,-0.0053,False,,0.0000,0.0000,0.0000,,3.0002,180.8513,180.8761,,-0.8648,97.3268,97.3306
13:45:38,0.8829,0.0370,-1.5000,0.5340,4.2763,-0.0051,False,,0.0000,0.0000,0.0000,,3.0002,180.1376,180.1626,,-0.8648,97.4063,97.4101
13:45:38,0.9175,0.0346,-1.5000,0.5583,4.3719,-0.0051,False,,0.0000,0.0000,0.0000,,3.0002,179.7800,179.8050,,-0.8648,97.4471,97.4510
13:45:38,0.9521,0.0346,-1.5000,0.6085,4.5626,-0.0050,False,,0.0000,0.0000,0.0000,,3.0002,179.0632,179.0883,,-0.8648,97.5317,97.5356
13:45:38,0.9883,0.0362,-1.5000,0.6608,4.7532,-0.0050,False,,0.0000,0.0000,0.0000,,3.0002,178.3442,178.3695,,-0.8648,97.6195,97.6233
13:45:38,1.0247,0.0364,-1.5000,0.7152,4.9435,-0.0050,False,,0.0000,0.0000,0.0000,,3.0003,177.6232,177.6485,,-0.8648,97.7107,97.7145
13:45:38,1.0612,0.0364,-1.5000,0.7705,4.9867,-0.0050,False,,0.1051,0.0000,0.0000,,3.0003,176.9012,176.9266,,-0.8647,97.8065,97.8103
13:45:38,1.0980,0.0368,-1.5000,0.7986,5.0471,-0.0050,False,,0.3502,0.0000,0.0000,,3.0003,176.5398,176.5653,,-0.8647,97.8561,97.8599
13:45:38,1.1349,0.0369,-1.5001,0.8562,5.2345,-0.0050,False,,0.5000,0.0000,0.0000,,3.0003,175.8155,175.8411,,-0.8647,97.9572,97.9610
13:45:39,1.1722,0.0373,-1.5001,0.9159,5.4245,-0.0050,False,,0.5000,0.0000,0.0000,,3.0003,175.0891,175.1149,,-0.8647,98.0622,98.0660
13:45:39,1.2097,0.0376,-1.5001,0.9778,5.6143,-0.0050,False,,0.5000,0.0000,0.0000,,3.0003,174.3606,174.3864,,-0.8647,98.1704,98.1742
13:45:39,1.2473,0.0376,-1.5001,1.0418,5.8040,-0.0050,False,,0.5000,0.0000,0.0000,,3.0003,173.6300,173.6559,,-0.8647,98.2811,98.2849
13:45:39,1.2846,0.0373,-1.5001,1.1078,5.9935,-0.0050,False,,0.5000,0.0000,0.0000,,3.0003,172.8973,172.9233,,-0.8647,98.3946,98.3984
13:45:39,1.3211,0.0365,-1.5001,1.1760,6.1855,-0.0050,False,,0.5077,0.0000,0.0000,,3.0003,172.1624,172.1886,,-0.8647,98.5124,98.5162
13:45:39,1.3580,0.0369,-1.5001,1.2110,6.2919,-0.0050,False,,0.5714,0.0000,0.0000,,3.0003,171.7942,171.8204,,-0.8647,98.5721,98.5759
13:45:39,1.3944,0.0364,-1.5001,1.2829,6.5404,-0.0050,False,,0.6596,0.0000,0.0000,,3.0003,171.0555,171.0818,,-0.8647,98.6939,98.6977
13:45:39,1.4313,0.0370,-1.5001,1.3579,6.8194,-0.0050,False,,0.7381,0.0000,0.0000,,3.0003,170.3139,170.3403,,-0.8647,98.8180,98.8218
13:45:39,1.4683,0.0370,-1.5001,1.4362,7.1200,-0.0050,False,,0.7920,0.0000,0.0000,,3.0003,169.5690,169.5955,,-0.8647,98.9442,98.9479
13:45:39,1.5070,0.0387,-1.5001,1.5179,7.4327,-0.0050,False,,0.8214,0.0000,0.0000,,3.0003,168.8206,168.8472,,-0.8647,99.0722,99.0760
13:45:39,1.5439,0.0369,-1.5001,1.6033,7.7648,-0.0050,False,,0.8753,0.0000,0.0000,,3.0003,168.0686,168.0954,,-0.8647,99.2019,99.2057
13:45:39,1.5818,0.0379,-1.5001,1.6925,8.1157,-0.0050,False,,0.9243,0.0000,0.0000,,3.0003,167.3127,167.3396,,-0.8647,99.3318,99.3356
13:45:39,1.6179,0.0361,-1.5001,1.7385,8.2971,-0.0050,False,,0.9586,0.0000,0.0000,,3.0003,166.9333,166.9603,,-0.8647,99.3974,99.4012
13:45:39,1.6529,0.0350,-1.5001,1.8339,8.6714,-0.0050,False,,0.9831,0.0000,0.0000,,3.0004,166.1714,166.1984,,-0.8647,99.5302,99.5340
13:45:39,1.6893,0.0364,-1.5001,1.9333,9.0482,-0.0050,False,,0.9881,0.0000,0.0000,,3.0004,165.4052,165.4324,,-0.8646,99.6633,99.6670
13:45:39,1.7268,0.0375,-1.5002,2.0370,9.4288,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,164.6349,164.6622,,-0.8646,99.7970,99.8007
13:45:39,1.7629,0.0361,-1.5002,2.1450,9.8096,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,163.8603,163.8877,,-0.8646,99.9322,99.9359
13:45:39,1.7972,0.0343,-1.5002,2.2005,9.9998,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,163.4714,163.4989,,-0.8646,100.0000,100.0038
13:45:39,1.8311,0.0338,-1.5002,2.3148,10.3798,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,162.6905,162.7181,,-0.8646,100.1363,100.1400
13:45:39,1.8675,0.0364,-1.5002,2.4333,10.7594,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,161.9053,161.9331,,-0.8646,100.2735,100.2772
13:45:39,1.9037,0.0363,-1.5002,2.5560,11.1385,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,161.1159,161.1439,,-0.8646,100.4064,100.4102
13:45:39,1.9419,0.0381,-1.5002,2.6829,11.5171,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,160.3224,160.3504,,-0.8646,100.5335,100.5372
13:45:39,1.9765,0.0346,-1.5002,2.7480,11.7062,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,159.9240,159.9521,,-0.8646,100.5954,100.5991
13:45:39,2.0111,0.0346,-1.5002,2.8812,12.0840,-0.0050,False,,1.0000,0.0000,0.0000,,3.0004,159.1241,159.1524,,-0.8646,100.7138,100.7175
13:45:39,2.0480,0.0369,-1.5002,3.0186,12.4614,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,158.3201,158.3485,,-0.8646,100.8273,100.8310
13:45:39,2.0828,0.0348,-1.5003,3.1602,12.8383,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,157.5118,157.5404,,-0.8645,100.9353,100.9390
13:45:39,2.1190,0.0362,-1.5003,3.2326,13.0265,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,157.1061,157.1348,,-0.8645,100.9872,100.9909
13:45:39,2.1546,0.0356,-1.5003,3.3804,13.4027,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,156.2916,156.3204,,-0.8645,101.0873,101.0910
13:45:40,2.1903,0.0357,-1.5003,3.5325,13.7783,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,155.4729,155.5018,,-0.8645,101.1850,101.1886
13:45:40,2.2254,0.0351,-1.5003,3.6887,14.1535,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,154.6500,154.6791,,-0.8645,101.2764,101.2801
13:45:40,2.2605,0.0351,-1.5003,3.8491,14.5282,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,153.8230,153.8522,,-0.8645,101.3633,101.3670
13:45:40,2.2972,0.0367,-1.5003,3.9308,14.7153,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,153.4079,153.4372,,-0.8645,101.4048,101.4085
13:45:40,2.3315,0.0343,-1.5003,4.0975,15.0893,-0.0050,False,,1.0000,0.0000,0.0000,,3.0005,152.5746,152.6041,,-0.8645,101.4834,101.4871
13:45:40,2.3672,0.0357,-1.5004,4.2682,15.4628,-0.0050,False,,1.0000,0.0000,0.0000,,3.0006,151.7372,151.7668,,-0.8644,101.5568,101.5605
13:45:40,2.4017,0.0346,-1.5004,4.4432,15.8358,-0.0050,False,,1.0000,0.0000,0.0000,,3.0006,150.8956,150.9254,,-0.8644,101.6245,101.6282
13:45:40,2.4361,0.0344,-1.5004,4.5322,16.0221,-0.0050,False,,1.0000,0.0000,0.0000,,3.0006,150.4733,150.5032,,-0.8644,101.6568,101.6605
13:45:40,2.4717,0.0356,-1.5004,4.7133,16.3944,-0.0050,False,,1.0000,0.0000,0.0000,,3.0006,149.6255,149.6556,,-0.8644,101.7169,101.7205
13:45:40,2.5081,0.0364,-1.5004,4.8986,16.7662,-0.0050,False,,1.0000,0.0000,0.0000,,3.0006,148.7736,148.8038,,-0.8644,101.7718,101.7755
13:45:40,2.5450,0.0369,-1.5004,5.0879,17.1374,-0.0050,False,,1.0000,0.0000,0.0000,,3.0006,147.9175,147.9480,,-0.8644,101.8219,101.8256
13:45:40,2.5834,0.0384,-1.5004,5.2814,17.5082,-0.0050,False,,1.0000,0.0000,0.0000,,3.0007,147.0574,147.0880,,-0.8644,101.8691,101.8728
13:45:40,2.6203,0.0369,-1.5005,5.4791,17.8785,-0.0050,False,,1.0000,0.0000,0.0000,,3.0007,146.1931,146.2239,,-0.8643,101.9112,101.9149
13:45:40,2.6601,0.0398,-1.5005,5.6812,18.3273,-0.0057,False,,1.0000,-0.0004,0.0000,,3.0007,145.3243,145.3553,,-0.8643,101.9474,101.9510
13:45:40,2.6967,0.0366,-1.5005,5.7831,18.3306,-0.0062,False,,1.0000,-0.0004,0.0000,,3.0008,144.8891,144.9202,,-0.8642,101.9643,101.9680
13:45:40,2.7320,0.0353,-1.5006,5.9908,18.7010,-0.0076,False,,1.0000,-0.0004,0.0000,,3.0009,144.0147,144.0460,,-0.8641,101.9933,101.9969
13:45:40,2.7681,0.0361,-1.5006,6.2023,18.9521,-0.0093,False,,1.0000,-0.0004,0.0000,,3.0010,143.1366,143.1681,,-0.8640,102.0190,102.0227
13:45:40,2.8042,0.0361,-1.5007,6.4187,19.2990,-0.0112,False,,1.0000,-0.0004,0.0000,,3.0012,142.2535,142.2852,,-0.8638,102.0387,102.0424
13:45:40,2.8407,0.0365,-1.5008,6.6394,19.6947,-0.0132,False,,1.0000,-0.0004,0.0000,,3.0013,141.3661,141.3980,,-0.8637,102.0534,102.0571
13:45:40,2.8758,0.0350,-1.5008,6.7527,20.3795,-0.0143,False,,1.0000,-0.0004,0.0000,,3.0014,140.9196,140.9516,,-0.8636,102.0578,102.0615
13:45:40,2.9105,0.0348,-1.5009,6.9791,20.7919,-0.0167,False,,1.0000,-0.0004,0.0000,,3.0016,140.0265,140.0586,,-0.8634,102.0660,102.0697
13:45:40,2.9468,0.0362,-1.5010,7.2098,21.0518,-0.0187,False,,1.0000,-0.0004,0.0000,,3.0018,139.1292,139.1615,,-0.8632,102.0710,102.0747
13:45:40,2.9818,0.0350,-1.5011,7.4435,21.4497,-0.0210,False,,1.0000,-0.0004,0.0000,,3.0020,138.2288,138.2614,,-0.8630,102.0711,102.0748
13:45:40,3.0172,0.0354,-1.5012,7.5601,20.9929,-0.0221,False,,1.0000,-0.0004,0.0000,,3.0021,137.7789,137.8116,,-0.8629,102.0717,102.0754
13:45:40,3.0522,0.0351,-1.5013,7.8003,21.4056,-0.0244,False,,1.0000,-0.0004,0.0000,,3.0023,136.8720,136.9049,,-0.8627,102.0662,102.0698
13:45:40,3.0885,0.0363,-1.5015,8.0451,21.8404,-0.0267,False,,1.0000,-0.0004,0.0000,,3.0026,135.9605,135.9937,,-0.8624,102.0554,102.0590
13:45:40,3.1244,0.0359,-1.5016,8.2940,22.2081,-0.0293,False,,1.0000,-0.0004,0.0000,,3.0029,135.0450,135.0784,,-0.8622,102.0379,102.0415
13:45:40,3.1609,0.0365,-1.5018,8.5468,22.5630,-0.0317,False,,1.0000,-0.0004,0.0000,,3.0031,134.1255,134.1591,,-0.8619,102.0165,102.0201
13:45:41,3.1978,0.0368,-1.5019,8.6764,23.3127,-0.0330,False,,1.0000,-0.0004,0.0000,,3.0033,133.6627,133.6964,,-0.8617,102.0030,102.0067
13:45:41,3.2353,0.0376,-1.5020,8.9352,23.6721,-0.0356,False,,1.0000,-0.0004,0.0000,,3.0036,132.7371,132.7711,,-0.8615,101.9751,101.9787
13:45:41,3.2725,0.0371,-1.5022,9.1981,24.0287,-0.0381,False,,0.9881,-0.0004,0.0000,,3.0039,131.8076,131.8419,,-0.8611,101.9429,101.9465
13:45:41,3.3085,0.0360,-1.5025,9.4648,24.3730,-0.0408,False,,0.9488,-0.0004,0.0000,,3.0042,130.8743,130.9088,,-0.8608,101.9068,101.9104
13:45:41,3.3465,0.0380,-1.5027,9.7350,24.6934,-0.0434,False,,0.8753,-0.0004,0.0000,,3.0045,129.9373,129.9721,,-0.8605,101.8679,101.8716
13:45:41,3.3845,0.0380,-1.5029,10.0085,24.9779,-0.0461,False,,0.7724,-0.0004,0.0000,,3.0049,128.9972,129.0322,,-0.8601,101.8246,101.8282
13:45:41,3.4219,0.0374,-1.5032,10.2848,25.2249,-0.0488,False,,0.6743,-0.0004,0.0000,,3.0053,128.0543,128.0896,,-0.8597,101.7773,101.7809
13:45:41,3.4593,0.0374,-1.5033,10.4220,24.7004,-0.0502,False,,0.5959,-0.0004,0.0000,,3.0054,127.5837,127.6191,,-0.8596,101.7552,101.7588
13:45:41,3.4951,0.0358,-1.5036,10.7013,24.8320,-0.0529,False,,0.5224,-0.0004,0.0000,,3.0058,126.6378,126.6735,,-0.8592,101.7065,101.7102
13:45:41,3.5325,0.0374,-1.5039,10.9824,24.9808,-0.0556,False,,0.5000,-0.0004,0.0000,,3.0062,125.6900,125.7260,,-0.8588,101.6543,101.6579
13:45:41,3.5714,0.0389,-1.5042,11.2653,25.1441,-0.0583,False,,0.5000,-0.0004,0.0000,,3.0067,124.7405,124.7767,,-0.8583,101.6012,101.6049
13:45:41,3.6070,0.0356,-1.5045,11.5500,25.3071,-0.0611,False,,0.5000,-0.0004,0.0000,,3.0071,123.7891,123.8257,,-0.8579,101.5466,101.5502
13:45:41,3.6446,0.0376,-1.5048,11.8365,25.4705,-0.0638,False,,0.5000,-0.0004,0.0000,,3.0076,122.8360,122.8728,,-0.8574,101.4884,101.4921
13:45:41,3.6823,0.0377,-1.5052,12.1247,25.6342,-0.0666,False,,0.5000,-0.0004,0.0000,,3.0080,121.8811,121.9182,,-0.8570,101.4291,101.4328
13:45:41,3.7206,0.0384,-1.5056,12.4150,25.8198,-0.0694,False,,0.5420,-0.0004,0.0000,,3.0085,120.9242,120.9616,,-0.8565,101.3684,101.3721
13:45:41,3.7578,0.0372,-1.5058,12.5627,26.5922,-0.0708,False,,0.5861,-0.0004,0.0000,,3.0088,120.4431,120.4807,,-0.8562,101.3350,101.3386
13:45:41,3.7946,0.0368,-1.5061,12.8561,26.7876,-0.0736,False,,0.6008,-0.0004,0.0000,,3.0093,119.4831,119.5210,,-0.8557,101.2685,101.2721
13:45:41,3.8313,0.0366,-1.5066,13.1517,26.9824,-0.0764,False,,0.5910,-0.0004,0.0000,,3.0098,118.5208,118.5590,,-0.8552,101.2029,101.2065
13:45:41,3.8692,0.0379,-1.5070,13.4495,27.1726,-0.0793,False,,0.5763,-0.0004,0.0000,,3.0104,117.5563,117.5949,,-0.8546,101.1335,101.1371
13:45:41,3.9066,0.0374,-1.5074,13.7495,27.3589,-0.0822,False,,0.5665,-0.0004,0.0000,,3.0109,116.5898,116.6286,,-0.8541,101.0611,101.0647
13:45:41,3.9431,0.0365,-1.5079,14.0514,27.5424,-0.0851,False,,0.5616,-0.0004,0.0000,,3.0115,115.6211,115.6603,,-0.8535,100.9854,100.9890
13:45:41,3.9802,0.0371,-1.5084,14.3555,27.7246,-0.0880,False,,0.5616,-0.0004,0.0000,,3.0121,114.6504,114.6900,,-0.8529,100.9099,100.9135
13:45:41,4.0163,0.0360,-1.5086,14.5065,27.1914,-0.0895,False,,0.5567,-0.0004,0.0000,,3.0124,114.1660,114.2058,,-0.8526,100.8724,100.8760
13:45:41,4.0516,0.0354,-1.5091,14.8137,27.3759,-0.0924,False,,0.5518,-0.0004,0.0000,,3.0130,113.1923,113.2323,,-0.8520,100.7912,100.7948
13:45:41,4.0884,0.0368,-1.5096,15.1228,27.5611,-0.0954,False,,0.5518,-0.0004,0.0000,,3.0137,112.2165,112.2569,,-0.8513,100.7081,100.7117
13:45:41,4.1250,0.0366,-1.5102,15.4339,27.7443,-0.0984,False,,0.5469,-0.0004,0.0000,,3.0144,111.2387,111.2795,,-0.8506,100.6245,100.6281
13:45:41,4.1615,0.0365,-1.5107,15.7470,27.9277,-0.1014,False,,0.5469,-0.0004,0.0000,,3.0151,110.2589,110.3001,,-0.8499,100.5377,100.5413
13:45:42,4.1978,0.0363,-1.5110,15.9060,28.6086,-0.1029,False,,0.5420,-0.0004,0.0000,,3.0154,109.7666,109.8081,,-0.8496,100.4917,100.4953
13:45:42,4.2364,0.0387,-1.5116,16.2220,28.7808,-0.1059,False,,0.5420,-0.0004,0.0000,,3.0161,108.7839,108.8257,,-0.8489,100.4022,100.4058
13:45:42,4.2748,0.0383,-1.5122,16.5400,28.9527,-0.1089,False,,0.5420,-0.0004,0.0000,,3.0169,107.7993,107.8415,,-0.8481,100.3099,100.3134
13:45:42,4.3141,0.0393,-1.5129,16.8600,29.1244,-0.1120,False,,0.5420,-0.0004,0.0000,,3.0176,106.8126,106.8552,,-0.8474,100.2150,100.2185
13:45:42,4.3553,0.0412,-1.5135,17.1819,29.2943,-0.1151,False,,0.5371,-0.0004,0.0000,,3.0184,105.8240,105.8671,,-0.8466,100.1192,100.1228
13:45:42,4.3947,0.0394,-1.5142,17.5058,29.4608,-0.1182,False,,0.5273,-0.0004,0.0000,,3.0192,104.8335,104.8770,,-0.8458,100.0216,100.0252
13:45:42,4.4322,0.0376,-1.5149,17.8315,29.6253,-0.1213,False,,0.5224,-0.0004,0.0000,,3.0201,103.8412,103.8851,,-0.8449,99.9216,99.9252
13:45:42,4.4692,0.0369,-1.5156,18.1591,29.7877,-0.1244,False,,0.5175,-0.0004,0.0000,,3.0209,102.8469,102.8913,,-0.8441,99.8215,99.8250
13:45:42,4.5055,0.0363,-1.5164,18.4885,29.9498,-0.1276,False,,0.5175,-0.0004,0.0000,,3.0218,101.8508,101.8957,,-0.8432,99.7179,99.7214
13:45:42,4.5418,0.0363,-1.5171,18.8197,30.1116,-0.1307,False,,0.5175,-0.0004,0.0000,,3.0227,100.8529,100.8982,,-0.8423,99.6113,99.6149
13:45:42,4.5795,0.0377,-1.5175,18.9846,29.6796,-0.1323,False,,0.5175,-0.0004,0.0000,,3.0231,100.3547,100.4002,,-0.8419,99.5600,99.5636
13:45:42,4.6141,0.0346,-1.5183,19.3186,29.8478,-0.1355,False,,0.5175,-0.0004,0.0000,,3.0241,99.3540,99.4001,,-0.8409,99.4524,99.4560
13:45:42,4.6499,0.0357,-1.5191,19.6544,30.0157,-0.1387,False,,0.5175,-0.0004,0.0000,,3.0250,98.3515,98.3980,,-0.8400,99.3405,99.3441
13:45:42,4.6853,0.0355,-1.5199,19.9921,30.1833,-0.1420,False,,0.5175,-0.0004,0.0000,,3.0260,97.3472,97.3942,,-0.8390,99.2292,99.2328
13:45:42,4.7218,0.0365,-1.5208,20.3316,30.3508,-0.1452,False,,0.5175,-0.0004,0.0000,,3.0270,96.3410,96.3886,,-0.8380,99.1157,99.1192
13:45:42,4.7596,0.0377,-1.5212,20.5033,30.9181,-0.1468,False,,0.5175,-0.0004,0.0000,,3.0275,95.8360,95.8838,,-0.8375,99.0562,99.0597
13:45:42,4.7952,0.0356,-1.5221,20.8455,31.0789,-0.1501,False,,0.5175,-0.0004,0.0000,,3.0285,94.8271,94.8754,,-0.8365,98.9386,98.9421
13:45:42,4.8309,0.0357,-1.5231,21.1896,31.2395,-0.1534,False,,0.5175,-0.0004,0.0000,,3.0296,93.8164,93.8653,,-0.8354,98.8203,98.8238
13:45:42,4.8667,0.0357,-1.5240,21.5354,31.3999,-0.1567,False,,0.5175,-0.0004,0.0000,,3.0307,92.8039,92.8533,,-0.8343,98.6990,98.7025
13:45:42,4.9025,0.0359,-1.5250,21.8831,31.5600,-0.1600,False,,0.5175,-0.0004,0.0000,,3.0318,91.7895,91.8396,,-0.8332,98.5764,98.5799
13:45:42,4.9392,0.0367,-1.5255,22.0563,31.1859,-0.1617,False,,0.5126,-0.0004,0.0000,,3.0323,91.2829,91.3333,,-0.8327,98.5154,98.5189
13:45:42,4.9774,0.0381,-1.5265,22.4067,31.3459,-0.1650,False,,0.5000,-0.0004,0.0000,,3.0335,90.2659,90.3169,,-0.8315,98.3901,98.3936
13:45:42,5.0157,0.0384,-1.5275,22.7588,31.5056,-0.1684,False,,0.5000,-0.0004,0.0000,,3.0347,89.2472,89.2987,,-0.8303,98.2617,98.2652
13:45:42,5.0563,0.0406,-1.5285,23.1125,31.6558,-0.1718,False,,0.4727,-0.0004,0.0000,,3.0359,88.2267,88.2789,,-0.8291,98.1338,98.1373
13:45:42,5.0950,0.0387,-1.5296,23.4679,31.8000,-0.1751,False,,0.4580,-0.0004,0.0000,,3.0371,87.2047,87.2576,,-0.8279,98.0029,98.0064
13:45:42,5.1308,0.0357,-1.5307,23.8248,31.9433,-0.1786,False,,0.4580,-0.0004,0.0000,,3.0383,86.1811,86.2347,,-0.8267,97.8697,97.8732
13:45:43,5.1677,0.0370,-1.5319,24.1832,32.0859,-0.1820,False,,0.4580,-0.0004,0.0000,,3.0396,85.1560,85.2102,,-0.8254,97.7354,97.7389
13:45:43,5.2041,0.0364,-1.5330,24.5432,32.2282,-0.1854,False,,0.4580,-0.0004,0.0000,,3.0409,84.1293,84.1843,,-0.8241,97.6000,97.6035
13:45:43,5.2407,0.0365,-1.5342,24.9048,32.3702,-0.1888,False,,0.4580,-0.0004,0.0000,,3.0422,83.1011,83.1568,,-0.8228,97.4622,97.4657
13:45:43,5.2793,0.0387,-1.5348,25.0872,32.8414,-0.1903,False,,0.4531,0.0000,0.0000,,3.0429,82.5853,82.6414,,-0.8221,97.3912,97.3946
13:45:43,5.3177,0.0383,-1.5360,25.4510,32.9661,-0.1927,False,,0.4286,0.0000,0.0000,,3.0442,81.5549,81.6117,,-0.8208,97.2511,97.2546
13:45:43,5.3564,0.0387,-1.5372,25.8161,33.0871,-0.1945,False,,0.4188,0.0000,0.0000,,3.0455,80.5231,80.5807,,-0.8195,97.1119,97.1154
13:45:43,5.3931,0.0367,-1.5384,26.1826,33.2058,-0.1958,False,,0.4139,0.0000,0.0000,,3.0468,79.4899,79.5483,,-0.8182,96.9711,96.9745
13:45:43,5.4293,0.0362,-1.5397,26.5505,33.3239,-0.1967,False,,0.4139,0.0000,0.0000,,3.0480,78.4554,78.5146,,-0.8170,96.8274,96.8308
13:45:43,5.4684,0.0391,-1.5409,26.9197,33.4417,-0.1975,False,,0.4139,0.0000,0.0000,,3.0493,77.4196,77.4796,,-0.8157,96.6829,96.6863
13:45:43,5.5061,0.0377,-1.5422,27.2902,33.5592,-0.1980,False,,0.4139,0.0000,0.0000,,3.0506,76.3824,76.4432,,-0.8144,96.5375,96.5409
13:45:43,5.5428,0.0367,-1.5434,27.6620,33.6763,-0.1985,False,,0.4139,0.0000,0.0000,,3.0519,75.3438,75.4056,,-0.8131,96.3890,96.3925
13:45:43,5.5794,0.0367,-1.5441,27.8475,33.3836,-0.1986,False,,0.4139,0.0000,0.0000,,3.0525,74.8250,74.8873,,-0.8125,96.3149,96.3184
13:45:43,5.6170,0.0375,-1.5453,28.2214,33.5074,-0.1989,False,,0.4139,0.0000,0.0000,,3.0538,73.7845,73.8476,,-0.8112,96.1648,96.1682
13:45:43,5.6549,0.0379,-1.5466,28.5966,33.6312,-0.1991,False,,0.4139,0.0000,0.0000,,3.0551,72.7426,72.8067,,-0.8099,96.0137,96.0171
13:45:43,5.6938,0.0389,-1.5479,28.9732,33.7550,-0.1992,False,,0.4139,0.0000,0.0000,,3.0564,71.6993,71.7644,,-0.8086,95.8596,95.8630
13:45:43,5.7345,0.0407,-1.5492,29.3511,33.8789,-0.1993,False,,0.4139,0.0000,0.0000,,3.0577,70.6548,70.7209,,-0.8073,95.7054,95.7088
13:45:43,5.7737,0.0392,-1.5505,29.7303,34.0028,-0.1994,False,,0.4139,0.0000,0.0000,,3.0590,69.6089,69.6760,,-0.8060,95.5496,95.5530
13:45:43,5.8125,0.0388,-1.5519,30.1109,34.1269,-0.1995,False,,0.4139,0.0000,0.0000,,3.0603,68.5616,68.6299,,-0.8047,95.3928,95.3962
13:45:43,5.8502,0.0377,-1.5532,30.4928,34.2512,-0.1995,False,,0.4139,0.0000,0.0000,,3.0617,67.5131,67.5825,,-0.8033,95.2351,95.2385
13:45:43,5.8873,0.0371,-1.5545,30.8760,34.3756,-0.1996,False,,0.4139,0.0000,0.0000,,3.0630,66.4632,66.5337,,-0.8020,95.0754,95.0788
13:45:43,5.9262,0.0389,-1.5558,31.2605,34.5004,-0.1996,False,,0.4139,0.0000,0.0000,,3.0643,65.4120,65.4837,,-0.8007,94.9162,94.9196
13:45:43,5.9658,0.0397,-1.5572,31.6464,34.6270,-0.1996,False,,0.4188,0.0000,0.0000,,3.0657,64.3594,64.4324,,-0.7993,94.7541,94.7574
13:45:43,6.0060,0.0402,-1.5585,32.0336,34.7558,-0.1996,False,,0.4237,0.0000,0.0000,,3.0670,63.3055,63.3798,,-0.7980,94.5904,94.5938
13:45:43,6.0435,0.0375,-1.5599,32.4222,34.8855,-0.1996,False,,0.4237,0.0000,0.0000,,3.0684,62.2502,62.3258,,-0.7966,94.4267,94.4301
13:45:43,6.0814,0.0379,-1.5612,32.8122,35.0208,-0.1996,False,,0.4384,0.0000,0.0000,,2.7143,61.2099,61.2701,,-0.7953,94.2602,94.2636
13:45:43,6.1182,0.0368,-1.5619,33.0084,35.3011,-0.1996,False,,0.4384,0.0000,0.0000,,2.7150,60.6805,60.7412,,-0.7946,94.1755,94.1788
13:45:43,6.1550,0.0368,-1.5633,33.4005,35.4208,-0.1996,False,,0.4384,0.0000,0.0000,,2.7163,59.6217,59.6835,,-0.7932,94.0064,94.0097
13:45:44,6.1946,0.0396,-1.5647,33.7940,35.5390,-0.1996,False,,0.4384,0.0000,0.0000,,2.7177,58.5615,58.6245,,-0.7919,93.8369,93.8403
