Wheel
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
13:51:16,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,,-0.8649,96.6533,96.6571
13:51:16,0.5509,0.1775,-1.5001,0.2034,2.6335,-0.0051,False,,0.0000,-0.0024,0.0000,,3.0004,186.1348,186.1590,,-0.8646,96.8439,96.8478
13:51:16,0.6273,0.0764,-1.5002,0.2674,3.0250,-0.0088,False,,0.0000,-0.0024,0.0000,,3.0006,184.7376,184.7619,,-0.8644,96.9525,96.9563
13:51:16,0.6703,0.0430,-1.5003,0.3025,3.2150,-0.0117,False,,0.0000,-0.0024,0.0000,,3.0008,184.0358,184.0602,,-0.8642,97.0123,97.0161
13:51:16,0.7100,0.0397,-1.5003,0.3398,3.3970,-0.0152,False,,0.0000,-0.0024,0.0000,,3.0010,183.3318,183.3564,,-0.8640,97.0758,97.0796
13:51:16,0.7449,0.0350,-1.5004,0.3792,3.5961,-0.0161,False,,0.0000,-0.0024,0.0000,,3.0011,182.6258,182.6504,,-0.8639,97.1430,97.1468
13:51:16,0.7798,0.0349,-1.5004,0.3997,3.6974,-0.0164,False,,0.0000,-0.0024,0.0000,,3.0011,182.2719,182.2966,,-0.8639,97.1779,97.1817
13:51:16,0.8154,0.0356,-1.5005,0.4425,3.8930,-0.0185,False,,0.0000,-0.0024,0.0000,,3.0013,181.5625,181.5873,,-0.8637,97.2505,97.2543
13:51:16,0.8517,0.0363,-1.5006,0.4873,4.0852,-0.0212,False,,0.0000,-0.0024,0.0000,,3.0015,180.8510,180.8759,,-0.8635,97.3265,97.3303
13:51:16,0.8863,0.0347,-1.5006,0.5343,4.2765,-0.0239,False,,0.0000,-0.0024,0.0000,,3.0017,180.1374,180.1624,,-0.8634,97.4060,97.4098
13:51:16,0.9228,0.0365,-1.5007,0.5834,4.4674,-0.0266,False,,0.0000,-0.0024,0.0000,,3.0019,179.4216,179.4467,,-0.8632,97.4888,97.4927
13:51:16,0.9577,0.0349,-1.5008,0.6088,4.5627,-0.0280,False,,0.0000,-0.0024,0.0000,,3.0020,179.0629,179.0881,,-0.8630,97.5315,97.5353
13:51:16,0.9926,0.0349,-1.5009,0.6610,4.7533,-0.0309,False,,0.0000,-0.0024,0.0000,,3.0022,178.3440,178.3692,,-0.8628,97.6192,97.6230
13:51:17,1.0308,0.0382,-1.5009,0.7154,4.9436,-0.0337,False,,0.0000,-0.0022,0.0000,,3.0024,177.6229,177.6483,,-0.8626,97.7104,97.7142
13:51:17,1.0699,0.0391,-1.5010,0.7708,4.9905,-0.0362,False,,0.1149,-0.0020,0.0000,,3.0026,176.9009,176.9264,,-0.8624,97.8062,97.8100
13:51:17,1.1080,0.0381,-1.5011,0.8271,5.0966,-0.0385,False,,0.2914,-0.0017,0.0000,,3.0028,176.1779,176.2035,,-0.8622,97.9065,97.9103
13:51:17,1.1478,0.0398,-1.5012,0.8849,5.2372,-0.0407,False,,0.3796,-0.0017,0.0000,,3.0029,175.4535,175.4792,,-0.8621,98.0101,98.0139
13:51:17,1.1858,0.0380,-1.5013,0.9444,5.3978,-0.0429,False,,0.4286,-0.0017,0.0000,,3.0031,174.7273,174.7531,,-0.8619,98.1180,98.1218
13:51:17,1.2240,0.0382,-1.5014,1.0059,5.5756,-0.0453,False,,0.4727,-0.0017,0.0000,,3.0033,173.9992,174.0251,,-0.8617,98.2292,98.2330
