Normal
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
14:01:49,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,,-0.8649,96.6533,96.6571
14:01:49,0.5357,0.1624,-1.5002,0.1885,2.5505,-0.0060,False,,0.0000,-0.0037,0.0000,,3.0004,186.4831,186.5072,,-0.8646,96.8193,96.8232
14:01:49,0.6104,0.0747,-1.5003,0.2502,2.9348,-0.0101,False,,0.0000,-0.0037,0.0000,,3.0007,185.0881,185.1124,,-0.8643,96.9243,96.9282
14:01:49,0.6517,0.0413,-1.5004,0.2842,3.1013,-0.0113,False,,0.0000,-0.0037,0.0000,,3.0009,184.3875,184.4119,,-0.8641,96.9824,96.9863
14:01:49,0.6920,0.0404,-1.5005,0.3204,3.3147,-0.0150,False,,0.0000,-0.0037,0.0000,,3.0011,183.6845,183.7090,,-0.8639,97.0440,97.0478
14:01:49,0.7296,0.0376,-1.5005,0.3588,3.5025,-0.0156,False,,0.0000,-0.0037,0.0000,,3.0012,182.9795,183.0041,,-0.8638,97.1093,97.1132
14:01:49,0.7655,0.0358,-1.5006,0.3994,3.7045,-0.0183,False,,0.0000,-0.0037,0.0000,,3.0014,182.2722,182.2969,,-0.8636,97.1783,97.1821
14:01:49,0.8072,0.0417,-1.5007,0.4421,3.8924,-0.0212,False,,0.0000,-0.0037,0.0000,,3.0016,181.5629,181.5877,,-0.8634,97.2508,97.2547
14:01:49,0.8481,0.0409,-1.5008,0.4870,4.0864,-0.0251,False,,0.0000,-0.0037,0.0000,,3.0019,180.8514,180.8763,,-0.8631,97.3269,97.3307
14:01:49,0.8861,0.0380,-1.5009,0.5340,4.2772,-0.0291,False,,0.0000,-0.0037,0.0000,,3.0022,180.1377,180.1627,,-0.8628,97.4064,97.4102
14:01:49,0.9233,0.0372,-1.5011,0.5831,4.4680,-0.0330,False,,0.0000,-0.0035,0.0000,,3.0025,179.4219,179.4471,,-0.8626,97.4892,97.4930
14:01:49,0.9613,0.0379,-1.5012,0.6343,4.6586,-0.0364,False,,0.0000,-0.0027,0.0000,,3.0027,178.7041,178.7293,,-0.8623,97.5751,97.5790
14:01:49,1.0017,0.0405,-1.5013,0.6876,4.8491,-0.0390,False,,0.0000,-0.0016,0.0000,,3.0029,177.9841,178.0094,,-0.8621,97.6647,97.6685
14:01:49,1.0423,0.0406,-1.5013,0.7417,4.8559,-0.0405,False,,0.0169,-0.0006,0.0000,,3.0031,177.2634,177.2888,,-0.8620,97.7591,97.7629
14:01:49,1.0818,0.0395,-1.5014,0.7959,4.8914,-0.0410,False,,0.1002,0.0000,0.0000,,3.0031,176.5425,176.5680,,-0.8619,97.8587,97.8625
14:01:49,1.1220,0.0401,-1.5014,0.8508,4.9510,-0.0412,False,,0.1688,0.0000,0.0000,,3.0032,175.8210,175.8466,,-0.8618,97.9626,97.9664
14:01:49,1.1647,0.0427,-1.5015,0.9065,5.0425,-0.0412,False,,0.2521,0.0000,0.0000,,3.0032,175.0985,175.1243,,-0.8618,98.0716,98.0754
14:01:49,1.2080,0.0433,-1.5015,0.9636,5.1752,-0.0412,False,,0.3600,0.0000,0.0000,,3.0033,174.3748,174.4006,,-0.8617,98.1845,98.1883
