Normal
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Stopped Bicycle,dX,dZ,Distance
13:32:29,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,-0.8649,21.4157,21.4331
13:32:29,0.5487,0.1754,-1.4999,0.2037,2.6310,0.0024,False,,0.0000,0.0012,0.0000,,-0.8652,21.3034,21.3210
13:32:29,0.6323,0.0836,-1.4999,0.2676,3.0303,0.0001,False,,0.0000,0.0011,0.0000,,-0.8651,21.2395,21.2571
13:32:29,0.6860,0.0537,-1.4999,0.3211,3.3008,0.0029,False,,0.0000,0.0011,0.0000,,-0.8653,21.1860,21.2037
13:32:29,0.7380,0.0520,-1.4998,0.3594,3.4924,0.0016,False,,0.0000,0.0011,0.0000,,-0.8652,21.1477,21.1654
13:32:29,0.7873,0.0493,-1.4998,0.4210,3.7939,0.0014,False,,0.0000,0.0011,0.0000,,-0.8653,21.0861,21.1038
13:32:29,0.8321,0.0448,-1.4998,0.4648,3.9866,0.0015,False,,0.0000,0.0004,0.0000,,-0.8653,21.0423,21.0601
13:32:29,0.8724,0.0403,-1.4998,0.5107,4.1807,0.0017,False,,0.0000,-0.0004,0.0000,,-0.8653,20.9964,21.0142
13:32:29,0.9132,0.0409,-1.4998,0.5587,4.3714,0.0009,False,,0.0000,-0.0014,0.0000,,-0.8652,20.9484,20.9662
13:32:29,0.9538,0.0406,-1.4998,0.6089,4.5621,-0.0008,False,,0.0000,-0.0019,0.0000,,-0.8651,20.8982,20.9161
13:32:29,0.9957,0.0419,-1.4999,0.6612,4.7526,-0.0030,False,,0.0000,-0.0020,0.0000,,-0.8650,20.8459,20.8639
13:32:29,1.0347,0.0390,-1.4999,0.7156,4.9430,-0.0053,False,,0.0000,-0.0020,0.0000,,-0.8648,20.7916,20.8095
13:32:29,1.0754,0.0408,-1.5000,0.7721,5.1332,-0.0078,False,,0.0000,-0.0020,0.0000,,-0.8647,20.7350,20.7531
13:32:29,1.1163,0.0409,-1.5001,0.8307,5.3233,-0.0098,False,,0.0000,-0.0012,0.0000,,-0.8645,20.6764,20.6945
13:32:29,1.1596,0.0433,-1.5001,0.8901,5.3502,-0.0102,False,,0.0561,0.0006,0.0000,,-0.8645,20.6170,20.6351
13:32:29,1.2001,0.0405,-1.5000,0.9808,5.4899,-0.0056,False,,0.2619,0.0037,0.0000,,-0.8648,20.5263,20.5445
13:32:29,1.2425,0.0423,-1.4999,1.0431,5.6488,0.0014,False,,0.4335,0.0068,0.0000,,-0.8652,20.4640,20.4823
13:32:30,1.2840,0.0415,-1.4996,1.1074,5.8363,0.0123,False,,0.5000,0.0094,0.0000,,-0.8659,20.3997,20.4181
13:32:30,1.3249,0.0409,-1.4993,1.1739,6.0257,0.0267,False,,0.5000,0.0111,0.0000,,-0.8669,20.3333,20.3517
13:32:30,1.3658,0.0408,-1.4989,1.2424,6.2149,0.0435,False,,0.5000,0.0119,0.0000,,-0.8680,20.2647,20.2833
13:32:30,1.4073,0.0415,-1.4984,1.3130,6.4039,0.0621,False,,0.5000,0.0124,0.0000,,-0.8692,20.1941,20.2128
13:32:30,1.4478,0.0405,-1.4979,1.3857,6.5927,0.0826,False,,0.5000,0.0133,0.0000,,-0.8707,20.1214,20.1402
13:32:30,1.4894,0.0416,-1.4972,1.4606,6.7813,0.1053,False,,0.5000,0.0145,0.0000,,-0.8722,20.0466,20.0655
13:32:30,1.5304,0.0410,-1.4965,1.5375,6.9696,0.1308,False,,0.5000,0.0161,0.0000,,-0.8740,19.9697,19.9888
13:32:30,1.5732,0.0428,-1.4957,1.6165,7.1577,0.1596,False,,0.5000,0.0177,0.0000,,-0.8761,19.8907,19.9099
13:32:30,1.6147,0.0415,-1.4948,1.6976,7.3455,0.1921,False,,0.5000,0.0196,0.0000,,-0.8784,19.8096,19.8290
13:32:30,1.6551,0.0404,-1.4937,1.7807,7.5331,0.2287,False,,0.5000,0.0214,0.0000,,-0.8811,19.7264,19.7461
13:32:30,1.6960,0.0408,-1.4924,1.8660,7.7204,0.2695,False,,0.5000,0.0233,0.0000,,-0.8840,19.6412,19.6610
13:32:30,1.7368,0.0408,-1.4910,1.9535,7.9291,0.3148,False,,0.5616,0.0248,0.0000,,-0.8874,19.5537,19.5738
13:32:30,1.7785,0.0417,-1.4894,2.0435,8.1624,0.3635,False,,0.6253,0.0251,0.0000,,-0.8910,19.4637,19.4840
13:32:30,1.8200,0.0416,-1.4868,2.1838,8.5453,0.4411,False,,0.6792,0.0251,0.0000,,-0.8970,19.3234,19.3442
13:32:30,1.8633,0.0433,-1.4849,2.2809,8.8068,0.4948,False,,0.6939,0.0246,0.0000,,-0.9012,19.2263,19.2474
13:32:30,1.9063,0.0429,-1.4828,2.3809,9.0686,0.5491,False,,0.6939,0.0238,0.0000,,-0.9055,19.1263,19.1478
