Normal
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:22:20,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,,-0.8649,96.6533,96.6571
15:22:21,0.5755,0.2022,-1.5002,0.2163,2.6669,-0.0215,False,,0.4678,-0.0035,0.0000,,3.0012,185.7887,185.8129,,-0.8638,96.8721,96.8759
15:22:21,0.6606,0.0851,-1.5004,0.2958,2.9919,-0.0295,False,,0.3257,-0.0035,0.0000,,3.0017,184.0425,184.0670,,-0.8633,97.0190,97.0228
15:22:21,0.7086,0.0481,-1.5005,0.3303,3.1499,-0.0326,False,,0.4482,-0.0035,0.0000,,3.0019,183.3413,183.3659,,-0.8631,97.0853,97.0891
15:22:21,0.7542,0.0456,-1.5006,0.3668,3.3318,-0.0373,False,,0.4923,-0.0035,0.0000,,3.0022,182.6381,182.6628,,-0.8628,97.1553,97.1592
15:22:21,0.8014,0.0472,-1.5007,0.4259,3.6501,-0.0395,False,,0.5175,-0.0035,0.0000,,3.0024,181.5791,181.6039,,-0.8626,97.2670,97.2709
15:22:21,0.8457,0.0443,-1.5008,0.4685,3.9063,-0.0426,False,,0.7037,-0.0035,0.0000,,3.0026,180.8698,180.8947,,-0.8624,97.3453,97.3491
15:22:21,0.8904,0.0447,-1.5010,0.5145,4.2185,-0.0463,False,,0.8067,-0.0035,0.0000,,3.0029,180.1571,180.1821,,-0.8621,97.4258,97.4296
15:22:21,0.9394,0.0490,-1.5011,0.5643,4.5618,-0.0503,False,,0.8900,-0.0035,0.0000,,3.0032,179.4407,179.4659,,-0.8618,97.5080,97.5118
15:22:21,0.9848,0.0454,-1.5013,0.6464,5.1128,-0.0570,False,,0.9537,-0.0035,0.0000,,3.0037,178.3586,178.3839,,-0.8613,97.6339,97.6377
15:22:21,1.0295,0.0447,-1.5015,0.7064,5.4930,-0.0619,False,,0.9881,-0.0035,0.0000,,3.0041,177.6320,177.6574,,-0.8609,97.7194,97.7232
15:22:21,1.0725,0.0431,-1.5017,0.7706,5.8774,-0.0671,False,,0.9979,-0.0035,0.0000,,3.0045,176.9011,176.9266,,-0.8605,97.8064,97.8102
15:22:21,1.1158,0.0432,-1.5019,0.8391,6.2625,-0.0727,False,,1.0000,-0.0035,0.0000,,3.0050,176.1659,176.1916,,-0.8600,97.8945,97.8982
15:22:21,1.1565,0.0407,-1.5021,0.9119,6.6473,-0.0779,False,,1.0000,-0.0028,0.0000,,3.0054,175.4265,175.4522,,-0.8596,97.9831,97.9869
15:22:21,1.1975,0.0409,-1.5023,0.9890,7.0316,-0.0818,False,,1.0000,-0.0014,0.0000,,3.0058,174.6828,174.7086,,-0.8592,98.0735,98.0772
15:22:21,1.2377,0.0403,-1.5025,1.0703,7.4130,-0.0840,False,,0.9930,-0.0004,0.0000,,3.0060,173.9348,173.9608,,-0.8590,98.1649,98.1686
15:22:21,1.2788,0.0410,-1.5026,1.1558,7.7936,-0.0851,False,,0.9930,0.0000,0.0000,,3.0062,173.1826,173.2087,,-0.8588,98.2560,98.2598
15:22:21,1.3210,0.0422,-1.5028,1.2921,8.3635,-0.0856,False,,0.9930,0.0000,0.0000,,3.0065,172.0464,172.0727,,-0.8585,98.3964,98.4001
15:22:21,1.3645,0.0435,-1.5030,1.3881,8.7429,-0.0857,False,,0.9930,0.0000,0.0000,,3.0066,171.2837,171.3100,,-0.8584,98.4911,98.4949
15:22:21,1.4082,0.0436,-1.5031,1.4884,9.1218,-0.0862,False,,0.9930,-0.0004,0.0000,,3.0068,170.5167,170.5432,,-0.8582,98.5873,98.5910
15:22:21,1.4512,0.0431,-1.5033,1.5930,9.5026,-0.0871,False,,1.0000,-0.0004,0.0000,,3.0070,169.7455,169.7722,,-0.8580,98.6845,98.6882
15:22:22,1.4912,0.0399,-1.5035,1.7017,9.8833,-0.0880,False,,1.0000,-0.0004,0.0000,,3.0072,168.9701,168.9969,,-0.8578,98.7828,98.7865
15:22:22,1.5302,0.0390,-1.5037,1.8147,10.2635,-0.0891,False,,1.0000,-0.0004,0.0000,,3.0075,168.1905,168.2174,,-0.8575,98.8823,98.8860
15:22:22,1.5693,0.0392,-1.5039,1.9319,10.6432,-0.0903,False,,1.0000,-0.0004,0.0000,,3.0077,167.4066,167.4336,,-0.8573,98.9824,98.9861
15:22:22,1.6124,0.0430,-1.5041,2.0533,11.0224,-0.0915,False,,1.0000,-0.0004,0.0000,,3.0080,166.6185,166.6457,,-0.8570,99.0827,99.0864
15:22:22,1.6497,0.0374,-1.5043,2.1790,11.4011,-0.0927,False,,1.0000,-0.0004,0.0000,,3.0083,165.8263,165.8535,,-0.8567,99.1851,99.1888
15:22:22,1.6867,0.0370,-1.5046,2.3088,11.7794,-0.0940,False,,1.0000,-0.0004,0.0000,,3.0086,165.0298,165.0572,,-0.8564,99.2878,99.2915
15:22:22,1.7246,0.0379,-1.5048,2.4428,12.1572,-0.0953,False,,1.0000,-0.0004,0.0000,,3.0089,164.2291,164.2567,,-0.8561,99.3912,99.3949
15:22:22,1.7614,0.0368,-1.5051,2.5810,12.5344,-0.0967,False,,1.0000,-0.0004,0.0000,,3.0092,163.4242,163.4519,,-0.8558,99.4961,99.4998
15:22:22,1.7988,0.0375,-1.5052,2.6517,12.7229,-0.0974,False,,1.0000,-0.0004,0.0000,,3.0094,163.0202,163.0480,,-0.8556,99.5488,99.5525
15:22:22,1.8394,0.0405,-1.5055,2.7962,13.0994,-0.0983,False,,1.0000,0.0000,0.0000,,3.0097,162.2090,162.2370,,-0.8553,99.6549,99.6585
15:22:22,1.8767,0.0373,-1.5057,2.9449,13.4755,-0.0981,False,,1.0000,0.0006,0.0000,,3.0099,161.3937,161.4218,,-0.8551,99.7618,99.7655
15:22:22,1.9145,0.0378,-1.5060,3.0978,13.8510,-0.0966,False,,1.0000,0.0009,0.0000,,3.0101,160.5742,160.6024,,-0.8549,99.8647,99.8683
15:22:22,1.9531,0.0386,-1.5062,3.2548,14.2261,-0.0944,False,,1.0000,0.0009,0.0000,,3.0102,159.7505,159.7789,,-0.8548,99.9616,99.9652
15:22:22,1.9916,0.0385,-1.5064,3.4160,14.6007,-0.0917,False,,1.0000,0.0009,0.0000,,3.0103,158.9227,158.9512,,-0.8547,100.0533,100.0569
15:22:22,2.0293,0.0377,-1.5066,3.5813,14.9748,-0.0891,False,,1.0000,0.0006,0.0000,,3.0104,158.0907,158.1193,,-0.8546,100.1390,100.1426
15:22:22,2.0734,0.0442,-1.5068,3.7508,15.3484,-0.0873,False,,1.0000,0.0000,0.0000,,3.0105,157.2545,157.2833,,-0.8545,100.2201,100.2237
15:22:22,2.1136,0.0402,-1.5071,3.9245,15.7216,-0.0878,False,,1.0000,-0.0012,0.0000,,3.0108,156.4142,156.4432,,-0.8542,100.2952,100.2988
15:22:22,2.1565,0.0429,-1.5075,4.1023,16.0942,-0.0920,False,,1.0000,-0.0027,0.0000,,3.0114,155.5698,155.5989,,-0.8536,100.3654,100.3690
15:22:22,2.1936,0.0371,-1.5079,4.2842,16.4664,-0.1004,False,,1.0000,-0.0037,0.0000,,3.0122,154.7212,154.7505,,-0.8528,100.4331,100.4368
