Wheel
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:49:33,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,,-0.8649,96.6533,96.6571
15:49:33,0.5402,0.1668,-1.5000,0.2278,3.5082,0.0031,False,,1.0000,0.0006,0.0000,,2.9998,186.1104,186.1346,,-0.8652,96.8195,96.8234
15:49:34,0.6333,0.0932,-1.4999,0.3166,4.2829,0.0044,False,,1.0000,0.0006,0.0000,,2.9997,184.6884,184.7127,,-0.8653,96.9033,96.9071
15:49:34,0.6867,0.0534,-1.4999,0.3944,4.8631,0.0055,False,,1.0000,0.0006,0.0000,,2.9997,183.6106,183.6351,,-0.8654,96.9701,96.9739
15:49:34,0.7340,0.0472,-1.4999,0.4516,5.2495,0.0066,False,,1.0000,0.0009,0.0000,,2.9996,182.8867,182.9113,,-0.8654,97.0165,97.0204
15:49:34,0.7739,0.0400,-1.4998,0.5132,5.6354,0.0078,False,,1.0000,0.0009,0.0000,,2.9995,182.1585,182.1832,,-0.8655,97.0645,97.0683
15:49:34,0.8119,0.0379,-1.4998,0.5790,6.0209,0.0091,False,,1.0000,0.0009,0.0000,,2.9994,181.4260,181.4508,,-0.8656,97.1139,97.1178
15:49:34,0.8478,0.0359,-1.4997,0.6491,6.4060,0.0105,False,,1.0000,0.0009,0.0000,,2.9993,180.6892,180.7141,,-0.8657,97.1647,97.1686
15:49:34,0.8852,0.0374,-1.4997,0.7235,6.7905,0.0120,False,,1.0000,0.0009,0.0000,,2.9992,179.9482,179.9732,,-0.8658,97.2168,97.2207
15:49:34,0.9227,0.0375,-1.4996,0.8022,7.1746,0.0136,False,,1.0000,0.0009,0.0000,,2.9991,179.2029,179.2280,,-0.8659,97.2701,97.2740
15:49:34,0.9572,0.0344,-1.4996,0.8431,7.3665,0.0144,False,,1.0000,0.0009,0.0000,,2.9990,178.8286,178.8538,,-0.8660,97.2972,97.3010
15:49:34,0.9946,0.0375,-1.4996,0.9281,7.7499,0.0161,False,,1.0000,0.0009,0.0000,,2.9989,178.0769,178.1022,,-0.8661,97.3522,97.3560
15:49:34,1.0319,0.0373,-1.4995,1.0174,8.1328,0.0179,False,,1.0000,0.0009,0.0000,,2.9987,177.3210,177.3463,,-0.8663,97.4084,97.4123
15:49:34,1.0696,0.0377,-1.4994,1.1110,8.5152,0.0198,False,,1.0000,0.0009,0.0000,,2.9986,176.5608,176.5862,,-0.8664,97.4660,97.4699
15:49:34,1.1066,0.0369,-1.4993,1.2088,8.8972,0.0218,False,,1.0000,0.0009,0.0000,,2.9984,175.7963,175.8219,,-0.8666,97.5248,97.5287
15:49:34,1.1442,0.0377,-1.4993,1.3108,9.2786,0.0238,False,,1.0000,0.0009,0.0000,,2.9982,175.0276,175.0533,,-0.8668,97.5842,97.5881
15:49:34,1.1849,0.0406,-1.4992,1.4171,9.6596,0.0260,False,,1.0000,0.0009,0.0000,,2.9981,174.2547,174.2805,,-0.8669,97.6454,97.6492
15:49:34,1.2215,0.0367,-1.4991,1.5276,10.0401,0.0282,False,,1.0000,0.0009,0.0000,,2.9979,173.4775,173.5034,,-0.8671,97.7076,97.7114
15:49:34,1.2606,0.0391,-1.4990,1.6423,10.4201,0.0305,False,,1.0000,0.0009,0.0000,,2.9977,172.6962,172.7222,,-0.8673,97.7695,97.7734
15:49:34,1.2987,0.0381,-1.4989,1.7012,10.6099,0.0317,False,,1.0000,0.0009,0.0000,,2.9976,172.3039,172.3300,,-0.8675,97.8012,97.8051
15:49:34,1.3367,0.0381,-1.4988,1.8223,10.9892,0.0341,False,,1.0000,0.0009,0.0000,,2.9973,171.5162,171.5424,,-0.8677,97.8661,97.8700
15:49:34,1.3763,0.0395,-1.4987,1.9476,11.3680,0.0366,False,,1.0000,0.0009,0.0000,,2.9971,170.7243,170.7506,,-0.8679,97.9318,97.9356
15:49:34,1.4133,0.0370,-1.4985,2.0770,11.7462,0.0406,False,,1.0000,0.0022,0.0000,,2.9968,169.9281,169.9546,,-0.8682,97.9988,98.0026
15:49:34,1.4553,0.0419,-1.4982,2.2107,12.1240,0.0484,False,,1.0000,0.0042,0.0000,,2.9962,169.1278,169.1544,,-0.8688,98.0668,98.0707
15:49:34,1.4932,0.0379,-1.4978,2.3485,12.5013,0.0617,False,,1.0000,0.0065,0.0000,,2.9952,168.3233,168.3500,,-0.8698,98.1360,98.1399
15:49:34,1.5321,0.0390,-1.4973,2.4906,12.8781,0.0800,False,,1.0000,0.0075,0.0000,,2.9939,167.5146,167.5414,,-0.8711,98.2064,98.2103
15:49:34,1.5756,0.0435,-1.4966,2.6368,13.2544,0.1015,False,,1.0000,0.0074,0.0000,,2.9923,166.7018,166.7286,,-0.8727,98.2776,98.2814
15:49:34,1.6144,0.0388,-1.4959,2.7872,13.6302,0.1238,False,,1.0000,0.0065,0.0000,,2.9907,165.8847,165.9117,,-0.8744,98.3488,98.3527
15:49:35,1.6540,0.0396,-1.4952,2.9418,14.0056,0.1452,False,,1.0000,0.0053,0.0000,,2.9890,165.0635,165.0905,,-0.8760,98.4223,98.4262
15:49:35,1.6950,0.0410,-1.4944,3.1005,14.3805,0.1644,False,,1.0000,0.0042,0.0000,,2.9874,164.2381,164.2652,,-0.8776,98.4961,98.5000
15:49:35,1.7391,0.0441,-1.4936,3.2634,14.7549,0.1814,False,,1.0000,0.0035,0.0000,,2.9859,163.4085,163.4358,,-0.8791,98.5706,98.5746
15:49:35,1.7812,0.0420,-1.4924,3.5156,15.3156,0.2031,False,,1.0000,0.0029,0.0000,,2.9837,162.1564,162.1839,,-0.8813,98.6850,98.6889
15:49:35,1.8222,0.0410,-1.4915,3.6888,15.6888,0.2162,False,,1.0000,0.0029,0.0000,,2.9823,161.3165,161.3440,,-0.8827,98.7623,98.7662
15:49:35,1.8628,0.0407,-1.4906,3.8663,16.0615,0.2288,False,,1.0000,0.0029,0.0000,,2.9809,160.4724,160.5001,,-0.8841,98.8405,98.8445
15:49:35,1.9022,0.0394,-1.4896,4.0478,16.4337,0.2413,False,,1.0000,0.0029,0.0000,,2.9794,159.6242,159.6520,,-0.8856,98.9146,98.9186
15:49:35,1.9417,0.0395,-1.4886,4.2335,16.8054,0.2535,False,,1.0000,0.0027,0.0000,,2.9778,158.7718,158.7997,,-0.8872,98.9829,98.9869
15:49:35,1.9806,0.0389,-1.4876,4.4233,17.1767,0.2656,False,,1.0000,0.0026,0.0000,,2.9763,157.9154,157.9434,,-0.8887,99.0460,99.0499
15:49:35,2.0188,0.0382,-1.4870,4.5198,17.3621,0.2714,False,,1.0000,0.0022,0.0000,,2.9755,157.4856,157.5137,,-0.8895,99.0752,99.0792
15:49:35,2.0585,0.0397,-1.4859,4.7158,17.7326,0.2824,False,,1.0000,0.0021,0.0000,,2.9739,156.6229,156.6512,,-0.8911,99.1301,99.1341
15:49:35,2.0969,0.0384,-1.4847,4.9159,18.1026,0.2927,False,,1.0000,0.0019,0.0000,,2.9723,155.7562,155.7845,,-0.8927,99.1795,99.1835
15:49:35,2.1356,0.0386,-1.4835,5.1200,18.3701,0.3019,False,,1.0000,0.0016,0.0000,,2.9707,154.8855,154.9139,,-0.8943,99.2239,99.2279
15:49:35,2.1753,0.0398,-1.4823,5.3282,18.7404,0.3103,False,,1.0000,0.0014,0.0000,,2.9691,154.0106,154.0392,,-0.8959,99.2645,99.2685
15:49:35,2.2150,0.0396,-1.4810,5.5401,18.9934,0.3181,False,,1.0000,0.0014,0.0000,,2.9675,153.1321,153.1608,,-0.8975,99.3014,99.3054
15:49:35,2.2540,0.0390,-1.4797,5.7569,19.3297,0.3251,False,,1.0000,0.0014,0.0000,,2.9659,152.2486,152.2775,,-0.8991,99.3317,99.3358
15:49:35,2.2947,0.0407,-1.4784,5.9782,19.7522,0.3331,False,,1.0000,0.0012,0.0000,,2.9642,151.3606,151.3896,,-0.9008,99.3574,99.3615
15:49:35,2.3326,0.0379,-1.4770,6.2023,19.9473,0.3364,False,,1.0000,0.0011,0.0000,,2.9626,150.4699,150.4991,,-0.9024,99.3785,99.3826
15:49:35,2.3721,0.0395,-1.4755,6.4310,20.3817,0.3361,False,,1.0000,0.0009,0.0000,,2.9612,149.5745,149.6038,,-0.9038,99.3940,99.3981
15:49:35,2.4080,0.0359,-1.4741,6.6644,20.8276,0.3434,False,,1.0000,0.0006,0.0000,,2.9595,148.6745,148.7039,,-0.9056,99.4032,99.4074
15:49:35,2.4454,0.0374,-1.4726,6.9011,21.1032,0.3520,False,,1.0000,0.0006,0.0000,,2.9576,147.7711,147.8007,,-0.9074,99.4085,99.4126
15:49:35,2.4838,0.0384,-1.4711,7.1426,21.5460,0.3574,False,,1.0000,0.0000,0.0000,,2.9559,146.8630,146.8927,,-0.9091,99.4077,99.4118
15:49:35,2.5225,0.0388,-1.4695,7.3876,21.8483,0.3564,False,,1.0000,0.0000,0.0000,,2.9544,145.9513,145.9812,,-0.9106,99.4020,99.4062
15:49:35,2.5617,0.0392,-1.4680,7.6370,22.2566,0.3577,False,,1.0000,0.0000,0.0000,,2.9528,145.0353,145.0653,,-0.9123,99.3930,99.3972
15:49:35,2.5993,0.0376,-1.4672,7.7647,22.9876,0.3591,False,,1.0000,0.0000,0.0000,,2.9519,144.5742,144.6044,,-0.9131,99.3857,99.3899
15:49:36,2.6381,0.0388,-1.4656,8.0199,23.3557,0.3611,False,,1.0000,0.0000,0.0000,,2.9502,143.6523,143.6826,,-0.9148,99.3701,99.3743
15:49:36,2.6771,0.0390,-1.4640,8.2793,23.7129,0.3617,False,,1.0000,0.0000,0.0000,,2.9486,142.7263,142.7568,,-0.9164,99.3490,99.3533
15:49:36,2.7137,0.0366,-1.4623,8.5426,24.0726,0.3623,False,,1.0000,0.0000,0.0000,,2.9469,141.7964,141.8270,,-0.9181,99.3229,99.3272
15:49:36,2.7524,0.0387,-1.4606,8.8098,24.4301,0.3626,False,,1.0000,0.0000,0.0000,,2.9452,140.8624,140.8932,,-0.9198,99.2918,99.2961
15:49:36,2.7926,0.0402,-1.4589,9.0811,24.7863,0.3629,False,,1.0000,0.0000,0.0000,,2.9435,139.9245,139.9555,,-0.9215,99.2580,99.2623
15:49:36,2.8329,0.0403,-1.4572,9.3563,25.1415,0.3630,False,,1.0000,0.0000,0.0000,,2.9417,138.9827,139.0138,,-0.9233,99.2186,99.2229
15:49:36,2.8738,0.0409,-1.4554,9.6354,25.4953,0.3631,False,,1.0000,0.0000,0.0000,,2.9400,138.0369,138.0682,,-0.9251,99.1746,99.1789
15:49:36,2.9137,0.0399,-1.4536,9.9184,25.8484,0.3632,False,,1.0000,0.0000,0.0000,,2.9382,137.0872,137.1187,,-0.9268,99.1261,99.1305
15:49:36,2.9521,0.0384,-1.4518,10.2054,26.2007,0.3633,False,,1.0000,0.0000,0.0000,,2.9363,136.1336,136.1652,,-0.9287,99.0747,99.0791
15:49:36,2.9894,0.0373,-1.4500,10.4964,26.5529,0.3633,False,,1.0000,0.0000,0.0000,,2.9345,135.1760,135.2078,,-0.9305,99.0175,99.0219
15:49:36,3.0277,0.0383,-1.4481,10.7912,26.9049,0.3633,False,,1.0000,0.0000,0.0000,,2.9326,134.2145,134.2465,,-0.9324,98.9571,98.9615
15:49:36,3.0668,0.0392,-1.4462,11.0901,27.2570,0.3634,False,,1.0000,0.0000,0.0000,,2.9307,133.2490,133.2812,,-0.9343,98.8930,98.8974
15:49:36,3.1081,0.0413,-1.4443,11.3929,27.6091,0.3634,False,,1.0000,0.0000,0.0000,,2.9288,132.2795,132.3120,,-0.9362,98.8221,98.8265
15:49:36,3.1479,0.0398,-1.4423,11.6996,27.9609,0.3634,False,,1.0000,0.0000,0.0000,,2.9269,131.3061,131.3387,,-0.9381,98.7500,98.7545
15:49:36,3.1867,0.0388,-1.4404,12.0103,28.3124,0.3634,False,,1.0000,0.0000,0.0000,,2.9249,130.3288,130.3616,,-0.9401,98.6723,98.6768
15:49:36,3.2268,0.0401,-1.4384,12.3250,28.6635,0.3634,False,,1.0000,0.0000,0.0000,,2.9229,129.3475,129.3805,,-0.9421,98.5884,98.5929
15:49:36,3.2701,0.0433,-1.4363,12.6436,29.0142,0.3634,False,,1.0000,0.0000,0.0000,,2.9209,128.3622,128.3954,,-0.9441,98.5006,98.5051
15:49:36,3.3127,0.0426,-1.4343,12.9661,29.3646,0.3634,False,,1.0000,0.0000,0.0000,,2.9188,127.3730,127.4064,,-0.9462,98.4086,98.4131
15:49:36,3.3526,0.0399,-1.4322,13.2926,29.7145,0.3634,False,,1.0000,0.0000,0.0000,,2.9168,126.3799,126.4135,,-0.9482,98.3135,98.3181
15:49:36,3.3897,0.0371,-1.4301,13.6230,30.0640,0.3634,False,,1.0000,0.0000,0.0000,,2.9147,125.3828,125.4166,,-0.9503,98.2133,98.2179
15:49:36,3.4284,0.0386,-1.4280,13.9574,30.4130,0.3634,False,,1.0000,0.0000,0.0000,,2.9126,124.3818,124.4159,,-0.9524,98.1080,98.1126
15:49:36,3.4662,0.0378,-1.4259,14.2957,30.7617,0.3634,False,,1.0000,0.0000,0.0000,,2.9104,123.3768,123.4111,,-0.9546,98.0005,98.0052
15:49:36,3.5045,0.0383,-1.4237,14.6379,31.1098,0.3634,False,,1.0000,0.0000,0.0000,,2.9082,122.3680,122.4025,,-0.9568,97.8883,97.8930
15:49:36,3.5463,0.0418,-1.4215,14.9840,31.4573,0.3634,False,,1.0000,0.0000,0.0000,,2.9060,121.3552,121.3900,,-0.9590,97.7714,97.7761
15:49:36,3.5851,0.0388,-1.4193,15.3340,31.8043,0.3634,False,,1.0000,0.0000,0.0000,,2.9038,120.3385,120.3735,,-0.9612,97.6519,97.6566
15:49:37,3.6245,0.0394,-1.4170,15.6880,32.1507,0.3634,False,,1.0000,0.0000,0.0000,,2.9016,119.3179,119.3532,,-0.9634,97.5273,97.5321
15:49:37,3.6643,0.0398,-1.4148,16.0458,32.4964,0.3634,False,,1.0000,0.0000,0.0000,,2.8993,118.2934,118.3289,,-0.9657,97.3978,97.4026
15:49:37,3.7033,0.0390,-1.4125,16.4076,32.8414,0.3634,False,,1.0000,0.0000,0.0000,,2.8970,117.2650,117.3008,,-0.9680,97.2648,97.2696
15:49:37,3.7400,0.0367,-1.4113,16.5889,32.6324,0.3634,False,,1.0000,0.0000,0.0000,,2.8959,116.7504,116.7863,,-0.9691,97.1983,97.2031
15:49:37,3.7793,0.0393,-1.4090,16.9565,32.9894,0.3634,False,,1.0000,0.0000,0.0000,,2.8935,115.7161,115.7522,,-0.9715,97.0592,97.0641
15:49:37,3.8175,0.0383,-1.4066,17.3280,33.3466,0.3634,False,,1.0000,0.0000,0.0000,,2.8912,114.6779,114.7143,,-0.9738,96.9148,96.9197
15:49:37,3.8577,0.0402,-1.4043,17.7034,33.7040,0.3634,False,,1.0000,0.0000,0.0000,,2.8888,113.6358,113.6725,,-0.9762,96.7660,96.7709
15:49:37,3.8955,0.0377,-1.4018,18.0827,34.0618,0.3634,False,,1.0000,0.0000,0.0000,,2.8864,112.5899,112.6269,,-0.9786,96.6151,96.6201
15:49:37,3.9358,0.0404,-1.3994,18.4659,34.4200,0.3634,False,,1.0000,0.0000,0.0000,,2.8840,111.5400,111.5773,,-0.9810,96.4594,96.4644
15:49:37,3.9760,0.0402,-1.3970,18.8530,34.7789,0.3634,False,,1.0000,0.0000,0.0000,,2.8815,110.4863,110.5239,,-0.9835,96.2987,96.3038
15:49:37,4.0160,0.0400,-1.3945,19.2439,35.1388,0.3634,False,,1.0000,0.0000,0.0000,,2.8790,109.4287,109.4666,,-0.9860,96.1361,96.1412
15:49:37,4.0564,0.0404,-1.3920,19.6387,35.4997,0.3634,False,,1.0000,0.0000,0.0000,,2.8765,108.3673,108.4054,,-0.9885,95.9679,95.9730
15:49:37,4.0963,0.0399,-1.3895,20.0374,35.8621,0.3634,False,,1.0000,0.0000,0.0000,,2.8740,107.3019,107.3404,,-0.9910,95.7957,95.8008
15:49:37,4.1379,0.0416,-1.3869,20.4399,36.2261,0.3634,False,,1.0000,0.0000,0.0000,,2.8714,106.2327,106.2716,,-0.9936,95.6196,95.6247
15:49:37,4.1786,0.0407,-1.3843,20.8463,36.5912,0.3634,False,,1.0000,0.0000,0.0000,,2.8689,105.1597,105.1988,,-0.9961,95.4402,95.4454
15:49:37,4.2172,0.0386,-1.3817,21.2566,36.9565,0.3634,False,,1.0000,0.0000,0.0000,,2.8663,104.0828,104.1223,,-0.9987,95.2560,95.2612
15:49:37,4.2575,0.0403,-1.3791,21.6707,37.3196,0.3634,False,,1.0000,0.0000,0.0000,,2.8636,103.0021,103.0419,,-1.0014,95.0665,95.0717
15:49:37,4.2989,0.0414,-1.3764,22.0886,37.6780,0.3634,False,,1.0000,0.0000,0.0000,,2.8610,101.9175,101.9576,,-1.0040,94.8741,94.8794
15:49:37,4.3385,0.0396,-1.3738,22.5103,38.0304,0.3634,False,,1.0000,0.0000,0.0000,,2.8583,100.8291,100.8696,,-1.0067,94.6782,94.6836
