Normal
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:36:54,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,,-0.8649,96.6533,96.6571
15:36:54,0.5436,0.1703,-1.4993,0.1940,2.2581,0.0344,False,,0.3061,0.0131,0.0000,,2.9979,186.1443,186.1684,,-0.8671,96.8534,96.8572
15:36:54,0.6187,0.0750,-1.4990,0.2351,2.5747,0.0429,False,,0.0000,0.0131,0.0000,,2.9972,185.1031,185.1274,,-0.8678,96.9394,96.9432
15:36:55,0.6605,0.0418,-1.4987,0.2813,2.8678,0.0586,False,,0.0000,0.0131,0.0000,,2.9962,184.0570,184.0814,,-0.8688,97.0335,97.0374
15:36:55,0.7041,0.0436,-1.4984,0.3148,3.0556,0.0673,False,,0.0000,0.0131,0.0000,,2.9956,183.3568,183.3813,,-0.8694,97.1008,97.1047
15:36:55,0.7441,0.0400,-1.4981,0.3504,3.2469,0.0771,False,,0.0000,0.0131,0.0000,,2.9949,182.6545,182.6791,,-0.8701,97.1718,97.1757
15:36:55,0.7895,0.0454,-1.4978,0.3881,3.4398,0.0884,False,,0.0000,0.0131,0.0000,,2.9941,181.9502,181.9748,,-0.8709,97.2465,97.2504
15:36:55,0.8368,0.0473,-1.4975,0.4280,3.6493,0.1009,False,,0.0000,0.0131,0.0000,,2.9932,181.2436,181.2683,,-0.8718,97.3247,97.3286
15:36:55,0.8822,0.0454,-1.4970,0.4920,3.9370,0.1189,False,,0.0000,0.0131,0.0000,,2.9919,180.1796,180.2045,,-0.8731,97.4483,97.4522
15:36:55,0.9278,0.0456,-1.4966,0.5374,4.1293,0.1323,False,,0.0000,0.0131,0.0000,,2.9909,179.4676,179.4926,,-0.8741,97.5349,97.5388
15:36:55,0.9681,0.0403,-1.4961,0.5849,4.3208,0.1463,False,,0.0000,0.0131,0.0000,,2.9899,178.7535,178.7785,,-0.8751,97.6246,97.6285
15:36:55,1.0038,0.0357,-1.4957,0.6345,4.5116,0.1608,False,,0.0000,0.0131,0.0000,,2.9888,178.0372,178.0623,,-0.8762,97.7179,97.7219
15:36:55,1.0406,0.0368,-1.4952,0.6862,4.7022,0.1758,False,,0.0000,0.0131,0.0000,,2.9877,177.3189,177.3440,,-0.8773,97.8146,97.8185
15:36:55,1.0760,0.0353,-1.4949,0.7128,4.7975,0.1836,False,,0.0000,0.0131,0.0000,,2.9871,176.9589,176.9841,,-0.8779,97.8642,97.8681
15:36:55,1.1124,0.0364,-1.4944,0.7677,4.9878,0.1996,False,,0.0000,0.0131,0.0000,,2.9859,176.2374,176.2627,,-0.8791,97.9659,97.9698
15:36:55,1.1492,0.0368,-1.4938,0.8247,5.1780,0.2161,False,,0.0000,0.0131,0.0000,,2.9846,175.5137,175.5391,,-0.8804,98.0703,98.0743
15:36:55,1.1864,0.0373,-1.4932,0.8838,5.3681,0.2333,False,,0.0000,0.0131,0.0000,,2.9833,174.7879,174.8134,,-0.8817,98.1786,98.1826
15:36:55,1.2218,0.0354,-1.4925,0.9450,5.5580,0.2511,False,,0.0000,0.0131,0.0000,,2.9819,174.0601,174.0856,,-0.8831,98.2901,98.2941
15:36:55,1.2576,0.0358,-1.4922,0.9765,5.6529,0.2602,False,,0.0000,0.0131,0.0000,,2.9811,173.6953,173.7209,,-0.8839,98.3465,98.3504
15:36:55,1.2911,0.0335,-1.4915,1.0408,5.8425,0.2788,False,,0.0000,0.0131,0.0000,,2.9796,172.9643,172.9900,,-0.8854,98.4616,98.4656
15:36:55,1.3264,0.0353,-1.4907,1.1073,6.0319,0.2981,False,,0.0000,0.0131,0.0000,,2.9780,172.2312,172.2569,,-0.8870,98.5811,98.5851
15:36:55,1.3637,0.0374,-1.4899,1.1759,6.2212,0.3180,False,,0.0000,0.0131,0.0000,,2.9764,171.4959,171.5217,,-0.8886,98.7034,98.7074
15:36:55,1.3992,0.0355,-1.4895,1.2110,6.3157,0.3281,False,,0.0000,0.0131,0.0000,,2.9755,171.1275,171.1534,,-0.8895,98.7659,98.7699
15:36:55,1.4335,0.0343,-1.4886,1.2828,6.5046,0.3489,False,,0.0000,0.0131,0.0000,,2.9738,170.3891,170.4151,,-0.8912,98.8932,98.8973
15:36:55,1.4708,0.0373,-1.4877,1.3566,6.6933,0.3702,False,,0.0000,0.0131,0.0000,,2.9719,169.6486,169.6747,,-0.8931,99.0238,99.0278
15:36:55,1.5088,0.0379,-1.4867,1.4325,6.8818,0.3922,False,,0.0000,0.0131,0.0000,,2.9700,168.9060,168.9321,,-0.8950,99.1576,99.1617
15:36:55,1.5464,0.0376,-1.4857,1.5095,6.9427,0.4141,False,,0.1443,0.0130,0.0000,,2.9681,168.1624,168.1886,,-0.8969,99.2957,99.2998
15:36:55,1.5833,0.0369,-1.4846,1.5875,7.0506,0.4357,False,,0.3110,0.0124,0.0000,,2.9661,167.4177,167.4440,,-0.8989,99.4368,99.4408
15:36:55,1.6216,0.0383,-1.4836,1.6673,7.2186,0.4567,False,,0.4629,0.0115,0.0000,,2.9641,166.6713,166.6977,,-0.9009,99.5821,99.5861
15:36:55,1.6596,0.0379,-1.4830,1.7079,7.3111,0.4668,False,,0.5000,0.0101,0.0000,,2.9632,166.2974,166.3238,,-0.9019,99.6562,99.6603
15:36:56,1.6996,0.0401,-1.4819,1.7910,7.5379,0.4855,False,,0.6106,0.0091,0.0000,,2.9613,165.5477,165.5741,,-0.9037,99.8057,99.8098
15:36:56,1.7396,0.0399,-1.4808,1.8771,7.8218,0.5028,False,,0.7626,0.0081,0.0000,,2.9594,164.7949,164.8215,,-0.9056,99.9570,99.9611
15:36:56,1.7801,0.0406,-1.4790,2.0128,8.3043,0.5275,False,,0.8508,0.0076,0.0000,,2.9566,163.6592,163.6859,,-0.9084,100.1879,100.1920
15:36:56,1.8178,0.0377,-1.4784,2.0598,8.4699,0.5357,False,,0.8753,0.0076,0.0000,,2.9556,163.2789,163.3056,,-0.9094,100.2654,100.2695
15:36:56,1.8541,0.0363,-1.4771,2.1566,8.7948,0.5525,False,,0.8508,0.0076,0.0000,,2.9537,162.5154,162.5423,,-0.9113,100.4218,100.4259
15:36:56,1.8904,0.0363,-1.4758,2.2570,9.1081,0.5697,False,,0.8214,0.0076,0.0000,,2.9516,161.7484,161.7754,,-0.9134,100.5776,100.5818
15:36:56,1.9259,0.0355,-1.4744,2.3606,9.4012,0.5873,False,,0.7675,0.0076,0.0000,,2.9494,160.9781,161.0052,,-0.9156,100.7291,100.7333
15:36:56,1.9621,0.0362,-1.4729,2.4674,9.6827,0.6055,False,,0.7430,0.0076,0.0000,,2.9471,160.2047,160.2318,,-0.9179,100.8760,100.8802
15:36:56,1.9994,0.0374,-1.4721,2.5220,9.8220,0.6147,False,,0.7381,0.0076,0.0000,,2.9460,159.8168,159.8440,,-0.9190,100.9474,100.9516
15:36:56,2.0364,0.0369,-1.4705,2.6334,10.0949,0.6335,False,,0.7233,0.0076,0.0000,,2.9436,159.0388,159.0660,,-0.9214,101.0871,101.0913
15:36:56,2.0720,0.0356,-1.4688,2.7477,10.3583,0.6528,False,,0.6988,0.0076,0.0000,,2.9411,158.2578,158.2851,,-0.9239,101.2234,101.2276
15:36:56,2.1098,0.0378,-1.4671,2.8649,10.6134,0.6725,False,,0.6792,0.0076,0.0000,,2.9385,157.4739,157.5013,,-0.9265,101.3549,101.3592
15:36:56,2.1459,0.0361,-1.4652,2.9849,10.8639,0.6927,False,,0.6694,0.0076,0.0000,,2.9358,156.6873,156.7148,,-0.9292,101.4829,101.4872
15:36:56,2.1833,0.0375,-1.4633,3.1077,11.1118,0.7130,False,,0.6645,0.0072,0.0000,,2.9330,155.8979,155.9255,,-0.9320,101.6099,101.6141
15:36:56,2.2222,0.0389,-1.4614,3.2332,11.3592,0.7326,False,,0.6645,0.0065,0.0000,,2.9302,155.1057,155.1334,,-0.9348,101.7320,101.7363
15:36:56,2.2612,0.0390,-1.4593,3.3614,11.6062,0.7507,False,,0.6645,0.0055,0.0000,,2.9274,154.3108,154.3386,,-0.9376,101.8511,101.8554
15:36:56,2.2973,0.0361,-1.4583,3.4266,11.7296,0.7590,False,,0.6645,0.0045,0.0000,,2.9260,153.9123,153.9401,,-0.9390,101.9091,101.9135
15:36:56,2.3338,0.0366,-1.4562,3.5590,11.9745,0.7738,False,,0.6596,0.0040,0.0000,,2.9233,153.1133,153.1412,,-0.9417,102.0220,102.0264
15:36:56,2.3710,0.0372,-1.4542,3.6940,12.2172,0.7868,False,,0.6547,0.0035,0.0000,,2.9207,152.3116,152.3396,,-0.9443,102.1311,102.1355
15:36:56,2.4085,0.0375,-1.4520,3.8318,12.4592,0.7982,False,,0.6547,0.0029,0.0000,,2.9181,151.5072,151.5353,,-0.9469,102.2360,102.2404
15:36:56,2.4449,0.0364,-1.4499,3.9722,12.7010,0.8083,False,,0.6547,0.0026,0.0000,,2.9155,150.7001,150.7283,,-0.9495,102.3376,102.3420
15:36:56,2.4820,0.0371,-1.4477,4.1153,12.9424,0.8171,False,,0.6547,0.0022,0.0000,,2.9129,149.8904,149.9187,,-0.9521,102.4352,102.4396
15:36:56,2.5196,0.0376,-1.4466,4.1879,13.0630,0.8211,False,,0.6547,0.0020,0.0000,,2.9116,149.4845,149.5128,,-0.9534,102.4826,102.4870
15:36:56,2.5558,0.0362,-1.4443,4.3350,13.3040,0.8286,False,,0.6547,0.0020,0.0000,,2.9091,148.6707,148.6992,,-0.9560,102.5749,102.5794
15:36:56,2.5936,0.0378,-1.4420,4.4848,13.5446,0.8357,False,,0.6547,0.0020,0.0000,,2.9064,147.8542,147.8828,,-0.9586,102.6657,102.6702
15:36:56,2.6289,0.0354,-1.4396,4.6373,13.7850,0.8427,False,,0.6547,0.0020,0.0000,,2.9038,147.0351,147.0638,,-0.9612,102.7530,102.7575
15:36:57,2.6651,0.0361,-1.4372,4.7924,14.0250,0.8497,False,,0.6547,0.0020,0.0000,,2.9011,146.2133,146.2421,,-0.9639,102.8361,102.8407
15:36:57,2.7017,0.0367,-1.4347,4.9503,14.2647,0.8566,False,,0.6547,0.0020,0.0000,,2.8983,145.3889,145.4177,,-0.9667,102.9156,102.9201
15:36:57,2.7393,0.0376,-1.4335,5.0302,14.3857,0.8601,False,,0.6645,0.0020,0.0000,,2.8969,144.9756,145.0046,,-0.9681,102.9539,102.9584
15:36:57,2.7749,0.0355,-1.4309,5.1920,14.6288,0.8672,False,,0.6645,0.0020,0.0000,,2.8940,144.1471,144.1762,,-0.9710,103.0292,103.0338
15:36:57,2.8101,0.0353,-1.4283,5.3566,14.8716,0.8746,False,,0.6645,0.0022,0.0000,,2.8911,143.3159,143.3451,,-0.9739,103.1008,103.1054
15:36:57,2.8471,0.0370,-1.4256,5.5238,15.1141,0.8827,False,,0.6645,0.0024,0.0000,,2.8880,142.4820,142.5113,,-0.9770,103.1690,103.1736
15:36:57,2.8839,0.0368,-1.4228,5.6937,15.3563,0.8917,False,,0.6645,0.0027,0.0000,,2.8848,141.6454,141.6748,,-0.9802,103.2336,103.2383
15:36:57,2.9221,0.0381,-1.4199,5.8663,15.5981,0.9015,False,,0.6645,0.0029,0.0000,,2.8815,140.8062,140.8357,,-0.9835,103.2965,103.3012
15:36:57,2.9588,0.0368,-1.4184,5.9537,15.7184,0.9067,False,,0.6596,0.0029,0.0000,,2.8799,140.3855,140.4151,,-0.9852,103.3270,103.3316
15:36:57,2.9937,0.0349,-1.4154,6.1303,15.9578,0.9175,False,,0.6596,0.0029,0.0000,,2.8764,139.5423,139.5719,,-0.9886,103.3840,103.3888
15:36:57,3.0306,0.0369,-1.4123,6.3096,16.1970,0.9286,False,,0.6596,0.0029,0.0000,,2.8728,138.6964,138.7261,,-0.9922,103.4393,103.4441
15:36:57,3.0670,0.0364,-1.4092,6.4915,16.4343,0.9397,False,,0.6547,0.0026,0.0000,,2.8692,137.8478,137.8777,,-0.9958,103.4922,103.4970
15:36:57,3.1035,0.0365,-1.4060,6.6760,16.6709,0.9495,False,,0.6547,0.0017,0.0000,,2.8656,136.9966,137.0266,,-0.9994,103.5396,103.5444
15:36:57,3.1410,0.0375,-1.4027,6.8632,16.9072,0.9570,False,,0.6547,0.0006,0.0000,,2.8620,136.1428,136.1729,,-1.0030,103.5871,103.5919
15:36:57,3.1769,0.0359,-1.4011,6.9578,17.0253,0.9594,False,,0.6547,-0.0006,0.0000,,2.8603,135.7149,135.7450,,-1.0047,103.6095,103.6144
15:36:57,3.2139,0.0370,-1.3979,7.1489,17.2611,0.9599,False,,0.6547,-0.0022,0.0000,,2.8571,134.8571,134.8874,,-1.0079,103.6498,103.6547
15:36:57,3.2501,0.0362,-1.3948,7.3426,17.4951,0.9551,False,,0.6498,-0.0034,0.0000,,2.8542,133.9967,134.0271,,-1.0108,103.6869,103.6918
15:36:57,3.2868,0.0367,-1.3918,7.5389,17.7284,0.9457,False,,0.6498,-0.0039,0.0000,,2.8515,133.1338,133.1643,,-1.0135,103.7209,103.7258
15:36:57,3.3236,0.0368,-1.3887,7.7378,17.9599,0.9331,False,,0.6449,-0.0040,0.0000,,2.8490,132.2682,132.2989,,-1.0160,103.7539,103.7589
15:36:57,3.3598,0.0362,-1.3872,7.8382,18.0748,0.9260,False,,0.6400,-0.0040,0.0000,,2.8478,131.8345,131.8652,,-1.0172,103.7690,103.7740
15:36:57,3.3968,0.0370,-1.3843,8.0408,18.2247,0.9105,False,,0.6302,-0.0040,0.0000,,2.8455,130.9653,130.9962,,-1.0195,103.7968,103.8018
15:36:57,3.4330,0.0362,-1.3813,8.2454,18.3182,0.8939,False,,0.6302,-0.0040,0.0000,,2.8433,130.0939,130.1250,,-1.0217,103.8212,103.8263
15:36:57,3.4692,0.0361,-1.3784,8.4525,18.5254,0.8769,False,,0.6302,-0.0040,0.0000,,2.8411,129.2202,129.2514,,-1.0239,103.8451,103.8502
15:36:57,3.5056,0.0364,-1.3755,8.6621,18.5463,0.8587,False,,0.6302,-0.0040,0.0000,,2.8390,128.3439,128.3753,,-1.0260,103.8656,103.8707
15:36:57,3.5403,0.0347,-1.3726,8.8761,19.1621,0.8409,False,,0.6302,-0.0040,0.0000,,2.8368,127.4632,127.4948,,-1.0282,103.8810,103.8861
15:36:57,3.5755,0.0352,-1.3712,8.9838,19.3850,0.8305,False,,0.6302,-0.0040,0.0000,,2.8359,127.0222,127.0538,,-1.0292,103.8885,103.8936
15:36:57,3.6116,0.0361,-1.3684,9.2004,19.6954,0.8120,False,,0.6302,-0.0038,0.0000,,2.8338,126.1389,126.1707,,-1.0312,103.9024,103.9075
15:36:57,3.6478,0.0362,-1.3656,9.4188,20.0211,0.7933,False,,0.6351,-0.0037,0.0000,,2.8318,125.2538,125.2858,,-1.0332,103.9114,103.9165
15:36:58,3.6851,0.0373,-1.3628,9.6405,20.2757,0.7701,False,,0.6351,-0.0037,0.0000,,2.8300,124.3655,124.3977,,-1.0350,103.9195,103.9246
15:36:58,3.7240,0.0390,-1.3601,9.8634,20.4781,0.7670,False,,0.6351,-0.0037,0.0000,,2.8274,123.4759,123.5083,,-1.0376,103.9259,103.9311
15:36:58,3.7615,0.0375,-1.3574,10.0897,20.7085,0.7577,False,,0.6351,-0.0034,0.0000,,2.8251,122.5830,122.6155,,-1.0399,103.9275,103.9327
15:36:58,3.7974,0.0358,-1.3560,10.2010,20.0350,0.7434,False,,0.6351,-0.0030,0.0000,,2.8244,122.1383,122.1710,,-1.0406,103.9308,103.9360
15:36:58,3.8337,0.0363,-1.3533,10.4305,20.4092,0.7135,False,,0.6351,-0.0028,0.0000,,2.8230,121.2422,121.2751,,-1.0420,103.9307,103.9359
15:36:58,3.8716,0.0379,-1.3506,10.6626,20.5888,0.6833,False,,0.6351,-0.0027,0.0000,,2.8216,120.3434,120.3764,,-1.0434,103.9262,103.9314
15:36:58,3.9076,0.0360,-1.3480,10.8974,20.8802,0.6777,False,,0.6351,-0.0027,0.0000,,2.8192,119.4420,119.4753,,-1.0458,103.9187,103.9239
15:36:58,3.9429,0.0353,-1.3454,11.1349,21.0903,0.6679,False,,0.6351,-0.0027,0.0000,,2.8170,118.5378,118.5713,,-1.0480,103.9100,103.9153
