Normal
2023”N10ŒŽ31“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Stopped Bicycle,dX,dZ,Distance
15:18:22,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,-0.8649,21.4157,21.4331
15:18:23,0.5368,0.1635,-1.4995,0.1838,2.3415,0.0235,False,,0.3649,0.0115,0.0000,,-0.8665,21.3233,21.3409
15:18:23,0.6362,0.0994,-1.4990,0.2563,2.8115,0.0449,False,,0.5000,0.0115,0.0000,,-0.8679,21.2508,21.2685
15:18:23,0.6824,0.0463,-1.4986,0.3094,3.3805,0.0586,False,,1.0000,0.0114,0.0000,,-0.8689,21.1977,21.2155
15:18:23,0.7243,0.0418,-1.4983,0.3502,3.7710,0.0696,False,,1.0000,0.0114,0.0000,,-0.8696,21.1569,21.1747
15:18:23,0.7640,0.0397,-1.4980,0.3954,4.1582,0.0817,False,,1.0000,0.0114,0.0000,,-0.8705,21.1118,21.1297
15:18:23,0.8008,0.0368,-1.4976,0.4448,4.5453,0.0950,False,,1.0000,0.0115,0.0000,,-0.8714,21.0623,21.0804
15:18:23,0.8422,0.0414,-1.4972,0.4985,4.9319,0.1094,False,,1.0000,0.0115,0.0000,,-0.8724,21.0086,21.0267
15:18:23,0.8844,0.0422,-1.4968,0.5565,5.3182,0.1248,False,,1.0000,0.0114,0.0000,,-0.8736,20.9506,20.9688
15:18:23,0.9246,0.0402,-1.4962,0.6188,5.7041,0.1412,False,,1.0000,0.0114,0.0000,,-0.8748,20.8883,20.9066
15:18:23,0.9647,0.0401,-1.4957,0.6854,6.0895,0.1586,False,,1.0000,0.0112,0.0000,,-0.8761,20.8217,20.8401
15:18:23,1.0037,0.0390,-1.4951,0.7563,6.4745,0.1770,False,,1.0000,0.0112,0.0000,,-0.8775,20.7509,20.7694
15:18:23,1.0452,0.0415,-1.4944,0.8314,6.8590,0.1961,False,,1.0000,0.0109,0.0000,,-0.8789,20.6757,20.6944
15:18:23,1.0869,0.0417,-1.4937,0.9108,7.2431,0.2152,False,,1.0000,0.0099,0.0000,,-0.8804,20.5963,20.6151
15:18:23,1.1267,0.0397,-1.4930,0.9945,7.6266,0.2322,False,,1.0000,0.0074,0.0000,,-0.8819,20.5127,20.5316
15:18:23,1.1672,0.0405,-1.4924,1.0824,8.0097,0.2438,False,,1.0000,0.0029,0.0000,,-0.8830,20.4247,20.4438
15:18:23,1.2042,0.0370,-1.4919,1.1746,8.3922,0.2467,False,,1.0000,-0.0027,0.0000,,-0.8836,20.3325,20.3517
15:18:23,1.2442,0.0400,-1.4916,1.2710,8.7742,0.2405,False,,1.0000,-0.0066,0.0000,,-0.8836,20.2361,20.2554
15:18:23,1.2830,0.0389,-1.4915,1.3717,9.1557,0.2275,False,,1.0000,-0.0081,0.0000,,-0.8832,20.1354,20.1548
15:18:23,1.3232,0.0402,-1.4914,1.4766,9.5369,0.2109,False,,1.0000,-0.0079,0.0000,,-0.8825,20.0305,20.0500
15:18:23,1.3610,0.0377,-1.4914,1.5858,9.9175,0.1944,False,,1.0000,-0.0061,0.0000,,-0.8819,19.9214,19.9409
15:18:23,1.4034,0.0424,-1.4913,1.6991,10.2977,0.1811,False,,1.0000,-0.0033,0.0000,,-0.8814,19.8080,19.8276
15:18:23,1.4435,0.0402,-1.4911,1.8167,10.6773,0.1732,False,,1.0000,-0.0004,0.0000,,-0.8813,19.6904,19.7102
15:18:24,1.4828,0.0393,-1.4908,1.9385,11.0565,0.1715,False,,1.0000,0.0021,0.0000,,-0.8815,19.5687,19.5885
15:18:24,1.5227,0.0399,-1.4903,2.0645,11.4352,0.1752,False,,1.0000,0.0034,0.0000,,-0.8822,19.4427,19.4627
15:18:24,1.5619,0.0392,-1.4897,2.1947,11.8134,0.1825,False,,1.0000,0.0037,0.0000,,-0.8830,19.3124,19.3326
15:18:24,1.6010,0.0391,-1.4891,2.3291,12.1911,0.1918,False,,1.0000,0.0037,0.0000,,-0.8840,19.1780,19.1984
15:18:24,1.6397,0.0387,-1.4888,2.3979,12.3797,0.1969,False,,1.0000,0.0037,0.0000,,-0.8846,19.1093,19.1297
15:18:24,1.6786,0.0389,-1.4881,2.5386,12.7567,0.2079,False,,1.0000,0.0037,0.0000,,-0.8858,18.9686,18.9892
15:18:24,1.7210,0.0423,-1.4869,2.7575,13.3213,0.2257,False,,1.0000,0.0037,0.0000,,-0.8877,18.7497,18.7707
15:18:24,1.7597,0.0388,-1.4865,2.8325,13.5092,0.2319,False,,1.0000,0.0037,0.0000,,-0.8884,18.6747,18.6958
15:18:24,1.7980,0.0383,-1.4856,2.9858,13.8847,0.2446,False,,1.0000,0.0037,0.0000,,-0.8898,18.5214,18.5428
15:18:24,1.8367,0.0387,-1.4847,3.1432,14.2597,0.2581,False,,1.0000,0.0040,0.0000,,-0.8913,18.3640,18.3857
15:18:24,1.8754,0.0388,-1.4836,3.3047,14.6343,0.2733,False,,1.0000,0.0048,0.0000,,-0.8930,18.2025,18.2244
15:18:24,1.9146,0.0391,-1.4825,3.4704,15.0084,0.2905,False,,1.0000,0.0053,0.0000,,-0.8949,18.0368,18.0590
15:18:24,1.9549,0.0404,-1.4813,3.6403,15.3819,0.3095,False,,1.0000,0.0055,0.0000,,-0.8969,17.8669,17.8894
15:18:24,1.9947,0.0397,-1.4799,3.8143,15.7550,0.3310,False,,1.0000,0.0063,0.0000,,-0.8992,17.6929,17.7157
15:18:24,2.0351,0.0404,-1.4784,3.9924,16.1224,0.3561,False,,0.9831,0.0076,0.0000,,-0.9018,17.5148,17.5380
15:18:24,2.0765,0.0414,-1.4767,4.1743,16.4500,0.3863,False,,0.8606,0.0094,0.0000,,-0.9048,17.3329,17.3565
15:18:24,2.1146,0.0381,-1.4747,4.3594,16.7290,0.4229,False,,0.7381,0.0115,0.0000,,-0.9083,17.1478,17.1718
15:18:24,2.1563,0.0417,-1.4725,4.5473,16.9640,0.4666,False,,0.6302,0.0133,0.0000,,-0.9124,16.9600,16.9845
15:18:24,2.1960,0.0397,-1.4700,4.7374,17.1593,0.5176,False,,0.5322,0.0151,0.0000,,-0.9171,16.7699,16.7949
15:18:24,2.2384,0.0423,-1.4671,4.9295,17.3367,0.5754,False,,0.5000,0.0164,0.0000,,-0.9224,16.5778,16.6034
15:18:24,2.2792,0.0408,-1.4640,5.1236,17.5114,0.6385,False,,0.5000,0.0166,0.0000,,-0.9282,16.3837,16.4100
15:18:24,2.3175,0.0383,-1.4606,5.3196,17.6859,0.7051,False,,0.5000,0.0166,0.0000,,-0.9344,16.1878,16.2147
15:18:24,2.3581,0.0406,-1.4569,5.5175,17.8601,0.7741,False,,0.5000,0.0166,0.0000,,-0.7892,15.9974,16.0168
15:18:24,2.3995,0.0414,-1.4529,5.7174,18.0342,0.8448,False,,0.5000,0.0166,0.0000,,-0.7598,15.7991,15.8174
15:18:24,2.4415,0.0420,-1.4464,6.0212,18.3959,0.9538,False,,0.4972,0.0166,0.0000,,-0.7158,15.4976,15.5141
15:18:25,2.4841,0.0427,-1.4418,6.2254,18.5889,1.0272,False,,0.4972,0.0159,0.0000,,-0.5609,15.3004,15.3107
