NormalFrameMask
2023”N11ŒŽ24“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:02:40,0.3733,0.3333,0.0000,0.0915,1.7313,0.0007,False,,0.0000,0.0000,0.0000,,1.5000,192.2465,192.2523,,-1.8650,96.6532,96.6712
15:02:41,0.6236,0.2502,-0.0009,0.2353,2.1798,-0.0790,False,,0.1737,-0.0124,0.0000,,1.5043,189.9360,189.9420,,-1.8607,96.9844,97.0023
15:02:41,0.7183,0.0947,-0.0014,0.2871,2.4464,-0.0905,False,,0.3306,-0.0139,0.0000,,1.5052,189.2174,189.2234,,-1.8598,97.1273,97.1451
15:02:41,0.7718,0.0535,-0.0018,0.3302,2.6644,-0.1078,False,,0.4041,-0.0151,0.0000,,1.5064,188.6744,188.6804,,-1.8587,97.2462,97.2640
15:02:41,0.8230,0.0513,-0.0022,0.3774,2.9253,-0.1298,False,,0.4237,-0.0154,0.0000,,1.5077,188.1272,188.1332,,-1.8573,97.3734,97.3911
15:02:41,0.8717,0.0487,-0.0026,0.4113,3.0911,-0.1414,False,,0.4384,-0.0156,0.0000,,1.5086,187.7599,187.7660,,-1.8564,97.4629,97.4806
15:02:41,0.9187,0.0470,-0.0029,0.4470,3.2580,-0.1561,False,,0.4629,-0.0157,0.0000,,1.5096,187.3908,187.3969,,-1.8554,97.5558,97.5735
15:02:41,0.9674,0.0487,-0.0036,0.5045,3.5375,-0.1797,False,,0.4874,-0.0157,0.0000,,1.5112,186.8334,186.8395,,-1.8538,97.7018,97.7194
15:02:41,1.0186,0.0512,-0.0040,0.5455,3.7416,-0.1942,False,,0.5000,-0.0157,0.0000,,1.5123,186.4590,186.4651,,-1.8527,97.8033,97.8209
15:02:41,1.0621,0.0435,-0.0048,0.6111,4.0331,-0.2173,False,,0.5000,-0.0157,0.0000,,1.5140,185.8934,185.8996,,-1.8510,97.9619,97.9794
15:02:41,1.1030,0.0409,-0.0053,0.6575,4.2239,-0.2337,False,,0.5000,-0.0157,0.0000,,1.5153,185.5137,185.5199,,-1.8497,98.0718,98.0892
15:02:41,1.1456,0.0426,-0.0059,0.7060,4.4147,-0.2507,False,,0.5000,-0.0157,0.0000,,1.5166,185.1318,185.1380,,-1.8484,98.1841,98.2015
15:02:41,1.1859,0.0402,-0.0065,0.7567,4.6054,-0.2684,False,,0.5000,-0.0157,0.0000,,1.5180,184.7478,184.7541,,-1.8470,98.3007,98.3181
15:02:41,1.2272,0.0414,-0.0072,0.8094,4.7959,-0.2867,False,,0.5000,-0.0154,0.0000,,1.5194,184.3617,184.3680,,-1.8456,98.4203,98.4376
15:02:41,1.2701,0.0429,-0.0079,0.8643,4.9862,-0.3055,False,,0.5000,-0.0153,0.0000,,1.5209,183.9735,183.9798,,-1.8441,98.5435,98.5607
15:02:41,1.3126,0.0425,-0.0087,0.9213,5.1765,-0.3248,False,,0.5000,-0.0151,0.0000,,1.5225,183.5832,183.5895,,-1.8425,98.6699,98.6871
15:02:41,1.3541,0.0414,-0.0094,0.9804,5.3665,-0.3444,False,,0.5000,-0.0148,0.0000,,1.5241,183.1908,183.1971,,-1.8409,98.7996,98.8168
15:02:41,1.3933,0.0392,-0.0103,1.0416,5.5564,-0.3644,False,,0.5000,-0.0145,0.0000,,1.5258,182.7962,182.8026,,-1.8392,98.9326,98.9497
15:02:41,1.4337,0.0404,-0.0111,1.1049,5.7462,-0.3846,False,,0.5000,-0.0142,0.0000,,1.5275,182.3996,182.4060,,-1.8375,99.0690,99.0860
15:02:41,1.4746,0.0409,-0.0120,1.1703,5.9357,-0.4050,False,,0.5000,-0.0139,0.0000,,1.5293,182.0008,182.0072,,-1.8357,99.2085,99.2255
15:02:41,1.5135,0.0390,-0.0130,1.2378,6.1251,-0.4257,False,,0.5000,-0.0136,0.0000,,1.5311,181.6000,181.6064,,-1.8339,99.3514,99.3683
15:02:41,1.5562,0.0426,-0.0140,1.3075,6.3142,-0.4466,False,,0.5000,-0.0134,0.0000,,1.5330,181.1970,181.2035,,-1.8320,99.4974,99.5143
15:02:41,1.5953,0.0391,-0.0150,1.3792,6.5031,-0.4679,False,,0.5000,-0.0133,0.0000,,1.5349,180.7919,180.7985,,-1.8301,99.6453,99.6621
15:02:42,1.6361,0.0408,-0.0161,1.4530,6.6918,-0.4897,False,,0.5000,-0.0133,0.0000,,1.5369,180.3848,180.3913,,-1.8281,99.7952,99.8119
15:02:42,1.6770,0.0409,-0.0173,1.5289,6.8803,-0.5120,False,,0.5000,-0.0133,0.0000,,1.5390,179.9755,179.9821,,-1.8260,99.9489,99.9656
15:02:42,1.7166,0.0397,-0.0185,1.6069,7.0685,-0.5349,False,,0.5000,-0.0133,0.0000,,1.5412,179.5642,179.5708,,-1.8238,100.1074,100.1240
