NormalFrameMask
2023”N11ŒŽ24“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:13:01,0.3733,0.3333,0.0000,0.0915,1.7313,0.0007,False,,0.0000,0.0000,0.0000,,1.5000,192.2465,192.2523,,-1.8650,96.6532,96.6712
15:13:01,0.6106,0.2372,-0.0001,0.2293,2.3100,-0.0032,False,,0.2570,-0.0012,0.0000,,1.5002,190.1087,190.1146,,-1.8648,96.9451,96.9631
15:13:01,0.6762,0.0657,-0.0001,0.2694,2.4596,-0.0038,False,,0.2570,-0.0012,0.0000,,1.5003,189.5685,189.5744,,-1.8647,97.0451,97.0630
15:13:01,0.7216,0.0454,-0.0001,0.3123,2.6149,-0.0047,False,,0.2570,-0.0012,0.0000,,1.5003,189.0256,189.0316,,-1.8647,97.1548,97.1727
15:13:01,0.7698,0.0482,-0.0002,0.3426,2.7486,-0.0036,False,,0.2570,-0.0012,0.0000,,1.5003,188.6620,188.6679,,-1.8647,97.2338,97.2517
15:13:01,0.8100,0.0402,-0.0002,0.3739,2.8533,-0.0078,False,,0.2570,-0.0012,0.0000,,1.5005,188.2973,188.3033,,-1.8645,97.3173,97.3352
15:13:01,0.8508,0.0408,-0.0002,0.4064,2.9552,-0.0089,False,,0.2570,-0.0012,0.0000,,1.5006,187.9315,187.9375,,-1.8644,97.4054,97.4232
15:13:01,0.8981,0.0473,-0.0002,0.4399,3.0364,-0.0061,False,,0.2570,-0.0012,0.0000,,1.5005,187.5647,187.5706,,-1.8645,97.4981,97.5159
15:13:01,0.9393,0.0412,-0.0003,0.4743,3.1248,-0.0097,False,,0.2570,-0.0012,0.0000,,1.5007,187.1969,187.2029,,-1.8643,97.5951,97.6129
15:13:01,0.9805,0.0412,-0.0003,0.5280,3.2604,-0.0145,False,,0.2570,-0.0012,0.0000,,1.5009,186.6432,186.6492,,-1.8641,97.7489,97.7666
15:13:01,1.0312,0.0506,-0.0003,0.5651,3.3622,-0.0160,False,,0.2570,-0.0012,0.0000,,1.5010,186.2728,186.2788,,-1.8640,97.8570,97.8748
15:13:01,1.0771,0.0459,-0.0004,0.6034,3.4766,-0.0199,False,,0.2570,-0.0012,0.0000,,1.5012,185.9011,185.9072,,-1.8638,97.9696,97.9873
15:13:01,1.1192,0.0421,-0.0004,0.6428,3.5773,-0.0191,False,,0.2570,-0.0012,0.0000,,1.5012,185.5284,185.5344,,-1.8638,98.0865,98.1042
15:13:01,1.1591,0.0399,-0.0004,0.6833,3.6724,-0.0226,False,,0.2570,-0.0012,0.0000,,1.5014,185.1545,185.1606,,-1.8636,98.2068,98.2245
15:13:01,1.2000,0.0409,-0.0005,0.7248,3.7693,-0.0222,False,,0.2570,-0.0012,0.0000,,1.5014,184.7796,184.7858,,-1.8636,98.3325,98.3502
15:13:02,1.2416,0.0416,-0.0006,0.7893,3.9174,-0.0244,False,,0.2619,-0.0012,0.0000,,1.5016,184.2152,184.2213,,-1.8634,98.5287,98.5463
15:13:02,1.2854,0.0438,-0.0006,0.8337,4.0277,-0.0257,False,,0.2865,-0.0012,0.0000,,1.5017,183.8374,183.8435,,-1.8633,98.6650,98.6826
15:13:02,1.3292,0.0438,-0.0007,0.8795,4.1511,-0.0277,False,,0.3208,-0.0012,0.0000,,1.5018,183.4583,183.4644,,-1.8632,98.8053,98.8229
15:13:02,1.3716,0.0424,-0.0007,0.9267,4.2877,-0.0290,False,,0.3600,-0.0012,0.0000,,1.5019,183.0777,183.0839,,-1.8631,98.9496,98.9672
15:13:02,1.4124,0.0408,-0.0008,0.9756,4.4346,-0.0304,False,,0.3894,-0.0012,0.0000,,1.5021,182.6955,182.7017,,-1.8629,99.0977,99.1152
15:13:02,1.4545,0.0421,-0.0008,1.0261,4.5906,-0.0318,False,,0.4139,-0.0012,0.0000,,1.5022,182.3116,182.3178,,-1.8628,99.2494,99.2669
