NormalFrameMask
2023”N11ŒŽ24“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:31:02,0.3733,0.3333,0.0000,0.0915,1.7313,0.0007,False,,0.0000,0.0000,0.0000,,1.5000,192.2465,192.2523,,-1.8650,96.6532,96.6712
15:31:02,0.5846,0.2113,0.0000,0.2344,2.8179,-0.0024,False,,0.0000,-0.0006,0.0000,,1.5001,190.2702,190.2761,,-1.8649,96.8963,96.9143
15:31:02,0.6590,0.0743,-0.0001,0.2847,3.1079,-0.0037,False,,0.0000,-0.0006,0.0000,,1.5002,189.7199,189.7258,,-1.8648,96.9817,96.9996
15:31:02,0.7124,0.0534,-0.0001,0.3396,3.3919,-0.0072,False,,0.0000,-0.0006,0.0000,,1.5004,189.1649,189.1709,,-1.8646,97.0748,97.0927
15:31:02,0.7538,0.0414,-0.0001,0.3790,3.5975,-0.0094,False,,0.0000,-0.0006,0.0000,,1.5005,188.7922,188.7982,,-1.8645,97.1421,97.1600
15:31:02,0.7908,0.0369,-0.0001,0.4206,3.7908,-0.0096,False,,0.0000,-0.0006,0.0000,,1.5005,188.4173,188.4233,,-1.8645,97.2125,97.2304
15:31:02,0.8310,0.0402,-0.0001,0.4644,3.9867,-0.0104,False,,0.0000,-0.0006,0.0000,,1.5006,188.0402,188.0462,,-1.8644,97.2864,97.3043
15:31:02,0.8703,0.0393,-0.0002,0.5103,4.1780,-0.0111,False,,0.0000,-0.0006,0.0000,,1.5006,187.6609,187.6669,,-1.8644,97.3639,97.3818
15:31:02,0.9081,0.0378,-0.0002,0.5583,4.3689,-0.0118,False,,0.0000,-0.0006,0.0000,,1.5007,187.2796,187.2856,,-1.8643,97.4446,97.4624
15:31:02,0.9442,0.0361,-0.0002,0.6084,4.5597,-0.0125,False,,0.0000,-0.0006,0.0000,,1.5007,186.8961,186.9021,,-1.8643,97.5288,97.5466
15:31:02,0.9801,0.0358,-0.0002,0.6607,4.7502,-0.0132,False,,0.0000,-0.0006,0.0000,,1.5008,186.5105,186.5166,,-1.8642,97.6162,97.6340
15:31:02,1.0126,0.0326,-0.0002,0.6876,4.8454,-0.0136,False,,0.0000,-0.0006,0.0000,,1.5008,186.3169,186.3230,,-1.8642,97.6612,97.6790
15:31:02,1.0490,0.0363,-0.0003,0.7430,5.0357,-0.0143,False,,0.0000,-0.0006,0.0000,,1.5009,185.9282,185.9342,,-1.8641,97.7538,97.7716
15:31:02,1.0872,0.0382,-0.0003,0.8006,5.2259,-0.0151,False,,0.0000,-0.0006,0.0000,,1.5010,185.5373,185.5434,,-1.8640,97.8500,97.8678
15:31:02,1.1259,0.0387,-0.0003,0.8602,5.4159,-0.0160,False,,0.0000,-0.0006,0.0000,,1.5010,185.1443,185.1504,,-1.8640,97.9484,97.9662
15:31:02,1.1626,0.0367,-0.0004,0.9220,5.6058,-0.0168,False,,0.0000,-0.0006,0.0000,,1.5011,184.7492,184.7553,,-1.8639,98.0513,98.0690
15:31:02,1.1991,0.0364,-0.0004,0.9536,5.7006,-0.0172,False,,0.0000,-0.0006,0.0000,,1.5011,184.5508,184.5569,,-1.8639,98.1038,98.1215
15:31:02,1.2376,0.0385,-0.0004,1.0186,5.8902,-0.0181,False,,0.0000,-0.0006,0.0000,,1.5012,184.1526,184.1587,,-1.8638,98.2112,98.2289
15:31:03,1.2761,0.0385,-0.0005,1.0856,6.0796,-0.0191,False,,0.0000,-0.0006,0.0000,,1.5013,183.7522,183.7583,,-1.8637,98.3222,98.3398
