NormalFrameMask
2023”N11ŒŽ24“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:56:22,0.3733,0.3333,0.0000,0.0915,1.7313,0.0007,False,,0.0000,0.0000,0.0000,,1.5000,192.2465,192.2523,,-1.8650,96.6532,96.6712
15:56:22,0.6269,0.2536,0.0000,0.2674,3.0175,-0.0028,False,,0.0000,-0.0006,0.0000,,1.5002,189.9038,189.9098,,-1.8648,96.9523,96.9702
15:56:22,0.7023,0.0753,-0.0001,0.3396,3.3919,-0.0072,False,,0.0000,-0.0006,0.0000,,1.5004,189.1649,189.1709,,-1.8646,97.0748,97.0927
15:56:22,0.7501,0.0479,-0.0001,0.3790,3.5975,-0.0094,False,,0.0000,-0.0006,0.0000,,1.5005,188.7922,188.7982,,-1.8645,97.1421,97.1600
15:56:22,0.7965,0.0464,-0.0001,0.4206,3.7908,-0.0096,False,,0.0000,-0.0006,0.0000,,1.5005,188.4173,188.4233,,-1.8645,97.2125,97.2304
15:56:22,0.8469,0.0504,-0.0001,0.4871,4.0822,-0.0107,False,,0.0000,-0.0006,0.0000,,1.5006,187.8508,187.8568,,-1.8644,97.3247,97.3426
15:56:22,0.8968,0.0499,-0.0002,0.5340,4.2735,-0.0114,False,,0.0000,-0.0006,0.0000,,1.5007,187.4705,187.4765,,-1.8644,97.4040,97.4218
15:56:22,0.9451,0.0482,-0.0002,0.6084,4.5597,-0.0125,False,,0.0000,-0.0006,0.0000,,1.5007,186.8961,186.9021,,-1.8643,97.5288,97.5466
15:56:22,0.9917,0.0467,-0.0002,0.6607,4.7502,-0.0132,False,,0.0000,-0.0006,0.0000,,1.5008,186.5105,186.5166,,-1.8642,97.6162,97.6340
15:56:22,1.0354,0.0436,-0.0003,0.7150,4.9406,-0.0139,False,,0.0000,-0.0006,0.0000,,1.5009,186.1228,186.1289,,-1.8641,97.7071,97.7248
15:56:23,1.0774,0.0421,-0.0003,0.7715,5.1308,-0.0147,False,,0.0000,-0.0006,0.0000,,1.5009,185.7330,185.7390,,-1.8641,97.8015,97.8193
15:56:23,1.1212,0.0438,-0.0003,0.8602,5.4159,-0.0160,False,,0.0000,-0.0006,0.0000,,1.5010,185.1443,185.1504,,-1.8640,97.9484,97.9662
15:56:23,1.1651,0.0439,-0.0004,0.9220,5.6058,-0.0168,False,,0.0000,-0.0006,0.0000,,1.5011,184.7492,184.7553,,-1.8639,98.0513,98.0690
15:56:23,1.2079,0.0428,-0.0004,0.9858,5.7954,-0.0177,False,,0.0000,-0.0006,0.0000,,1.5012,184.3520,184.3581,,-1.8638,98.1570,98.1747
15:56:23,1.2531,0.0451,-0.0005,1.0504,5.8075,-0.0186,False,,0.0119,-0.0006,0.0000,,1.5012,183.9541,183.9602,,-1.8638,98.2677,98.2854
15:56:23,1.2954,0.0423,-0.0005,1.1150,5.8191,-0.0194,False,,0.0512,-0.0006,0.0000,,1.5013,183.5561,183.5623,,-1.8637,98.3838,98.4014
15:56:23,1.3396,0.0443,-0.0005,1.1799,5.8445,-0.0203,False,,0.0855,-0.0006,0.0000,,1.5014,183.1579,183.1641,,-1.8636,98.5050,98.5226
15:56:23,1.3829,0.0433,-0.0006,1.2777,5.8869,-0.0216,False,,0.0904,-0.0006,0.0000,,1.5015,182.5600,182.5662,,-1.8635,98.6965,98.7140
15:56:23,1.4306,0.0477,-0.0006,1.3434,5.9169,-0.0225,False,,0.0953,-0.0006,0.0000,,1.5016,182.1610,182.1672,,-1.8634,98.8304,98.8480
15:56:23,1.4743,0.0437,-0.0007,1.4094,5.9489,-0.0233,False,,0.1002,-0.0006,0.0000,,1.5017,181.7617,181.7679,,-1.8633,98.9694,98.9869
15:56:23,1.5176,0.0433,-0.0007,1.4758,5.9828,-0.0242,False,,0.1051,-0.0006,0.0000,,1.5018,181.3619,181.3681,,-1.8632,99.1134,99.1309
15:56:23,1.5613,0.0437,-0.0008,1.5761,6.0364,-0.0259,False,,0.1100,-0.0009,0.0000,,1.5019,180.7616,180.7679,,-1.8631,99.3381,99.3556
15:56:23,1.6040,0.0427,-0.0009,1.6435,6.0723,-0.0271,False,,0.1100,-0.0009,0.0000,,1.5020,180.3609,180.3672,,-1.8630,99.4928,99.5103
15:56:23,1.6472,0.0432,-0.0009,1.7112,6.1081,-0.0284,False,,0.1100,-0.0009,0.0000,,1.5021,179.9598,179.9661,,-1.8628,99.6502,99.6677
15:56:23,1.6905,0.0433,-0.0010,1.7794,6.1438,-0.0297,False,,0.1100,-0.0010,0.0000,,1.5023,179.5583,179.5646,,-1.8627,99.8164,99.8338
15:56:23,1.7338,0.0433,-0.0011,1.8480,6.1795,-0.0313,False,,0.1100,-0.0012,0.0000,,1.5024,179.1564,179.1627,,-1.8626,99.9858,100.0031
15:56:23,1.7777,0.0439,-0.0012,1.9169,6.2151,-0.0332,False,,0.1100,-0.0014,0.0000,,1.5026,178.7541,178.7604,,-1.8624,100.1596,100.1769
15:56:23,1.8273,0.0496,-0.0013,2.0211,6.2685,-0.0367,False,,0.1100,-0.0017,0.0000,,1.5029,178.1499,178.1562,,-1.8621,100.4238,100.4411
15:56:23,1.8716,0.0443,-0.0014,2.0911,6.3058,-0.0395,False,,0.1149,-0.0022,0.0000,,1.5031,177.7466,177.7529,,-1.8619,100.6081,100.6254
15:56:23,1.9165,0.0449,-0.0015,2.1615,6.3486,-0.0427,False,,0.1296,-0.0022,0.0000,,1.5033,177.3428,177.3492,,-1.8617,100.7995,100.8167
15:56:23,1.9612,0.0447,-0.0017,2.2681,6.4215,-0.0477,False,,0.1443,-0.0022,0.0000,,1.5037,176.7362,176.7426,,-1.8613,101.0739,101.0911
15:56:23,2.0041,0.0429,-0.0019,2.3399,6.4810,-0.0511,False,,0.1737,-0.0022,0.0000,,1.5040,176.3310,176.3374,,-1.8610,101.2547,101.2718
15:56:23,2.0469,0.0428,-0.0020,2.4125,6.5538,-0.0546,False,,0.2080,-0.0022,0.0000,,1.5043,175.9250,175.9315,,-1.8607,101.4354,101.4525
15:56:24,2.0907,0.0437,-0.0021,2.4860,6.6311,-0.0582,False,,0.2178,-0.0022,0.0000,,1.5046,175.5182,175.5247,,-1.8604,101.6147,101.6317
15:56:24,2.1338,0.0432,-0.0023,2.5604,6.7104,-0.0618,False,,0.2227,-0.0022,0.0000,,1.5049,175.1105,175.1170,,-1.8601,101.7916,101.8086
15:56:24,2.1789,0.0451,-0.0025,2.6356,6.7898,-0.0654,False,,0.2227,-0.0022,0.0000,,1.5052,174.7020,174.7085,,-1.8597,101.9629,101.9798
15:56:24,2.2220,0.0431,-0.0027,2.7501,6.9088,-0.0709,False,,0.2227,-0.0022,0.0000,,1.5057,174.0875,174.0940,,-1.8593,102.2238,102.2407
15:56:24,2.2656,0.0437,-0.0029,2.8275,6.9879,-0.0747,False,,0.2227,-0.0022,0.0000,,1.5061,173.6767,173.6833,,-1.8589,102.3925,102.4094
15:56:24,2.3079,0.0423,-0.0031,2.9058,7.0670,-0.0785,False,,0.2227,-0.0022,0.0000,,1.5064,173.2651,173.2716,,-1.8586,102.5587,102.5755
15:56:24,2.3523,0.0444,-0.0033,2.9850,7.1459,-0.0823,False,,0.2227,-0.0022,0.0000,,1.5068,172.8526,172.8591,,-1.8582,102.7227,102.7396
15:56:24,2.3937,0.0415,-0.0035,3.0650,7.2248,-0.0862,False,,0.2227,-0.0022,0.0000,,1.5072,172.4392,172.4458,,-1.8579,102.8854,102.9022
15:56:24,2.4371,0.0433,-0.0037,3.1460,7.3035,-0.0901,False,,0.2227,-0.0022,0.0000,,1.5075,172.0249,172.0315,,-1.8575,103.0457,103.0625
15:56:24,2.4797,0.0426,-0.0039,3.2278,7.3822,-0.0940,False,,0.2227,-0.0022,0.0000,,1.5079,171.6097,171.6164,,-1.8571,103.2076,103.2243
15:56:24,2.5225,0.0428,-0.0043,3.3521,7.5000,-0.1000,False,,0.2227,-0.0022,0.0000,,1.5085,170.9854,170.9920,,-1.8565,103.4462,103.4629
15:56:24,2.5665,0.0440,-0.0045,3.4361,7.5784,-0.1041,False,,0.2227,-0.0022,0.0000,,1.5089,170.5680,170.5747,,-1.8561,103.6029,103.6195
15:56:24,2.6087,0.0422,-0.0047,3.5209,7.6567,-0.1082,False,,0.2227,-0.0022,0.0000,,1.5093,170.1498,170.1565,,-1.8557,103.7575,103.7741
15:56:24,2.6516,0.0429,-0.0050,3.6067,7.7349,-0.1123,False,,0.2227,-0.0022,0.0000,,1.5098,169.7308,169.7375,,-1.8552,103.9060,103.9226
