NormalFrameMask
2023”N11ŒŽ24“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:58:19,0.3733,0.3333,0.0000,0.0915,1.7313,0.0007,False,,0.0000,0.0000,0.0000,,1.5000,192.2465,192.2523,,-1.8650,96.6532,96.6712
15:58:20,0.6307,0.2573,0.0000,0.2343,2.1582,-0.0001,False,,0.1590,0.0000,0.0000,,1.5000,189.9370,189.9429,,-1.8650,96.9854,97.0033
15:58:20,0.7178,0.0871,0.0000,0.2837,2.2844,0.0150,False,,0.1590,0.0000,0.0000,,1.4994,189.2209,189.2268,,-1.8656,97.1308,97.1487
15:58:20,0.7700,0.0522,0.0000,0.3225,2.3766,0.0152,False,,0.1590,0.0000,0.0000,,1.4993,188.6821,188.6880,,-1.8657,97.2539,97.2718
15:58:20,0.8198,0.0497,0.0000,0.3491,2.3972,0.0197,False,,0.1590,0.0000,0.0000,,1.4992,188.3221,188.3281,,-1.8659,97.3421,97.3600
15:58:20,0.8667,0.0470,0.0000,0.3905,2.5221,0.0274,False,,0.1590,0.0000,0.0000,,1.4988,187.7807,187.7867,,-1.8662,97.4837,97.5016
15:58:20,0.9089,0.0422,0.0000,0.4188,2.5503,0.0270,False,,0.1590,0.0000,0.0000,,1.4988,187.4191,187.4251,,-1.8662,97.5841,97.6019
15:58:20,0.9499,0.0410,0.0000,0.4478,2.6363,0.0319,False,,0.1590,0.0000,0.0000,,1.4986,187.0567,187.0627,,-1.8664,97.6894,97.7072
15:58:20,0.9964,0.0464,0.0001,0.4774,2.6858,0.0345,False,,0.1688,0.0000,0.0000,,1.4985,186.6938,186.6998,,-1.8665,97.7995,97.8173
15:58:20,1.0392,0.0428,0.0001,0.5080,2.7810,0.0377,False,,0.2031,0.0000,0.0000,,1.4983,186.3299,186.3359,,-1.8667,97.9141,97.9319
15:58:20,1.0808,0.0416,0.0001,0.5557,2.9202,0.0465,False,,0.2669,0.0000,0.0000,,1.4979,185.7821,185.7882,,-1.8671,98.0949,98.1127
15:58:20,1.1266,0.0459,0.0001,0.5892,3.0497,0.0472,False,,0.3404,0.0000,0.0000,,1.4979,185.4153,185.4214,,-1.8672,98.2195,98.2372
15:58:20,1.1692,0.0426,0.0002,0.6242,3.1830,0.0472,False,,0.3943,0.0000,0.0000,,1.4978,185.0469,185.0530,,-1.8672,98.3490,98.3668
15:58:20,1.2121,0.0428,0.0002,0.6611,3.3635,0.0471,False,,0.4286,0.0000,0.0000,,1.4978,184.6767,184.6828,,-1.8672,98.4817,98.4994
15:58:20,1.2549,0.0428,0.0002,0.6997,3.5182,0.0444,False,,0.4335,0.0000,0.0000,,1.4979,184.3047,184.3108,,-1.8671,98.6183,98.6360
