Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:22:18,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:22:18,0.5637,0.1903,-1.5000,0.2484,3.7020,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,185.7565,185.7807,-0.8651,96.8399,96.8438
15:22:18,0.6099,0.0462,-1.5000,0.2928,4.0892,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,185.0455,185.0698,-0.8651,96.8817,96.8856
15:22:18,0.6442,0.0343,-1.5000,0.3414,4.4763,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,184.3302,184.3546,-0.8651,96.9251,96.9290
15:22:18,0.6824,0.0382,-1.5000,0.3944,4.8630,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,183.6106,183.6351,-0.8651,96.9700,96.9739
15:22:18,0.7157,0.0333,-1.5000,0.4225,5.0562,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,183.2491,183.2737,-0.8651,96.9931,96.9970
15:22:18,0.7461,0.0303,-1.5000,0.4819,5.4423,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,182.5231,182.5477,-0.8651,97.0403,97.0442
15:22:18,0.7772,0.0312,-1.5000,0.5132,5.6353,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,182.1585,182.1832,-0.8651,97.0645,97.0683
15:22:18,0.8092,0.0320,-1.5000,0.5790,6.0208,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,181.4260,181.4508,-0.8651,97.1139,97.1178
15:22:18,0.8404,0.0312,-1.5000,0.6491,6.4058,0.0026,False,,1.0000,0.0000,0.0000,,2.9999,180.6892,180.7141,-0.8651,97.1647,97.1686
