Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:15:16,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:15:16,0.5436,0.1703,-1.4997,0.2278,3.5081,0.0140,False,,1.0000,0.0038,0.0000,,2.9991,186.1104,186.1346,-0.8659,96.8195,96.8234
15:15:16,0.6281,0.0845,-1.4995,0.3166,4.2828,0.0220,False,,1.0000,0.0038,0.0000,,2.9986,184.6884,184.7127,-0.8664,96.9033,96.9071
15:15:16,0.6616,0.0335,-1.4994,0.3674,4.6697,0.0265,False,,1.0000,0.0038,0.0000,,2.9983,183.9709,183.9953,-0.8667,96.9474,96.9513
15:15:16,0.6944,0.0328,-1.4993,0.3944,4.8630,0.0289,False,,1.0000,0.0038,0.0000,,2.9981,183.6106,183.6350,-0.8669,96.9701,96.9739
15:15:16,0.7251,0.0307,-1.4992,0.4516,5.2494,0.0339,False,,1.0000,0.0038,0.0000,,2.9977,182.8867,182.9112,-0.8673,97.0165,97.0204
15:15:16,0.7559,0.0308,-1.4991,0.4819,5.4424,0.0366,False,,1.0000,0.0038,0.0000,,2.9975,182.5231,182.5477,-0.8675,97.0403,97.0442
15:15:16,0.7861,0.0302,-1.4989,0.5456,5.8281,0.0421,False,,1.0000,0.0038,0.0000,,2.9971,181.7928,181.8175,-0.8679,97.0890,97.0929
15:15:16,0.8179,0.0318,-1.4988,0.5790,6.0208,0.0451,False,,1.0000,0.0038,0.0000,,2.9969,181.4260,181.4507,-0.8681,97.1139,97.1178
15:15:16,0.8519,0.0340,-1.4987,0.6491,6.4059,0.0512,False,,1.0000,0.0038,0.0000,,2.9965,180.6892,180.7141,-0.8685,97.1647,97.1686
15:15:16,0.8838,0.0319,-1.4984,0.7235,6.7904,0.0577,False,,1.0000,0.0038,0.0000,,2.9960,179.9482,179.9731,-0.8690,97.2168,97.2207
15:15:16,0.9152,0.0314,-1.4983,0.7623,6.9826,0.0610,False,,1.0000,0.0038,0.0000,,2.9957,179.5761,179.6010,-0.8693,97.2432,97.2471
15:15:16,0.9625,0.0473,-1.4980,0.8851,7.5582,0.0717,False,,1.0000,0.0038,0.0000,,2.9949,178.4533,178.4784,-0.8701,97.3244,97.3283
15:15:16,0.9966,0.0342,-1.4978,0.9281,7.7498,0.0754,False,,1.0000,0.0038,0.0000,,2.9946,178.0769,178.1021,-0.8704,97.3522,97.3561
15:15:16,1.0272,0.0305,-1.4975,1.0174,8.1327,0.0832,False,,1.0000,0.0038,0.0000,,2.9940,177.3210,177.3462,-0.8710,97.4084,97.4123
15:15:16,1.0585,0.0314,-1.4974,1.0637,8.3240,0.0872,False,,1.0000,0.0038,0.0000,,2.9937,176.9414,176.9667,-0.8713,97.4371,97.4410
15:15:16,1.0890,0.0305,-1.4970,1.1593,8.7062,0.0952,False,,1.0000,0.0035,0.0000,,2.9930,176.1791,176.2045,-0.8720,97.4953,97.4992
15:15:16,1.1201,0.0311,-1.4967,1.2593,9.0879,0.1031,False,,1.0000,0.0032,0.0000,,2.9923,175.4125,175.4380,-0.8727,97.5541,97.5580
15:15:16,1.1515,0.0313,-1.4965,1.3108,9.2785,0.1068,False,,1.0000,0.0027,0.0000,,2.9920,175.0276,175.0532,-0.8730,97.5842,97.5881
15:15:16,1.1823,0.0308,-1.4962,1.4171,9.6595,0.1135,False,,1.0000,0.0022,0.0000,,2.9914,174.2547,174.2804,-0.8736,97.6454,97.6493
15:15:16,1.2267,0.0444,-1.4958,1.5276,10.0400,0.1196,False,,1.0000,0.0021,0.0000,,2.9907,173.4776,173.5033,-0.8743,97.7076,97.7115
15:15:17,1.2574,0.0306,-1.4957,1.5844,10.2301,0.1226,False,,1.0000,0.0021,0.0000,,2.9904,173.0874,173.1132,-0.8746,97.7385,97.7424
15:15:17,1.2873,0.0299,-1.4953,1.7012,10.6098,0.1285,False,,1.0000,0.0022,0.0000,,2.9898,172.3039,172.3298,-0.8752,97.8012,97.8051
15:15:17,1.3182,0.0309,-1.4951,1.7612,10.7995,0.1315,False,,1.0000,0.0022,0.0000,,2.9895,171.9106,171.9366,-0.8755,97.8338,97.8377
15:15:17,1.3483,0.0302,-1.4947,1.8844,11.1785,0.1376,False,,1.0000,0.0022,0.0000,,2.9888,171.1208,171.1469,-0.8762,97.8987,97.9027
15:15:17,1.3935,0.0452,-1.4942,2.0117,11.5571,0.1439,False,,1.0000,0.0022,0.0000,,2.9881,170.3268,170.3530,-0.8769,97.9651,97.9691
15:15:17,1.4244,0.0309,-1.4938,2.1433,11.9351,0.1503,False,,1.0000,0.0022,0.0000,,2.9874,169.5285,169.5549,-0.8776,98.0327,98.0366
15:15:17,1.4566,0.0322,-1.4935,2.2107,12.1240,0.1537,False,,1.0000,0.0022,0.0000,,2.9870,169.1279,169.1542,-0.8780,98.0668,98.0708
