Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:16:55,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:16:55,0.5027,0.1293,-1.4999,0.1747,2.4503,0.0123,False,,0.5000,0.0024,0.0000,,2.9994,186.8302,186.8543,-0.8656,96.7951,96.7989
15:16:55,0.5733,0.0706,-1.4998,0.2207,2.9255,0.0162,False,,0.8361,0.0024,0.0000,,2.9991,185.7842,185.8084,-0.8659,96.8676,96.8715
15:16:55,0.6067,0.0334,-1.4998,0.2563,3.3093,0.0195,False,,1.0000,0.0024,0.0000,,2.9989,185.0819,185.1062,-0.8661,96.9182,96.9220
15:16:55,0.6402,0.0335,-1.4997,0.2964,3.6974,0.0223,False,,1.0000,0.0024,0.0000,,2.9988,184.3752,184.3996,-0.8663,96.9702,96.9741
15:16:55,0.6741,0.0339,-1.4997,0.3180,3.8911,0.0236,False,,1.0000,0.0024,0.0000,,2.9987,184.0203,184.0447,-0.8663,96.9968,97.0006
15:16:55,0.7056,0.0315,-1.4996,0.3644,4.2783,0.0264,False,,1.0000,0.0024,0.0000,,2.9985,183.3072,183.3317,-0.8665,97.0511,97.0550
15:16:55,0.7357,0.0301,-1.4995,0.3893,4.4718,0.0278,False,,1.0000,0.0024,0.0000,,2.9984,182.9490,182.9736,-0.8667,97.0789,97.0827
15:16:55,0.7647,0.0290,-1.4995,0.4422,4.8585,0.0309,False,,1.0000,0.0024,0.0000,,2.9981,182.2295,182.2541,-0.8669,97.1355,97.1393
15:16:55,0.7942,0.0295,-1.4994,0.4702,5.0517,0.0325,False,,1.0000,0.0024,0.0000,,2.9980,181.8681,181.8928,-0.8670,97.1643,97.1682
15:16:55,0.8392,0.0450,-1.4993,0.5296,5.4379,0.0359,False,,1.0000,0.0024,0.0000,,2.9978,181.1421,181.1669,-0.8672,97.2231,97.2270
15:16:55,0.8733,0.0341,-1.4992,0.5932,5.8236,0.0395,False,,1.0000,0.0024,0.0000,,2.9975,180.4118,180.4367,-0.8675,97.2832,97.2871
15:16:55,0.9041,0.0308,-1.4990,0.6612,6.2089,0.0433,False,,1.0000,0.0024,0.0000,,2.9972,179.6772,179.7022,-0.8678,97.3443,97.3482
15:16:55,0.9364,0.0323,-1.4990,0.6967,6.4014,0.0453,False,,1.0000,0.0024,0.0000,,2.9970,179.3083,179.3333,-0.8680,97.3756,97.3794
