Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:18:17,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:18:17,0.5092,0.1358,-1.4999,0.1899,3.1206,0.0062,False,,1.0000,0.0024,0.0000,,2.9996,186.8150,186.8391,-0.8654,96.7798,96.7837
15:18:17,0.5527,0.0435,-1.4998,0.2278,3.5085,0.0079,False,,1.0000,0.0022,0.0000,,2.9995,186.1104,186.1346,-0.8655,96.8195,96.8234
15:18:17,0.5853,0.0327,-1.4998,0.2700,3.8958,0.0100,False,,1.0000,0.0022,0.0000,,2.9993,185.4016,185.4258,-0.8657,96.8607,96.8646
15:18:17,0.6185,0.0332,-1.4997,0.2928,4.0894,0.0111,False,,1.0000,0.0021,0.0000,,2.9993,185.0455,185.0698,-0.8657,96.8817,96.8856
15:18:17,0.6501,0.0315,-1.4997,0.3414,4.4765,0.0134,False,,1.0000,0.0020,0.0000,,2.9991,184.3302,184.3546,-0.8659,96.9252,96.9290
15:18:17,0.6809,0.0309,-1.4996,0.3944,4.8632,0.0159,False,,1.0000,0.0020,0.0000,,2.9989,183.6106,183.6351,-0.8661,96.9701,96.9739
15:18:17,0.7136,0.0327,-1.4996,0.4225,5.0564,0.0172,False,,1.0000,0.0020,0.0000,,2.9988,183.2492,183.2737,-0.8662,96.9931,96.9970
15:18:17,0.7448,0.0312,-1.4995,0.4819,5.4426,0.0198,False,,1.0000,0.0019,0.0000,,2.9986,182.5231,182.5477,-0.8664,97.0403,97.0442
15:18:17,0.7758,0.0310,-1.4994,0.5132,5.6355,0.0212,False,,1.0000,0.0019,0.0000,,2.9985,182.1585,182.1831,-0.8665,97.0645,97.0683
15:18:17,0.8068,0.0310,-1.4994,0.5790,6.0210,0.0241,False,,1.0000,0.0019,0.0000,,2.9983,181.4260,181.4508,-0.8667,97.1139,97.1178
15:18:17,0.8424,0.0356,-1.4993,0.6491,6.4061,0.0270,False,,1.0000,0.0017,0.0000,,2.9981,180.6892,180.7141,-0.8669,97.1647,97.1686
15:18:17,0.8747,0.0323,-1.4992,0.6858,6.5984,0.0284,False,,1.0000,0.0017,0.0000,,2.9980,180.3192,180.3441,-0.8670,97.1907,97.1946
15:18:18,0.9220,0.0473,-1.4990,0.8022,7.1747,0.0330,False,,1.0000,0.0017,0.0000,,2.9976,179.2029,179.2279,-0.8674,97.2701,97.2740
15:18:18,0.9559,0.0340,-1.4990,0.8431,7.3666,0.0346,False,,1.0000,0.0017,0.0000,,2.9975,178.8286,178.8537,-0.8675,97.2972,97.3010
15:18:18,0.9893,0.0333,-1.4989,0.9281,7.7500,0.0380,False,,1.0000,0.0017,0.0000,,2.9973,178.0769,178.1021,-0.8678,97.3521,97.3560
15:18:18,1.0200,0.0307,-1.4988,0.9722,7.9415,0.0397,False,,1.0000,0.0017,0.0000,,2.9971,177.6995,177.7247,-0.8679,97.3802,97.3840
15:18:18,1.0500,0.0300,-1.4987,1.0637,8.3242,0.0433,False,,1.0000,0.0017,0.0000,,2.9968,176.9414,176.9668,-0.8682,97.4371,97.4409
15:18:18,1.0806,0.0306,-1.4985,1.1594,8.7064,0.0470,False,,1.0000,0.0017,0.0000,,2.9965,176.1791,176.2045,-0.8685,97.4953,97.4992
15:18:18,1.1124,0.0318,-1.4984,1.2088,8.8973,0.0489,False,,1.0000,0.0017,0.0000,,2.9963,175.7963,175.8218,-0.8687,97.5248,97.5287
15:18:18,1.1422,0.0299,-1.4982,1.3108,9.2787,0.0529,False,,1.0000,0.0017,0.0000,,2.9960,175.0276,175.0532,-0.8690,97.5842,97.5881
15:18:18,1.1868,0.0446,-1.4981,1.4171,9.6597,0.0570,False,,1.0000,0.0017,0.0000,,2.9956,174.2547,174.2804,-0.8694,97.6454,97.6492
15:18:18,1.2176,0.0308,-1.4980,1.4718,9.8500,0.0591,False,,1.0000,0.0017,0.0000,,2.9954,173.8666,173.8924,-0.8696,97.6764,97.6802
15:18:18,1.2476,0.0300,-1.4977,1.5844,10.2302,0.0635,False,,1.0000,0.0017,0.0000,,2.9950,173.0874,173.1133,-0.8700,97.7385,97.7424
15:18:18,1.2795,0.0319,-1.4976,1.6423,10.4202,0.0657,False,,1.0000,0.0017,0.0000,,2.9948,172.6961,172.7221,-0.8702,97.7695,97.7734
15:18:18,1.3101,0.0306,-1.4974,1.7613,10.7997,0.0703,False,,1.0000,0.0017,0.0000,,2.9944,171.9106,171.9366,-0.8706,97.8337,97.8376
15:18:18,1.3410,0.0309,-1.4971,1.8844,11.1787,0.0751,False,,1.0000,0.0017,0.0000,,2.9940,171.1207,171.1469,-0.8710,97.8987,97.9026
15:18:18,1.3730,0.0320,-1.4970,1.9476,11.3681,0.0775,False,,1.0000,0.0017,0.0000,,2.9937,170.7243,170.7505,-0.8713,97.9317,97.9356
15:18:18,1.4196,0.0466,-1.4967,2.0770,11.7464,0.0825,False,,1.0000,0.0017,0.0000,,2.9932,169.9281,169.9545,-0.8718,97.9987,98.0026
15:18:18,1.4518,0.0322,-1.4964,2.2107,12.1242,0.0877,False,,1.0000,0.0017,0.0000,,2.9927,169.1278,169.1543,-0.8723,98.0668,98.0707
15:18:18,1.4836,0.0318,-1.4961,2.3486,12.5015,0.0930,False,,1.0000,0.0017,0.0000,,2.9922,168.3233,168.3499,-0.8728,98.1360,98.1399
15:18:18,1.5146,0.0310,-1.4959,2.4191,12.6900,0.0958,False,,1.0000,0.0017,0.0000,,2.9919,167.9195,167.9461,-0.8731,98.1710,98.1749
15:18:18,1.5449,0.0303,-1.4956,2.5632,13.0665,0.1013,False,,1.0000,0.0017,0.0000,,2.9913,167.1087,167.1355,-0.8737,98.2420,98.2459
15:18:18,1.5749,0.0300,-1.4954,2.6368,13.2546,0.1041,False,,1.0000,0.0017,0.0000,,2.9910,166.7017,166.7285,-0.8740,98.2775,98.2814
15:18:18,1.6190,0.0440,-1.4950,2.7872,13.6305,0.1099,False,,1.0000,0.0017,0.0000,,2.9903,165.8847,165.9116,-0.8747,98.3487,98.3526
15:18:18,1.6495,0.0305,-1.4946,2.9418,14.0058,0.1161,False,,1.0000,0.0019,0.0000,,2.9896,165.0634,165.0905,-0.8754,98.4222,98.4261
15:18:18,1.6798,0.0303,-1.4944,3.0207,14.1933,0.1193,False,,1.0000,0.0019,0.0000,,2.9893,164.6512,164.6784,-0.8757,98.4590,98.4628
15:18:18,1.7100,0.0302,-1.4939,3.1815,14.5680,0.1259,False,,1.0000,0.0019,0.0000,,2.9885,163.8238,163.8510,-0.8765,98.5336,98.5375
15:18:18,1.7416,0.0317,-1.4934,3.3465,14.9421,0.1328,False,,1.0000,0.0019,0.0000,,2.9878,162.9921,163.0195,-0.8773,98.6083,98.6122
15:18:18,1.7854,0.0438,-1.4929,3.5156,15.3158,0.1399,False,,1.0000,0.0019,0.0000,,2.9869,162.1563,162.1839,-0.8781,98.6849,98.6888
15:18:18,1.8166,0.0312,-1.4926,3.6017,15.5025,0.1435,False,,1.0000,0.0019,0.0000,,2.9865,161.7369,161.7645,-0.8785,98.7234,98.7273
15:18:18,1.8474,0.0308,-1.4920,3.7771,15.8754,0.1508,False,,1.0000,0.0019,0.0000,,2.9856,160.8949,160.9226,-0.8794,98.8012,98.8051
15:18:18,1.8793,0.0319,-1.4917,3.8663,16.0617,0.1546,False,,1.0000,0.0019,0.0000,,2.9851,160.4723,160.5001,-0.8799,98.8404,98.8443
