Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:25:04,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:25:04,0.5058,0.1325,-1.5000,0.1117,0.0041,-0.0659,False,,0.0000,-0.0032,0.6155,,3.0029,186.8932,186.9173,-0.8621,96.8580,96.8619
15:25:04,0.5585,0.0527,-1.5000,0.1129,0.1106,-0.0670,False,,0.0000,-0.0032,0.0000,,3.0030,186.2253,186.2495,-0.8620,96.9344,96.9382
15:25:04,0.5921,0.0336,-1.5000,0.1165,0.3467,-0.0616,False,,0.0000,-0.0032,0.0000,,3.0028,185.5550,185.5793,-0.8623,97.0142,97.0180
15:25:04,0.6271,0.0350,-1.5000,0.1223,0.5585,-0.0695,False,,0.0000,-0.0032,0.0000,,3.0031,184.8826,184.9070,-0.8619,97.0975,97.1013
15:25:04,0.6600,0.0329,-1.5001,0.1261,0.6712,-0.0772,False,,0.0000,-0.0032,0.0000,,3.0034,184.5455,184.5700,-0.8616,97.1405,97.1443
15:25:04,0.6925,0.0326,-1.5001,0.1348,0.8286,-0.0780,False,,0.0000,-0.0032,0.0000,,3.0035,183.8701,183.8947,-0.8616,97.2296,97.2334
15:25:04,0.7226,0.0300,-1.5001,0.1460,1.0362,-0.0753,False,,0.0000,-0.0032,0.0000,,3.0034,183.1922,183.2169,-0.8617,97.3221,97.3259
15:25:04,0.7523,0.0297,-1.5001,0.1521,1.1011,-0.0782,False,,0.0000,-0.0032,0.0000,,3.0035,182.8528,182.8775,-0.8615,97.3700,97.3738
15:25:04,0.7827,0.0305,-1.5002,0.1664,1.2952,-0.0753,False,,0.0000,-0.0032,0.0000,,3.0034,182.1719,182.1966,-0.8616,97.4681,97.4720
15:25:04,0.8137,0.0309,-1.5002,0.1745,1.4607,-0.0761,False,,0.0000,-0.0032,0.0000,,3.0035,181.8304,181.8553,-0.8616,97.5184,97.5222
15:25:04,0.8623,0.0486,-1.5003,0.2014,1.7085,-0.0789,False,,0.0000,-0.0032,0.0000,,3.0036,180.8035,180.8285,-0.8614,97.6750,97.6788
15:25:04,0.8965,0.0343,-1.5003,0.2117,1.8544,-0.0795,False,,0.0000,-0.0032,0.0000,,3.0037,180.4599,180.4849,-0.8613,97.7286,97.7324
15:25:04,0.9270,0.0305,-1.5004,0.2341,2.0492,-0.0819,False,,0.0000,-0.0032,0.0000,,3.0039,179.7710,179.7961,-0.8611,97.8382,97.8420
15:25:04,0.9587,0.0316,-1.5004,0.2458,2.1134,-0.0825,False,,0.0000,-0.0032,0.0000,,3.0039,179.4259,179.4510,-0.8611,97.8944,97.8982
15:25:04,0.9912,0.0326,-1.5005,0.2713,2.3383,-0.0858,False,,0.0000,-0.0032,0.0000,,3.0042,178.7338,178.7590,-0.8609,98.0090,98.0128
15:25:04,1.0218,0.0306,-1.5006,0.2988,2.5272,-0.0856,False,,0.0000,-0.0032,0.0000,,3.0042,178.0396,178.0649,-0.8608,98.1270,98.1308
15:25:04,1.0511,0.0293,-1.5006,0.3133,2.6182,-0.0889,False,,0.0000,-0.0032,0.0000,,3.0044,177.6917,177.7171,-0.8606,98.1874,98.1912
15:25:04,1.0802,0.0291,-1.5007,0.3442,2.8107,-0.0905,False,,0.0000,-0.0032,0.0000,,3.0046,176.9942,177.0197,-0.8604,98.3105,98.3143
15:25:04,1.1261,0.0458,-1.5008,0.3772,3.0170,-0.0913,False,,0.0000,-0.0032,0.0000,,3.0047,176.2945,176.3201,-0.8603,98.4362,98.4399
15:25:04,1.1559,0.0299,-1.5009,0.3944,3.1062,-0.0918,False,,0.0000,-0.0032,0.0000,,3.0048,175.9440,175.9696,-0.8602,98.5006,98.5043
15:25:04,1.1849,0.0289,-1.5010,0.4306,3.2966,-0.0922,False,,0.0000,-0.0032,0.0000,,3.0049,175.2411,175.2669,-0.8601,98.6318,98.6356
15:25:04,1.2154,0.0305,-1.5011,0.4491,3.3283,-0.0939,False,,0.1835,-0.0032,0.0000,,3.0051,174.8893,174.9151,-0.8599,98.6991,98.7028
15:25:04,1.2578,0.0425,-1.5012,0.4878,3.5370,-0.0961,False,,0.4825,-0.0032,0.0000,,3.0053,174.1840,174.2099,-0.8597,98.8351,98.8389
15:25:04,1.2895,0.0317,-1.5014,0.5291,3.7906,-0.0989,False,,0.6792,-0.0032,0.0000,,3.0056,173.4760,173.5020,-0.8594,98.9733,98.9771
15:25:04,1.3190,0.0296,-1.5014,0.5511,3.9521,-0.1005,False,,0.8753,-0.0032,0.0000,,3.0057,173.1207,173.1468,-0.8593,99.0439,99.0477
15:25:04,1.3478,0.0288,-1.5016,0.5981,4.3323,-0.1041,False,,0.9881,-0.0032,0.0000,,3.0060,172.4070,172.4332,-0.8590,99.1850,99.1887
15:25:05,1.3931,0.0453,-1.5018,0.6495,4.7186,-0.1078,False,,1.0000,-0.0030,0.0000,,3.0064,171.6890,171.7153,-0.8586,99.3274,99.3311
15:25:05,1.4235,0.0304,-1.5020,0.7051,5.1051,-0.1118,False,,1.0000,-0.0031,0.0000,,3.0067,170.9667,170.9931,-0.8583,99.4708,99.4745
15:25:05,1.4530,0.0295,-1.5021,0.7346,5.2982,-0.1140,False,,1.0000,-0.0031,0.0000,,3.0069,170.6039,170.6304,-0.8581,99.5429,99.5466
15:25:05,1.4832,0.0302,-1.5023,0.7967,5.6841,-0.1183,False,,1.0000,-0.0030,0.0000,,3.0073,169.8752,169.9018,-0.8577,99.6879,99.6916
15:25:05,1.5274,0.0443,-1.5025,0.8630,6.0696,-0.1228,False,,1.0000,-0.0028,0.0000,,3.0078,169.1422,169.1689,-0.8572,99.8340,99.8376
15:25:05,1.5572,0.0298,-1.5027,0.8978,6.2621,-0.1248,False,,1.0000,-0.0020,0.0000,,3.0080,168.7740,168.8008,-0.8570,99.9074,99.9111
15:25:05,1.5867,0.0296,-1.5029,0.9706,6.6469,-0.1281,False,,1.0000,-0.0014,0.0000,,3.0083,168.0346,168.0615,-0.8567,100.0537,100.0573
15:25:05,1.6164,0.0297,-1.5030,1.0086,6.8391,-0.1292,False,,1.0000,-0.0004,0.0000,,3.0085,167.6633,167.6903,-0.8565,100.1274,100.1311
15:25:05,1.6592,0.0428,-1.5032,1.0878,7.2231,-0.1303,False,,1.0000,0.0000,0.0000,,3.0087,166.9174,166.9445,-0.8563,100.2763,100.2800
15:25:05,1.6898,0.0306,-1.5034,1.1712,7.6067,-0.1307,False,,1.0000,0.0000,0.0000,,3.0090,166.1673,166.1945,-0.8560,100.4254,100.4290
15:25:05,1.7210,0.0312,-1.5036,1.2590,7.9898,-0.1309,False,,1.0000,0.0000,0.0000,,3.0092,165.4129,165.4403,-0.8558,100.5751,100.5787
15:25:05,1.7502,0.0292,-1.5037,1.3044,8.1811,-0.1310,False,,1.0000,0.0000,0.0000,,3.0093,165.0342,165.0616,-0.8557,100.6504,100.6541
15:25:05,1.7933,0.0431,-1.5039,1.3985,8.5635,-0.1310,False,,1.0000,0.0000,0.0000,,3.0095,164.2734,164.3010,-0.8555,100.8021,100.8057
15:25:05,1.8226,0.0293,-1.5042,1.4968,8.9454,-0.1315,False,,1.0000,-0.0004,0.0000,,3.0098,163.5084,163.5361,-0.8552,100.9543,100.9579
15:25:05,1.8518,0.0293,-1.5043,1.5476,9.1361,-0.1319,False,,1.0000,-0.0006,0.0000,,3.0099,163.1244,163.1521,-0.8551,101.0308,101.0344
15:25:05,1.8945,0.0426,-1.5046,1.6523,9.5173,-0.1331,False,,1.0000,-0.0006,0.0000,,3.0102,162.3530,162.3809,-0.8548,101.1823,101.1859
15:25:05,1.9238,0.0294,-1.5048,1.7612,9.8980,-0.1345,False,,1.0000,-0.0006,0.0000,,3.0106,161.5774,161.6055,-0.8544,101.3285,101.3321
15:25:05,1.9535,0.0296,-1.5050,1.8172,10.0881,-0.1352,False,,1.0000,-0.0006,0.0000,,3.0107,161.1881,161.2162,-0.8543,101.3992,101.4028
15:25:05,1.9824,0.0289,-1.5053,1.9325,10.4681,-0.1368,False,,1.0000,-0.0006,0.0000,,3.0111,160.4062,160.4344,-0.8539,101.5369,101.5405
15:25:05,2.0254,0.0430,-1.5056,2.0520,10.8475,-0.1385,False,,1.0000,-0.0006,0.0000,,3.0115,159.6200,159.6484,-0.8535,101.6685,101.6721
15:25:05,2.0554,0.0299,-1.5058,2.1133,11.0370,-0.1393,False,,1.0000,-0.0006,0.0000,,3.0117,159.2254,159.2539,-0.8533,101.7327,101.7363
15:25:05,2.0845,0.0292,-1.5061,2.2391,11.4158,-0.1411,False,,1.0000,-0.0006,0.0000,,3.0121,158.4329,158.4616,-0.8529,101.8564,101.8600
15:25:05,2.1147,0.0302,-1.5063,2.3035,11.6049,-0.1420,False,,1.0000,-0.0006,0.0000,,3.0123,158.0351,158.0638,-0.8527,101.9163,101.9199
15:25:05,2.1576,0.0429,-1.5067,2.4356,11.9829,-0.1439,False,,1.0000,-0.0006,0.0000,,3.0128,157.2364,157.2652,-0.8522,102.0322,102.0357
15:25:05,2.1872,0.0296,-1.5071,2.5719,12.3604,-0.1458,False,,1.0000,-0.0006,0.0000,,3.0133,156.4334,156.4625,-0.8518,102.1456,102.1491
15:25:05,2.2161,0.0289,-1.5072,2.6416,12.5490,-0.1468,False,,1.0000,-0.0006,0.0000,,3.0135,156.0304,156.0595,-0.8515,102.1999,102.2034
15:25:05,2.2598,0.0437,-1.5077,2.7842,12.9258,-0.1488,False,,1.0000,-0.0006,0.0000,,3.0140,155.2212,155.2504,-0.8510,102.3045,102.3081
15:25:05,2.2900,0.0302,-1.5081,2.9310,13.3020,-0.1508,False,,1.0000,-0.0006,0.0000,,3.0145,154.4078,154.4372,-0.8505,102.4048,102.4083
15:25:05,2.3190,0.0289,-1.5083,3.0059,13.4900,-0.1519,False,,1.0000,-0.0006,0.0000,,3.0148,153.9995,154.0290,-0.8502,102.4525,102.4561
15:25:05,2.3478,0.0288,-1.5087,3.1589,13.8655,-0.1541,False,,1.0000,-0.0006,0.0000,,3.0153,153.1798,153.2095,-0.8497,102.5443,102.5479
15:25:06,2.3912,0.0434,-1.5092,3.3161,14.2406,-0.1563,False,,1.0000,-0.0006,0.0000,,3.0159,152.3560,152.3858,-0.8492,102.6303,102.6338
15:25:06,2.4211,0.0299,-1.5097,3.4775,14.6152,-0.1585,False,,1.0000,-0.0006,0.0000,,3.0164,151.5280,151.5580,-0.8486,102.7116,102.7151
15:25:06,2.4516,0.0305,-1.5099,3.5597,14.8023,-0.1597,False,,1.0000,-0.0006,0.0000,,3.0167,151.1124,151.1425,-0.8483,102.7502,102.7537
