Normal
2023”N10ŒŽ12“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
15:36:08,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
15:36:08,0.5303,0.1569,-1.5000,0.2083,3.3145,0.0028,False,,1.0000,0.0006,0.0000,,2.9998,186.4632,186.4874,-0.8652,96.7995,96.8033
15:36:08,0.5810,0.0507,-1.4999,0.2650,3.4451,0.0036,False,,0.2374,0.0006,0.0000,,2.9998,185.4066,185.4308,-0.8652,96.8657,96.8696
15:36:08,0.6215,0.0406,-1.4999,0.3036,3.4852,0.0038,False,,0.0708,0.0006,0.0000,,2.9998,184.7014,184.7257,-0.8652,96.9162,96.9201
15:36:08,0.6643,0.0427,-1.4999,0.3439,3.6737,0.0048,False,,0.0000,0.0006,0.0000,,2.9997,183.9944,184.0188,-0.8653,96.9709,96.9747
15:36:08,0.7007,0.0365,-1.4999,0.3864,3.8696,0.0064,False,,0.0000,0.0006,0.0000,,2.9996,183.2853,183.3098,-0.8654,97.0292,97.0331
15:36:08,0.7354,0.0346,-1.4999,0.4084,3.9647,0.0069,False,,0.0000,0.0006,0.0000,,2.9996,182.9299,182.9545,-0.8654,97.0598,97.0636
15:36:08,0.7690,0.0337,-1.4999,0.4541,4.1597,0.0073,False,,0.0000,0.0006,0.0000,,2.9996,182.2176,182.2423,-0.8655,97.1236,97.1274
15:36:08,0.8025,0.0335,-1.4998,0.5019,4.3508,0.0079,False,,0.0000,0.0006,0.0000,,2.9995,181.5031,181.5279,-0.8655,97.1911,97.1949
15:36:08,0.8353,0.0328,-1.4998,0.5266,4.4462,0.0082,False,,0.0000,0.0006,0.0000,,2.9995,181.1451,181.1699,-0.8655,97.2261,97.2300
15:36:08,0.8688,0.0334,-1.4998,0.5776,4.6369,0.0089,False,,0.0000,0.0006,0.0000,,2.9994,180.4274,180.4524,-0.8656,97.2989,97.3027
15:36:08,0.9060,0.0372,-1.4998,0.6307,4.8273,0.0096,False,,0.0000,0.0006,0.0000,,2.9994,179.7077,179.7327,-0.8656,97.3748,97.3787
15:36:08,0.9409,0.0349,-1.4998,0.6859,5.0177,0.0104,False,,0.0000,0.0006,0.0000,,2.9993,178.9858,179.0109,-0.8657,97.4543,97.4582
15:36:08,0.9739,0.0330,-1.4997,0.7143,5.1128,0.0107,False,,0.0000,0.0006,0.0000,,2.9993,178.6241,178.6492,-0.8657,97.4952,97.4990
15:36:08,1.0073,0.0335,-1.4997,0.7715,5.1587,0.0115,False,,0.1100,0.0006,0.0000,,2.9992,177.9002,177.9254,-0.8658,97.5809,97.5847
15:36:08,1.0446,0.0373,-1.4997,0.8303,5.3397,0.0123,False,,0.5000,0.0006,0.0000,,2.9992,177.1747,177.2001,-0.8658,97.6704,97.6743
15:36:08,1.0778,0.0332,-1.4997,0.8608,5.4830,0.0127,False,,0.7969,0.0006,0.0000,,2.9991,176.8109,176.8364,-0.8659,97.7162,97.7200
15:36:08,1.1092,0.0314,-1.4996,0.9248,5.8611,0.0137,False,,1.0000,0.0006,0.0000,,2.9991,176.0802,176.1058,-0.8660,97.8088,97.8126
15:36:09,1.1420,0.0327,-1.4996,0.9932,6.2464,0.0146,False,,1.0000,0.0006,0.0000,,2.9990,175.3452,175.3709,-0.8660,97.9018,97.9057
15:36:09,1.1743,0.0323,-1.4996,1.0289,6.4388,0.0151,False,,1.0000,0.0006,0.0000,,2.9989,174.9761,175.0018,-0.8661,97.9492,97.9530
15:36:09,1.2065,0.0322,-1.4995,1.1037,6.8233,0.0162,False,,1.0000,0.0006,0.0000,,2.9988,174.2347,174.2605,-0.8662,98.0445,98.0483
15:36:09,1.2394,0.0329,-1.4995,1.1427,7.0154,0.0168,False,,1.0000,0.0006,0.0000,,2.9988,173.8624,173.8883,-0.8662,98.0925,98.0963
15:36:09,1.2708,0.0314,-1.4995,1.2238,7.3993,0.0179,False,,1.0000,0.0006,0.0000,,2.9987,173.1146,173.1406,-0.8663,98.1880,98.1919
15:36:09,1.3033,0.0325,-1.4994,1.3092,7.7826,0.0191,False,,1.0000,0.0006,0.0000,,2.9986,172.3626,172.3886,-0.8664,98.2858,98.2896
15:36:09,1.3363,0.0330,-1.4994,1.3535,7.9741,0.0198,False,,1.0000,0.0006,0.0000,,2.9985,171.9849,172.0111,-0.8665,98.3349,98.3387
15:36:09,1.3684,0.0321,-1.4993,1.4453,8.3567,0.0211,False,,1.0000,0.0006,0.0000,,2.9984,171.2265,171.2527,-0.8666,98.4340,98.4378
15:36:09,1.4020,0.0336,-1.4992,1.5414,8.7389,0.0224,False,,1.0000,0.0006,0.0000,,2.9983,170.4638,170.4902,-0.8667,98.5344,98.5382
15:36:09,1.4356,0.0336,-1.4992,1.5910,8.9298,0.0232,False,,1.0000,0.0006,0.0000,,2.9982,170.0809,170.1073,-0.8668,98.5850,98.5888
15:36:09,1.4683,0.0327,-1.4991,1.6934,9.3112,0.0246,False,,1.0000,0.0006,0.0000,,2.9981,169.3118,169.3383,-0.8669,98.6870,98.6908
15:36:09,1.5009,0.0326,-1.4991,1.8000,9.6921,0.0261,False,,1.0000,0.0006,0.0000,,2.9980,168.5385,168.5652,-0.8670,98.7901,98.7939
15:36:09,1.5336,0.0327,-1.4990,1.8549,9.8824,0.0269,False,,1.0000,0.0006,0.0000,,2.9979,168.1503,168.1770,-0.8671,98.8421,98.8459
15:36:09,1.5654,0.0318,-1.4989,1.9679,10.2626,0.0285,False,,1.0000,0.0006,0.0000,,2.9977,167.3707,167.3975,-0.8673,98.9465,98.9503
15:36:09,1.5987,0.0333,-1.4989,2.0259,10.4525,0.0293,False,,1.0000,0.0006,0.0000,,2.9976,166.9793,167.0062,-0.8674,98.9983,99.0021
15:36:09,1.6466,0.0478,-1.4987,2.2065,11.0215,0.0319,False,,1.0000,0.0006,0.0000,,2.9974,165.7988,165.8258,-0.8676,99.1576,99.1614
15:36:09,1.6812,0.0346,-1.4986,2.3321,11.4003,0.0336,False,,1.0000,0.0006,0.0000,,2.9972,165.0065,165.0337,-0.8678,99.2645,99.2683
15:36:09,1.7132,0.0320,-1.4986,2.3965,11.5895,0.0346,False,,1.0000,0.0006,0.0000,,2.9971,164.6088,164.6360,-0.8679,99.3186,99.3224
15:36:09,1.7444,0.0312,-1.4985,2.5284,11.9675,0.0364,False,,1.0000,0.0006,0.0000,,2.9969,163.8102,163.8376,-0.8681,99.4264,99.4302
15:36:09,1.7777,0.0333,-1.4984,2.5959,12.1563,0.0374,False,,1.0000,0.0006,0.0000,,2.9968,163.4093,163.4368,-0.8682,99.4813,99.4851
15:36:09,1.8097,0.0320,-1.4983,2.7341,12.5336,0.0393,False,,1.0000,0.0006,0.0000,,2.9966,162.6045,162.6321,-0.8684,99.5910,99.5948
15:36:09,1.8428,0.0331,-1.4981,2.8766,12.9104,0.0413,False,,1.0000,0.0006,0.0000,,2.9964,161.7954,161.8231,-0.8686,99.7018,99.7056
15:36:09,1.8762,0.0334,-1.4981,2.9493,13.0986,0.0423,False,,1.0000,0.0006,0.0000,,2.9962,161.3893,161.4171,-0.8688,99.7575,99.7613
15:36:09,1.9086,0.0324,-1.4979,3.0980,13.4746,0.0444,False,,1.0000,0.0006,0.0000,,2.9960,160.5740,160.6019,-0.8690,99.8645,99.8683
15:36:09,1.9424,0.0337,-1.4977,3.2508,13.8502,0.0466,False,,1.0000,0.0006,0.0000,,2.9958,159.7545,159.7826,-0.8693,99.9656,99.9694
15:36:09,1.9758,0.0334,-1.4977,3.3288,14.0378,0.0477,False,,1.0000,0.0006,0.0000,,2.9956,159.3432,159.3713,-0.8694,100.0145,100.0183
15:36:09,2.0071,0.0314,-1.4975,3.4879,14.4126,0.0499,False,,1.0000,0.0006,0.0000,,2.9954,158.5174,158.5457,-0.8697,100.1071,100.1108
15:36:09,2.0409,0.0338,-1.4973,3.6512,14.7870,0.0522,False,,1.0000,0.0006,0.0000,,2.9951,157.6875,157.7159,-0.8699,100.1948,100.1985
15:36:09,2.0740,0.0331,-1.4972,3.7344,14.9740,0.0534,False,,1.0000,0.0006,0.0000,,2.9949,157.2710,157.2995,-0.8701,100.2367,100.2404
15:36:09,2.1050,0.0311,-1.4970,3.9039,15.3476,0.0558,False,,1.0000,0.0006,0.0000,,2.9946,156.4348,156.4635,-0.8704,100.3159,100.3197
15:36:10,2.1381,0.0331,-1.4969,3.9902,15.5342,0.0570,False,,1.0000,0.0006,0.0000,,2.9945,156.0152,156.0439,-0.8705,100.3538,100.3575
15:36:10,2.1691,0.0309,-1.4967,4.1659,15.9071,0.0594,False,,1.0000,0.0006,0.0000,,2.9941,155.1728,155.2017,-0.8709,100.4268,100.4306
15:36:10,2.2021,0.0331,-1.4964,4.3457,16.2796,0.0620,False,,1.0000,0.0006,0.0000,,2.9938,154.3263,154.3554,-0.8712,100.4958,100.4995
15:36:10,2.2352,0.0330,-1.4963,4.4372,16.4656,0.0632,False,,1.0000,0.0006,0.0000,,2.9936,153.9015,153.9306,-0.8714,100.5279,100.5317
15:36:10,2.2668,0.0316,-1.4960,4.6233,16.8372,0.0659,False,,1.0000,0.0006,0.0000,,2.9932,153.0488,153.0781,-0.8718,100.5892,100.5930
15:36:10,2.3003,0.0336,-1.4958,4.8134,17.2084,0.0685,False,,1.0000,0.0006,0.0000,,2.9929,152.1920,152.2214,-0.8721,100.6450,100.6487
15:36:10,2.3334,0.0331,-1.4956,4.9101,17.3938,0.0699,False,,1.0000,0.0006,0.0000,,2.9927,151.7620,151.7915,-0.8723,100.6708,100.6746
15:36:10,2.3818,0.0483,-1.4952,5.2061,17.9493,0.0740,False,,1.0000,0.0006,0.0000,,2.9921,150.4660,150.4957,-0.8730,100.7402,100.7440
15:36:10,2.4166,0.0349,-1.4950,5.3069,18.1342,0.0754,False,,1.0000,0.0006,0.0000,,2.9918,150.0319,150.0617,-0.8732,100.7609,100.7646
15:36:10,2.4507,0.0341,-1.4947,5.5113,18.4022,0.0783,False,,1.0000,0.0006,0.0000,,2.9914,149.1608,149.1908,-0.8736,100.7985,100.8023
15:36:10,2.4845,0.0338,-1.4944,5.7199,18.7724,0.0812,False,,1.0000,0.0006,0.0000,,2.9909,148.2856,148.3158,-0.8741,100.8306,100.8344
15:36:10,2.5176,0.0331,-1.4942,5.8264,19.1781,0.0827,False,,1.0000,0.0006,0.0000,,2.9907,147.8458,147.8760,-0.8743,100.8440,100.8478
15:36:10,2.5499,0.0323,-1.4939,6.0417,19.7262,0.0857,False,,1.0000,0.0006,0.0000,,2.9902,146.9638,146.9942,-0.8748,100.8682,100.8720
15:36:10,2.5841,0.0342,-1.4935,6.2610,20.1184,0.0888,False,,1.0000,0.0006,0.0000,,2.9897,146.0779,146.1084,-0.8753,100.8896,100.8934
15:36:10,2.6189,0.0348,-1.4933,6.3710,19.7962,0.0903,False,,1.0000,0.0006,0.0000,,2.9894,145.6346,145.6652,-0.8756,100.8998,100.9036
15:36:10,2.6520,0.0331,-1.4929,6.5951,19.9470,0.0935,False,,1.0000,0.0006,0.0000,,2.9889,144.7437,144.7746,-0.8761,100.9145,100.9183
15:36:10,2.6852,0.0332,-1.4925,6.8235,20.3298,0.0968,False,,1.0000,0.0006,0.0000,,2.9883,143.8486,143.8797,-0.8767,100.9239,100.9277
15:36:10,2.7186,0.0333,-1.4922,6.9412,21.1772,0.0985,False,,1.0000,0.0006,0.0000,,2.9880,143.3977,143.4288,-0.8770,100.9247,100.9285
15:36:10,2.7512,0.0326,-1.4918,7.1764,21.5783,0.1020,False,,1.0000,0.0006,0.0000,,2.9874,142.4958,142.5271,-0.8776,100.9257,100.9295
15:36:10,2.7838,0.0327,-1.4913,7.4160,21.9052,0.1051,False,,1.0000,0.0006,0.0000,,2.9868,141.5896,141.6211,-0.8782,100.9235,100.9274
15:36:10,2.8169,0.0331,-1.4911,7.5354,21.4908,0.1063,False,,1.0000,0.0006,0.0000,,2.9865,141.1369,141.1685,-0.8785,100.9221,100.9259
15:36:10,2.8494,0.0325,-1.4905,7.7810,21.9201,0.1092,False,,1.0000,0.0006,0.0000,,2.9859,140.2245,140.2563,-0.8791,100.9119,100.9158
15:36:10,2.8825,0.0331,-1.4900,8.0306,22.2642,0.1137,False,,1.0000,0.0006,0.0000,,2.9852,139.3083,139.3403,-0.8798,100.8970,100.9008
15:36:10,2.9154,0.0329,-1.4897,8.1585,23.0228,0.1154,False,,1.0000,0.0006,0.0000,,2.9848,138.8471,138.8792,-0.8802,100.8868,100.8906
15:36:10,2.9491,0.0336,-1.4892,8.4141,23.3791,0.1188,False,,1.0000,0.0006,0.0000,,2.9841,137.9248,137.9571,-0.8809,100.8668,100.8706
15:36:10,2.9822,0.0331,-1.4886,8.6738,23.7415,0.1225,False,,1.0000,0.0006,0.0000,,2.9834,136.9985,137.0310,-0.8816,100.8410,100.8448
15:36:10,3.0151,0.0330,-1.4883,8.8035,23.3513,0.1243,False,,1.0000,0.0006,0.0000,,2.9830,136.5355,136.5681,-0.8820,100.8284,100.8323
15:36:10,3.0489,0.0338,-1.4877,9.0691,23.7070,0.1280,False,,1.0000,0.0006,0.0000,,2.9822,135.6032,135.6360,-0.8828,100.7976,100.8015
15:36:10,3.0840,0.0351,-1.4870,9.3386,24.0634,0.1317,False,,1.0000,0.0006,0.0000,,2.9814,134.6670,134.7000,-0.8836,100.7620,100.7659
15:36:10,3.1197,0.0357,-1.4867,9.4765,24.8134,0.1336,False,,1.0000,0.0006,0.0000,,2.9810,134.1958,134.2290,-0.8840,100.7397,100.7436
15:36:11,3.1549,0.0353,-1.4860,9.7520,25.1683,0.1374,False,,1.0000,0.0006,0.0000,,2.9801,133.2537,133.2870,-0.8849,100.6961,100.7000
15:36:11,3.1918,0.0368,-1.4853,10.0314,25.5222,0.1413,False,,1.0000,0.0006,0.0000,,2.9792,132.3076,132.3412,-0.8858,100.6482,100.6521
15:36:11,3.2259,0.0342,-1.4845,10.3148,25.8752,0.1453,False,,1.0000,0.0006,0.0000,,2.9783,131.3576,131.3914,-0.8867,100.5958,100.5997
15:36:11,3.2593,0.0333,-1.4841,10.4563,25.4857,0.1473,False,,1.0000,0.0006,0.0000,,2.9779,130.8827,130.9166,-0.8871,100.5694,100.5734
15:36:11,3.2917,0.0324,-1.4833,10.7456,25.8428,0.1513,False,,1.0000,0.0006,0.0000,,2.9769,129.9268,129.9609,-0.8881,100.5103,100.5143
15:36:11,3.3249,0.0332,-1.4825,11.0388,26.2013,0.1554,False,,1.0000,0.0006,0.0000,,2.9759,128.9669,129.0012,-0.8891,100.4490,100.4529
