Normal
2023”N10ŒŽ13“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
18:18:52,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
18:18:52,0.4854,0.1120,-1.4999,0.1612,2.3527,0.0183,False,,0.0000,0.0043,0.0000,,2.9991,187.1770,187.2011,-0.8659,96.7720,96.7759
18:18:52,0.5442,0.0588,-1.4998,0.2034,2.6351,0.0224,False,,0.0000,0.0043,0.0000,,2.9988,186.1348,186.1590,-0.8662,96.8439,96.8478
18:18:52,0.5828,0.0387,-1.4997,0.2342,2.8307,0.0259,False,,0.0000,0.0043,0.0000,,2.9986,185.4374,185.4616,-0.8664,96.8965,96.9004
18:18:52,0.6206,0.0378,-1.4996,0.2672,3.0088,0.0282,False,,0.0000,0.0043,0.0000,,2.9984,184.7377,184.7621,-0.8666,96.9526,96.9565
18:18:52,0.6588,0.0381,-1.4995,0.2845,3.1189,0.0308,False,,0.0000,0.0043,0.0000,,2.9982,184.3871,184.4114,-0.8668,96.9820,96.9859
18:18:52,0.6935,0.0347,-1.4994,0.3208,3.3071,0.0334,False,,0.0000,0.0043,0.0000,,2.9980,183.6841,183.7086,-0.8670,97.0436,97.0475
18:18:52,0.7307,0.0373,-1.4993,0.3592,3.4995,0.0359,False,,0.0000,0.0043,0.0000,,2.9978,182.9791,183.0037,-0.8672,97.1090,97.1128
18:18:52,0.7668,0.0361,-1.4992,0.3998,3.7029,0.0399,False,,0.0000,0.0043,0.0000,,2.9975,182.2719,182.2965,-0.8675,97.1779,97.1818
18:18:52,0.8019,0.0350,-1.4991,0.4425,3.8915,0.0448,False,,0.0000,0.0043,0.0000,,2.9972,181.5625,181.5872,-0.8678,97.2505,97.2543
18:18:52,0.8351,0.0333,-1.4990,0.4646,3.9894,0.0468,False,,0.0000,0.0043,0.0000,,2.9970,181.2070,181.2318,-0.8680,97.2881,97.2920
18:18:52,0.8691,0.0340,-1.4989,0.5106,4.1808,0.0511,False,,0.0000,0.0043,0.0000,,2.9967,180.4944,180.5193,-0.8683,97.3659,97.3697
18:18:52,0.9042,0.0351,-1.4987,0.5586,4.3719,0.0556,False,,0.0000,0.0043,0.0000,,2.9964,179.7797,179.8047,-0.8686,97.4469,97.4507
18:18:52,0.9385,0.0343,-1.4987,0.5834,4.4673,0.0580,False,,0.0000,0.0043,0.0000,,2.9962,179.4216,179.4466,-0.8688,97.4888,97.4927
