NormalFrameMask
2023”N10ŒŽ13“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.deltaX,CarPos.deltaZ,CarDistance,Bike.deltaX,Bike.deltaZ,BikeDistance
19:38:22,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,-0.8649,96.6533,96.6571
19:38:23,0.5068,0.1334,-1.5000,0.1746,2.4428,-0.0019,False,,0.0000,0.0000,0.0000,,3.0001,186.8302,186.8543,-0.8649,96.7951,96.7990
19:38:23,0.5618,0.0551,-1.5000,0.2216,3.0142,-0.0035,False,,1.0000,0.0000,0.0000,,3.0001,185.7833,185.8075,-0.8649,96.8667,96.8705
19:38:23,0.6187,0.0568,-1.5000,0.2584,3.4049,-0.0031,False,,1.0000,0.0000,0.0000,,3.0001,185.0799,185.1042,-0.8649,96.9161,96.9200
19:38:23,0.6538,0.0351,-1.5000,0.2995,3.7939,-0.0024,False,,1.0000,0.0000,0.0000,,3.0001,184.3721,184.3965,-0.8649,96.9671,96.9710
19:38:23,0.6885,0.0347,-1.5000,0.3448,4.1810,-0.0022,False,,1.0000,0.0000,0.0000,,3.0001,183.6601,183.6846,-0.8649,97.0196,97.0235
19:38:23,0.7204,0.0319,-1.5000,0.3945,4.5680,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,182.9438,182.9684,-0.8649,97.0736,97.0775
19:38:23,0.7496,0.0292,-1.5000,0.4210,4.7614,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,182.5840,182.6086,-0.8649,97.1012,97.1051
19:38:23,0.7773,0.0277,-1.5000,0.4485,4.9546,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,182.2231,182.2478,-0.8649,97.1291,97.1330
19:38:23,0.8076,0.0303,-1.5000,0.5068,5.3409,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,181.4982,181.5230,-0.8649,97.1862,97.1900
19:38:23,0.8506,0.0430,-1.5000,0.5693,5.7267,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,180.7690,180.7939,-0.8649,97.2445,97.2484
19:38:23,0.8812,0.0306,-1.5000,0.6362,6.1121,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,180.0355,180.0605,-0.8649,97.3042,97.3080
19:38:23,0.9110,0.0298,-1.5000,0.6712,6.3046,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,179.6672,179.6922,-0.8649,97.3343,97.3381
19:38:23,0.9407,0.0297,-1.5000,0.7445,6.6893,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,178.9272,178.9524,-0.8649,97.3958,97.3996
19:38:23,0.9825,0.0418,-1.5000,0.8220,7.0736,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,178.1831,178.2083,-0.8649,97.4583,97.4621
19:38:23,1.0125,0.0300,-1.5000,0.8623,7.2655,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,177.8094,177.8347,-0.8649,97.4901,97.4939
19:38:23,1.0415,0.0290,-1.5000,0.9463,7.6490,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,177.0588,177.0842,-0.8649,97.5545,97.5583
19:38:23,1.0851,0.0436,-1.5000,1.0345,8.0321,-0.0021,False,,1.0000,0.0000,0.0000,,3.0001,176.3040,176.3295,-0.8649,97.6202,97.6240
19:38:23,1.1148,0.0297,-1.4979,1.0786,7.9513,0.1003,False,,1.0000,1.0000,0.0000,,2.9936,175.9265,175.9520,-0.8714,97.6550,97.6589
19:38:23,1.1430,0.0282,-1.4884,1.1645,7.7336,0.5317,False,,1.0000,1.0000,0.0000,,2.9658,175.1740,175.1991,-0.8992,97.7306,97.7347
19:38:23,1.1743,0.0313,-1.4810,1.2063,7.6404,0.8602,False,,1.0000,1.0000,0.0000,,2.9444,174.7990,174.8238,-0.9206,97.7721,97.7764
19:38:23,1.2270,0.0527,-1.4472,1.3261,7.3943,2.3003,False,,1.0000,1.0000,0.0000,,2.8494,173.6810,173.7044,-1.0156,97.9110,97.9163
19:38:23,1.2580,0.0310,-1.4319,1.3638,7.3334,2.9330,False,,1.0000,1.0000,0.0000,,2.8073,173.3111,173.3339,-1.0577,97.9623,97.9680
19:38:23,1.2886,0.0307,-1.3952,1.4361,7.3024,4.4088,False,,1.0000,1.0000,0.0000,,2.7080,172.5762,172.5974,-0.7507,98.0677,98.0706
19:38:23,1.3245,0.0359,-1.3513,1.5054,7.4216,6.0889,False,,1.0000,1.0000,0.0000,,2.9990,171.8291,171.8552,-0.8660,98.1791,98.1829
19:38:23,1.3600,0.0354,-1.3297,1.5414,7.5618,6.8656,False,,1.0000,0.0000,0.0000,,2.9442,171.4580,171.4832,-0.9208,98.2359,98.2403
19:38:23,1.3935,0.0336,-1.2905,1.6158,7.5597,8.1615,False,,0.0000,0.0000,0.0000,,2.8498,170.7150,170.7388,-1.0152,98.3534,98.3586
19:38:23,1.4263,0.0328,-1.2576,1.6931,7.5742,9.0948,False,,0.0000,0.0000,0.0000,,2.7769,169.9704,169.9931,-1.0881,98.4745,98.4805
19:38:24,1.4586,0.0323,-1.2437,1.7330,7.5965,9.4126,False,,0.0000,0.0000,0.0000,,2.7495,169.5971,169.6194,-1.1155,98.5361,98.5424
19:38:24,1.4882,0.0296,-1.2217,1.8153,7.7002,9.7557,False,,0.0000,0.0000,0.0000,,2.7128,168.8482,168.8700,-1.1522,98.6609,98.6677
19:38:24,1.5187,0.0304,-1.2126,1.8575,7.7822,9.8294,False,,0.0000,0.0000,0.0000,,2.7005,168.4726,168.4943,-1.1645,98.7242,98.7311
