Normal
2023”N10ŒŽ17“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,Hitting,InputValue,AcceInput,SteeringInput,BrakeInput,Moving Cars,dX,dZ,Distance,Moving Bicycles,dX,dZ,Distance
15:05:51,0.3733,0.3333,-1.5000,0.0914,1.7503,-0.0025,False,,0.0000,0.0000,0.0000,,3.0001,189.2467,189.2705,,-0.8649,96.6533,96.6571
15:05:51,0.5256,0.1522,-1.5000,0.1887,2.5264,-0.0037,False,,0.0000,0.0000,0.0000,,3.0002,186.4829,186.5070,,-0.8648,96.8191,96.8230
15:05:51,0.5827,0.0572,-1.5000,0.2341,2.8242,-0.0028,False,,0.0000,0.0000,0.0000,,3.0001,185.4375,185.4617,,-0.8649,96.8966,96.9005
15:05:51,0.6250,0.0423,-1.5000,0.2671,3.0102,-0.0045,False,,0.0000,0.0000,0.0000,,3.0002,184.7378,184.7621,,-0.8648,96.9527,96.9565
15:05:51,0.6653,0.0403,-1.5000,0.3023,3.1987,-0.0046,False,,0.0000,0.0000,0.0000,,3.0002,184.0360,184.0605,,-0.8648,97.0125,97.0163
15:05:51,0.7050,0.0396,-1.5000,0.3396,3.4161,-0.0052,False,,0.0000,0.0000,0.0000,,3.0002,183.3320,183.3566,,-0.8648,97.0760,97.0798
15:05:51,0.7412,0.0362,-1.5000,0.3790,3.6021,-0.0040,False,,0.0000,0.0000,0.0000,,3.0002,182.6259,182.6506,,-0.8648,97.1431,97.1470
15:05:51,0.7906,0.0494,-1.5000,0.4206,3.7911,-0.0046,False,,0.0000,0.0000,0.0000,,3.0002,181.9177,181.9424,,-0.8648,97.2139,97.2178
15:05:51,0.8329,0.0423,-1.5000,0.4644,3.9873,-0.0054,False,,0.0000,0.0000,0.0000,,3.0002,181.2073,181.2321,,-0.8648,97.2883,97.2922
15:05:52,0.8732,0.0403,-1.5000,0.5103,4.1813,-0.0052,False,,0.0000,0.0000,0.0000,,3.0002,180.4947,180.5196,,-0.8648,97.3662,97.3700
15:05:52,0.9118,0.0386,-1.5000,0.5583,4.3719,-0.0051,False,,0.0000,0.0000,0.0000,,3.0002,179.7800,179.8050,,-0.8648,97.4471,97.4510
15:05:52,0.9515,0.0396,-1.5000,0.6085,4.5626,-0.0050,False,,0.0000,0.0000,0.0000,,3.0002,179.0632,179.0883,,-0.8648,97.5317,97.5355
15:05:52,0.9914,0.0399,-1.5000,0.6608,4.7532,-0.0050,False,,0.0000,0.0000,0.0000,,3.0002,178.3442,178.3695,,-0.8648,97.6195,97.6233
